,Country,start_date,pre_date,b7_truth,start_truth,pre_deaths
0,Afghanistan,2021-01-03,2021-01-10,2160,2191,2222
1,Albania,2021-01-03,2021-01-10,1153,1193,1233
2,Algeria,2021-01-03,2021-01-10,2728,2772,2816
3,Andorra,2021-01-03,2021-01-10,83,84,85
4,Angola,2021-01-03,2021-01-10,399,408,417
5,Antigua and Barbuda,2021-01-03,2021-01-10,5,5,5
6,Argentina,2021-01-03,2021-01-10,42650,43482,44314
7,Armenia,2021-01-03,2021-01-10,2768,2850,2932
8,Australia,2021-01-03,2021-01-10,909,909,909
9,Austria,2021-01-03,2021-01-10,5881,6324,6767
10,Azerbaijan,2021-01-03,2021-01-10,2499,2733,2967
11,Bahamas,2021-01-03,2021-01-10,170,175,180
12,Bahrain,2021-01-03,2021-01-10,351,352,353
13,Bangladesh,2021-01-03,2021-01-10,7452,7626,7800
14,Barbados,2021-01-03,2021-01-10,7,7,7
15,Belarus,2021-01-03,2021-01-10,1385,1451,1517
16,Belgium,2021-01-03,2021-01-10,19200,19701,20202
17,Benin,2021-01-03,2021-01-10,44,44,44
18,Bhutan,2021-01-03,2021-01-10,0,0,0
19,Bolivia,2021-01-03,2021-01-10,9098,9201,9304
20,Bosnia and Herzegovina,2021-01-03,2021-01-10,3953,4131,4309
21,Brazil,2021-01-03,2021-01-10,191139,196018,200897
22,Brunei,2021-01-03,2021-01-10,3,3,3
23,Bulgaria,2021-01-03,2021-01-10,7164,7678,8192
24,Burkina Faso,2021-01-03,2021-01-10,78,86,94
25,Cabo Verde,2021-01-03,2021-01-10,112,113,114
26,Cambodia,2021-01-03,2021-01-10,0,0,0
27,Cameroon,2021-01-03,2021-01-10,448,448,448
28,Canada,2021-01-03,2021-01-10,15021,15880,16739
29,Central African Republic,2021-01-03,2021-01-10,63,63,63
30,Chad,2021-01-03,2021-01-10,104,104,104
31,Chile,2021-01-03,2021-01-10,16443,16767,17091
32,China,2021-01-03,2021-01-10,4771,4784,4797
33,Colombia,2021-01-03,2021-01-10,42171,43965,45759
34,Congo (Brazzaville),2021-01-03,2021-01-10,107,108,109
35,Congo (Kinshasa),2021-01-03,2021-01-10,579,596,613
36,Costa Rica,2021-01-03,2021-01-10,2086,2185,2284
37,Cote d'Ivoire,2021-01-03,2021-01-10,135,138,141
38,Croatia,2021-01-03,2021-01-10,3671,4072,4473
39,Diamond Princess,2021-01-03,2021-01-10,13,13,13
40,Cuba,2021-01-03,2021-01-10,142,147,152
41,Cyprus,2021-01-03,2021-01-10,112,131,150
42,Czechia,2021-01-03,2021-01-10,11044,11960,12876
43,Denmark,2021-01-03,2021-01-10,1174,1374,1574
44,Djibouti,2021-01-03,2021-01-10,61,61,61
45,Dominican Republic,2021-01-03,2021-01-10,2404,2418,2432
46,Ecuador,2021-01-03,2021-01-10,13992,14059,14126
47,Egypt,2021-01-03,2021-01-10,7405,7805,8205
48,El Salvador,2021-01-03,2021-01-10,1305,1358,1411
49,Equatorial Guinea,2021-01-03,2021-01-10,86,86,86
50,Eritrea,2021-01-03,2021-01-10,1,1,1
51,Estonia,2021-01-03,2021-01-10,204,244,284
52,Eswatini,2021-01-03,2021-01-10,165,231,297
53,Ethiopia,2021-01-03,2021-01-10,1909,1948,1987
54,Fiji,2021-01-03,2021-01-10,2,2,2
55,Finland,2021-01-03,2021-01-10,524,561,598
56,France,2021-01-03,2021-01-10,62867,65164,67461
57,Gabon,2021-01-03,2021-01-10,64,64,64
58,Gambia,2021-01-03,2021-01-10,123,124,125
59,Georgia,2021-01-03,2021-01-10,2377,2603,2829
60,Germany,2021-01-03,2021-01-10,30297,34791,39285
61,Ghana,2021-01-03,2021-01-10,333,335,337
62,Greece,2021-01-03,2021-01-10,4606,4957,5308
63,Guatemala,2021-01-03,2021-01-10,4768,4833,4898
64,Guinea,2021-01-03,2021-01-10,80,81,82
65,Guyana,2021-01-03,2021-01-10,164,164,164
66,Haiti,2021-01-03,2021-01-10,235,236,237
67,Holy See,2021-01-03,2021-01-10,0,0,0
68,Honduras,2021-01-03,2021-01-10,3065,3180,3295
69,Hungary,2021-01-03,2021-01-10,9047,9884,10721
70,Iceland,2021-01-03,2021-01-10,28,29,30
