,Country,start_date,pre_date,b7_truth,start_truth,pre_deaths
0,Afghanistan,2020-11-08,2020-11-15,1536,1558,1580
1,Albania,2020-11-08,2020-11-15,518,559,600
2,Algeria,2020-11-08,2020-11-15,1973,2048,2123
3,Andorra,2020-11-08,2020-11-15,75,75,75
4,Angola,2020-11-08,2020-11-15,286,307,328
5,Antigua and Barbuda,2020-11-08,2020-11-15,3,3,3
6,Argentina,2020-11-08,2020-11-15,31140,33560,35980
7,Armenia,2020-11-08,2020-11-15,1363,1559,1755
8,Australia,2020-11-08,2020-11-15,907,907,907
9,Austria,2020-11-08,2020-11-15,1130,1411,1692
10,Azerbaijan,2020-11-08,2020-11-15,740,840,940
11,Bahamas,2020-11-08,2020-11-15,144,152,160
12,Bahrain,2020-11-08,2020-11-15,321,329,337
13,Bangladesh,2020-11-08,2020-11-15,5941,6067,6193
14,Barbados,2020-11-08,2020-11-15,7,7,7
15,Belarus,2020-11-08,2020-11-15,985,1007,1029
16,Belgium,2020-11-08,2020-11-15,11737,13055,14373
17,Benin,2020-11-08,2020-11-15,41,43,45
18,Bhutan,2020-11-08,2020-11-15,0,0,0
19,Bolivia,2020-11-08,2020-11-15,8731,8795,8859
20,Bosnia and Herzegovina,2020-11-08,2020-11-15,1248,1510,1772
21,Brazil,2020-11-08,2020-11-15,160074,162397,164720
22,Brunei,2020-11-08,2020-11-15,3,3,3
23,Bulgaria,2020-11-08,2020-11-15,1298,1665,2032
24,Burkina Faso,2020-11-08,2020-11-15,67,67,67
25,Cabo Verde,2020-11-08,2020-11-15,95,100,105
26,Cambodia,2020-11-08,2020-11-15,0,0,0
27,Cameroon,2020-11-08,2020-11-15,429,433,437
28,Canada,2020-11-08,2020-11-15,10230,10575,10920
29,Central African Republic,2020-11-08,2020-11-15,62,62,62
30,Chad,2020-11-08,2020-11-15,98,99,100
31,Chile,2020-11-08,2020-11-15,14247,14543,14839
32,China,2020-11-08,2020-11-15,4739,4741,4743
33,Colombia,2020-11-08,2020-11-15,31515,32791,34067
34,Congo (Brazzaville),2020-11-08,2020-11-15,92,92,92
35,Congo (Kinshasa),2020-11-08,2020-11-15,308,316,324
36,Costa Rica,2020-11-08,2020-11-15,1385,1464,1543
37,Cote d'Ivoire,2020-11-08,2020-11-15,126,126,126
38,Croatia,2020-11-08,2020-11-15,562,794,1026
39,Diamond Princess,2020-11-08,2020-11-15,13,13,13
40,Cuba,2020-11-08,2020-11-15,128,130,132
41,Cyprus,2020-11-08,2020-11-15,26,28,30
42,Czechia,2020-11-08,2020-11-15,3429,4858,6287
43,Denmark,2020-11-08,2020-11-15,723,743,763
44,Djibouti,2020-11-08,2020-11-15,61,61,61
45,Dominican Republic,2020-11-08,2020-11-15,2249,2265,2281
46,Ecuador,2020-11-08,2020-11-15,12684,12830,12976
47,Egypt,2020-11-08,2020-11-15,6278,6368,6458
48,El Salvador,2020-11-08,2020-11-15,979,1010,1041
49,Equatorial Guinea,2020-11-08,2020-11-15,83,85,87
50,Eritrea,2020-11-08,2020-11-15,0,0,0
51,Estonia,2020-11-08,2020-11-15,73,75,77
52,Eswatini,2020-11-08,2020-11-15,117,117,117
53,Ethiopia,2020-11-08,2020-11-15,1478,1523,1568
54,Fiji,2020-11-08,2020-11-15,2,2,2
55,Finland,2020-11-08,2020-11-15,358,362,366
56,France,2020-11-08,2020-11-15,37057,40490,43923
57,Gabon,2020-11-08,2020-11-15,55,55,55
58,Gambia,2020-11-08,2020-11-15,119,121,123
59,Georgia,2020-11-08,2020-11-15,335,475,615
