,Country,start_date,pre_date,b7_truth,start_truth,pre_deaths
0,Afghanistan,2020-09-05,2020-09-12,1402,1409,1416
1,Albania,2020-09-05,2020-09-12,275,312,349
2,Algeria,2020-09-05,2020-09-12,1491,1549,1607
3,Andorra,2020-09-05,2020-09-12,53,53,53
4,Angola,2020-09-05,2020-09-12,107,117,127
5,Antigua and Barbuda,2020-09-05,2020-09-12,3,3,3
6,Argentina,2020-09-05,2020-09-12,8353,9739,11125
7,Armenia,2020-09-05,2020-09-12,872,895,918
8,Australia,2020-09-05,2020-09-12,611,753,895
9,Austria,2020-09-05,2020-09-12,733,735,737
10,Azerbaijan,2020-09-05,2020-09-12,529,545,561
11,Bahamas,2020-09-05,2020-09-12,50,55,60
12,Bahrain,2020-09-05,2020-09-12,189,196,203
13,Bangladesh,2020-09-05,2020-09-12,4206,4447,4688
14,Barbados,2020-09-05,2020-09-12,7,7,7
15,Belarus,2020-09-05,2020-09-12,671,705,739
16,Belgium,2020-09-05,2020-09-12,9891,9906,9921
17,Benin,2020-09-05,2020-09-12,40,40,40
18,Bhutan,2020-09-05,2020-09-12,0,0,0
19,Bolivia,2020-09-05,2020-09-12,4938,5398,5858
20,Bosnia and Herzegovina,2020-09-05,2020-09-12,594,651,708
21,Brazil,2020-09-05,2020-09-12,120262,126203,132144
22,Brunei,2020-09-05,2020-09-12,3,3,3
23,Bulgaria,2020-09-05,2020-09-12,605,671,737
24,Burkina Faso,2020-09-05,2020-09-12,55,55,55
25,Cabo Verde,2020-09-05,2020-09-12,39,42,45
26,Cambodia,2020-09-05,2020-09-12,0,0,0
27,Cameroon,2020-09-05,2020-09-12,411,415,419
28,Canada,2020-09-05,2020-09-12,9161,9192,9223
29,Central African Republic,2020-09-05,2020-09-12,61,62,63
30,Chad,2020-09-05,2020-09-12,77,77,77
31,Chile,2020-09-05,2020-09-12,11181,11551,11921
32,China,2020-09-05,2020-09-12,4721,4728,4735
33,Colombia,2020-09-05,2020-09-12,19063,20886,22709
34,Congo (Brazzaville),2020-09-05,2020-09-12,78,102,126
35,Congo (Kinshasa),2020-09-05,2020-09-12,258,259,260
36,Costa Rica,2020-09-05,2020-09-12,418,478,538
37,Cote d'Ivoire,2020-09-05,2020-09-12,115,119,123
38,Croatia,2020-09-05,2020-09-12,183,197,211
39,Diamond Princess,2020-09-05,2020-09-12,13,13,13
40,Cuba,2020-09-05,2020-09-12,94,100,106
41,Cyprus,2020-09-05,2020-09-12,20,21,22
42,Czechia,2020-09-05,2020-09-12,421,431,441
43,Denmark,2020-09-05,2020-09-12,624,627,630
44,Djibouti,2020-09-05,2020-09-12,60,60,60
45,Dominican Republic,2020-09-05,2020-09-12,1673,1840,2007
46,Ecuador,2020-09-05,2020-09-12,6537,6724,6911
47,Egypt,2020-09-05,2020-09-12,5376,5511,5646
48,El Salvador,2020-09-05,2020-09-12,708,752,796
49,Equatorial Guinea,2020-09-05,2020-09-12,83,83,83
50,Eritrea,2020-09-05,2020-09-12,0,0,0
51,Estonia,2020-09-05,2020-09-12,64,64,64
52,Eswatini,2020-09-05,2020-09-12,91,94,97
53,Ethiopia,2020-09-05,2020-09-12,770,897,1024
54,Fiji,2020-09-05,2020-09-12,2,2,2
55,Finland,2020-09-05,2020-09-12,335,336,337
56,France,2020-09-05,2020-09-12,30601,30730,30859
57,Gabon,2020-09-05,2020-09-12,53,53,53
58,Gambia,2020-09-05,2020-09-12,96,99,102
59,Georgia,2020-09-05,2020-09-12,19,19,19
60,Germany,2020-09-05,2020-09-12,9299,9329,9359
61,Ghana,2020-09-05,2020-09-12,270,283,296
62,Greece,2020-09-05,2020-09-12,260,280,300
63,Guatemala,2020-09-05,2020-09-12,2728,2845,2962
64,Guinea,2020-09-05,2020-09-12,59,61,63
65,Guyana,2020-09-05,2020-09-12,35,46,57
66,Haiti,2020-09-05,2020-09-12,201,212,223
67,Holy See,2020-09-05,2020-09-12,0,0,0
68,Honduras,2020-09-05,2020-09-12,1842,2006,2170
69,Hungary,2020-09-05,2020-09-12,614,624,634
70,Iceland,2020-09-05,2020-09-12,10,10,10
71,India,2020-09-05,2020-09-12,63498,70626,77754
72,Indonesia,2020-09-05,2020-09-12,7261,7940,8619
73,Iran,2020-09-05,2020-09-12,21359,22154,22949
74,Iraq,2020-09-05,2020-09-12,6891,7422,7953
75,Ireland,2020-09-05,2020-09-12,1777,1777,1777
76,Israel,2020-09-05,2020-09-12,906,1007,1108
77,Italy,2020-09-05,2020-09-12,35473,35534,35595
78,Jamaica,2020-09-05,2020-09-12,20,32,44
79,Japan,2020-09-05,2020-09-12,1271,1361,1451
80,Jordan,2020-09-05,2020-09-12,15,16,17
81,Kazakhstan,2020-09-05,2020-09-12,1523,1588,1653
82,Kenya,2020-09-05,2020-09-12,572,594,616
83,"Korea, South",2020-09-05,2020-09-12,323,334,345
84,Kuwait,2020-09-05,2020-09-12,528,540,552
85,Kyrgyzstan,2020-09-05,2020-09-12,1057,1060,1063
86,Latvia,2020-09-05,2020-09-12,34,35,36
87,Lebanon,2020-09-05,2020-09-12,155,187,219
88,Liberia,2020-09-05,2020-09-12,82,82,82
89,Liechtenstein,2020-09-05,2020-09-12,1,1,1
90,Lithuania,2020-09-05,2020-09-12,86,86,86
91,Luxembourg,2020-09-05,2020-09-12,124,124,124
92,Madagascar,2020-09-05,2020-09-12,190,199,208
93,Malaysia,2020-09-05,2020-09-12,125,128,131
94,Maldives,2020-09-05,2020-09-12,28,29,30
95,Malta,2020-09-05,2020-09-12,10,14,18
96,Mauritania,2020-09-05,2020-09-12,158,160,162
97,Mauritius,2020-09-05,2020-09-12,10,10,10
98,Mexico,2020-09-05,2020-09-12,63819,67326,70833
99,Moldova,2020-09-05,2020-09-12,990,1063,1136
100,Monaco,2020-09-05,2020-09-12,4,1,-2
101,Mongolia,2020-09-05,2020-09-12,0,0,0
102,Montenegro,2020-09-05,2020-09-12,93,107,121
103,Morocco,2020-09-05,2020-09-12,1078,1329,1580
104,Namibia,2020-09-05,2020-09-12,69,87,105
105,Nepal,2020-09-05,2020-09-12,207,280,353
106,Netherlands,2020-09-05,2020-09-12,6252,6275,6298
107,New Zealand,2020-09-05,2020-09-12,22,24,26
108,Nicaragua,2020-09-05,2020-09-12,137,141,145
109,Niger,2020-09-05,2020-09-12,69,69,69
110,Nigeria,2020-09-05,2020-09-12,1011,1054,1097
111,North Macedonia,2020-09-05,2020-09-12,596,614,632
112,Norway,2020-09-05,2020-09-12,264,264,264
113,Oman,2020-09-05,2020-09-12,650,705,760
114,Pakistan,2020-09-05,2020-09-12,6284,6340,6396
115,Panama,2020-09-05,2020-09-12,1983,2075,2167
116,Papua New Guinea,2020-09-05,2020-09-12,5,5,5
117,Paraguay,2020-09-05,2020-09-12,294,412,530
118,Peru,2020-09-05,2020-09-12,28471,29554,30637
119,Philippines,2020-09-05,2020-09-12,3419,3790,4161
120,Poland,2020-09-05,2020-09-12,2032,2113,2194
121,Portugal,2020-09-05,2020-09-12,1818,1838,1858
122,Qatar,2020-09-05,2020-09-12,196,202,208
123,Romania,2020-09-05,2020-09-12,3539,3850,4161
124,Russia,2020-09-05,2020-09-12,16977,17707,18437
125,Rwanda,2020-09-05,2020-09-12,16,18,20
126,Saint Lucia,2020-09-05,2020-09-12,0,0,0
