,Country,start_date,pre_date,b7_truth,start_truth,pre_deaths
0,Afghanistan,2020-11-03,2020-11-10,1523,1544,1565
1,Albania,2020-11-03,2020-11-10,487,532,577
2,Algeria,2020-11-03,2020-11-10,1931,1980,2029
3,Andorra,2020-11-03,2020-11-10,72,75,78
4,Angola,2020-11-03,2020-11-10,271,291,311
5,Antigua and Barbuda,2020-11-03,2020-11-10,3,3,3
6,Argentina,2020-11-03,2020-11-10,29730,32052,34374
7,Armenia,2020-11-03,2020-11-10,1222,1413,1604
8,Australia,2020-11-03,2020-11-10,907,907,907
9,Austria,2020-11-03,2020-11-10,1005,1192,1379
10,Azerbaijan,2020-11-03,2020-11-10,688,768,848
11,Bahamas,2020-11-03,2020-11-10,136,149,162
12,Bahrain,2020-11-03,2020-11-10,316,324,332
13,Bangladesh,2020-11-03,2020-11-10,5838,5983,6128
14,Barbados,2020-11-03,2020-11-10,7,7,7
15,Belarus,2020-11-03,2020-11-10,965,992,1019
16,Belgium,2020-11-03,2020-11-10,11038,12126,13214
17,Benin,2020-11-03,2020-11-10,41,41,41
18,Bhutan,2020-11-03,2020-11-10,0,0,0
19,Bolivia,2020-11-03,2020-11-10,8672,8751,8830
20,Bosnia and Herzegovina,2020-11-03,2020-11-10,1125,1317,1509
21,Brazil,2020-11-03,2020-11-10,157946,160496,163046
22,Brunei,2020-11-03,2020-11-10,3,3,3
23,Bulgaria,2020-11-03,2020-11-10,1161,1412,1663
24,Burkina Faso,2020-11-03,2020-11-10,67,67,67
25,Cabo Verde,2020-11-03,2020-11-10,94,95,96
26,Cambodia,2020-11-03,2020-11-10,0,0,0
27,Cameroon,2020-11-03,2020-11-10,426,429,432
28,Canada,2020-11-03,2020-11-10,10052,10334,10616
29,Central African Republic,2020-11-03,2020-11-10,62,62,62
30,Chad,2020-11-03,2020-11-10,96,98,100
31,Chile,2020-11-03,2020-11-10,14026,14319,14612
32,China,2020-11-03,2020-11-10,4739,4739,4739
33,Colombia,2020-11-03,2020-11-10,30565,31847,33129
34,Congo (Brazzaville),2020-11-03,2020-11-10,92,92,92
35,Congo (Kinshasa),2020-11-03,2020-11-10,305,315,325
36,Costa Rica,2020-11-03,2020-11-10,1329,1419,1509
37,Cote d'Ivoire,2020-11-03,2020-11-10,122,126,130
38,Croatia,2020-11-03,2020-11-10,470,628,786
39,Diamond Princess,2020-11-03,2020-11-10,13,13,13
40,Cuba,2020-11-03,2020-11-10,128,129,130
41,Cyprus,2020-11-03,2020-11-10,25,27,29
42,Czechia,2020-11-03,2020-11-10,2547,3913,5279
43,Denmark,2020-11-03,2020-11-10,709,728,747
44,Djibouti,2020-11-03,2020-11-10,61,61,61
45,Dominican Republic,2020-11-03,2020-11-10,2226,2252,2278
46,Ecuador,2020-11-03,2020-11-10,12588,12698,12808
47,Egypt,2020-11-03,2020-11-10,6222,6305,6388
48,El Salvador,2020-11-03,2020-11-10,957,987,1017
49,Equatorial Guinea,2020-11-03,2020-11-10,83,83,83
50,Eritrea,2020-11-03,2020-11-10,0,0,0
51,Estonia,2020-11-03,2020-11-10,73,73,73
52,Eswatini,2020-11-03,2020-11-10,116,117,118
53,Ethiopia,2020-11-03,2020-11-10,1445,1494,1543
54,Fiji,2020-11-03,2020-11-10,2,2,2
55,Finland,2020-11-03,2020-11-10,354,359,364
56,France,2020-11-03,2020-11-10,35582,37492,39402
57,Gabon,2020-11-03,2020-11-10,54,55,56
58,Gambia,2020-11-03,2020-11-10,119,120,121
59,Georgia,2020-11-03,2020-11-10,238,362,486
60,Germany,2020-11-03,2020-11-10,10121,10717,11313
61,Ghana,2020-11-03,2020-11-10,316,320,324
62,Greece,2020-11-03,2020-11-10,593,655,717
63,Guatemala,2020-11-03,2020-11-10,3665,3748,3831
64,Guinea,2020-11-03,2020-11-10,71,73,75
65,Guyana,2020-11-03,2020-11-10,119,128,137
66,Haiti,2020-11-03,2020-11-10,232,232,232
67,Holy See,2020-11-03,2020-11-10,0,0,0
68,Honduras,2020-11-03,2020-11-10,2639,2706,2773
69,Hungary,2020-11-03,2020-11-10,1535,1973,2411
70,Iceland,2020-11-03,2020-11-10,11,17,23
71,India,2020-11-03,2020-11-10,120010,123611,127212
72,Indonesia,2020-11-03,2020-11-10,13512,14146,14780
73,Iran,2020-11-03,2020-11-10,33299,36160,39021
74,Iraq,2020-11-03,2020-11-10,10724,11068,11412
75,Ireland,2020-11-03,2020-11-10,1890,1922,1954
76,Israel,2020-11-03,2020-11-10,2483,2592,2701
77,Italy,2020-11-03,2020-11-10,37700,39412,41124
78,Jamaica,2020-11-03,2020-11-10,196,214,232
79,Japan,2020-11-03,2020-11-10,1726,1794,1862
80,Jordan,2020-11-03,2020-11-10,668,967,1266
81,Kazakhstan,2020-11-03,2020-11-10,1825,1857,1889
82,Kenya,2020-11-03,2020-11-10,934,1039,1144
83,"Korea, South",2020-11-03,2020-11-10,461,474,487
84,Kuwait,2020-11-03,2020-11-10,756,789,822
85,Kyrgyzstan,2020-11-03,2020-11-10,1136,1163,1190
86,Latvia,2020-11-03,2020-11-10,63,79,95
87,Lebanon,2020-11-03,2020-11-10,590,667,744
88,Liberia,2020-11-03,2020-11-10,82,82,82
89,Liechtenstein,2020-11-03,2020-11-10,1,3,5
90,Lithuania,2020-11-03,2020-11-10,141,175,209
91,Luxembourg,2020-11-03,2020-11-10,147,167,187
92,Madagascar,2020-11-03,2020-11-10,244,244,244
93,Malaysia,2020-11-03,2020-11-10,238,263,288
94,Maldives,2020-11-03,2020-11-10,37,38,39
95,Malta,2020-11-03,2020-11-10,55,64,73
96,Mauritania,2020-11-03,2020-11-10,163,164,165
97,Mauritius,2020-11-03,2020-11-10,10,10,10
98,Mexico,2020-11-03,2020-11-10,89814,92593,95372
99,Moldova,2020-11-03,2020-11-10,1710,1838,1966
100,Monaco,2020-11-03,2020-11-10,2,2,2
101,Mongolia,2020-11-03,2020-11-10,0,0,0
102,Montenegro,2020-11-03,2020-11-10,275,322,369
103,Morocco,2020-11-03,2020-11-10,3445,3900,4355
104,Namibia,2020-11-03,2020-11-10,133,133,133
105,Nepal,2020-11-03,2020-11-10,876,1004,1132
106,Netherlands,2020-11-03,2020-11-10,7204,7640,8076
107,New Zealand,2020-11-03,2020-11-10,25,25,25
108,Nicaragua,2020-11-03,2020-11-10,156,156,156
109,Niger,2020-11-03,2020-11-10,69,69,69
110,Nigeria,2020-11-03,2020-11-10,1135,1151,1167
111,North Macedonia,2020-11-03,2020-11-10,949,1049,1149
112,Norway,2020-11-03,2020-11-10,280,282,284
113,Oman,2020-11-03,2020-11-10,1203,1264,1325
114,Pakistan,2020-11-03,2020-11-10,6759,6867,6975
115,Panama,2020-11-03,2020-11-10,2650,2731,2812
116,Papua New Guinea,2020-11-03,2020-11-10,7,7,7
117,Paraguay,2020-11-03,2020-11-10,1347,1441,1535
118,Peru,2020-11-03,2020-11-10,34197,34476,34755
119,Philippines,2020-11-03,2020-11-10,7053,7318,7583
120,Poland,2020-11-03,2020-11-10,4615,6102,7589
121,Portugal,2020-11-03,2020-11-10,2371,2635,2899
122,Qatar,2020-11-03,2020-11-10,230,232,234
123,Romania,2020-11-03,2020-11-10,6574,7273,7972
124,Russia,2020-11-03,2020-11-10,26409,28611,30813
125,Rwanda,2020-11-03,2020-11-10,35,35,35
126,Saint Lucia,2020-11-03,2020-11-10,0,0,0
127,Saint Vincent and the Grenadines,2020-11-03,2020-11-10,0,0,0
128,San Marino,2020-11-03,2020-11-10,42,42,42
129,Saudi Arabia,2020-11-03,2020-11-10,5329,5456,5583
130,Senegal,2020-11-03,2020-11-10,322,326,330
131,Serbia,2020-11-03,2020-11-10,798,844,890
132,Seychelles,2020-11-03,2020-11-10,0,0,0
133,Singapore,2020-11-03,2020-11-10,28,28,28
134,Slovakia,2020-11-03,2020-11-10,176,235,294
135,Slovenia,2020-11-03,2020-11-10,264,412,560
136,Somalia,2020-11-03,2020-11-10,104,107,110
137,South Africa,2020-11-03,2020-11-10,19053,19539,20025
138,Spain,2020-11-03,2020-11-10,35298,36495,37692
139,Sri Lanka,2020-11-03,2020-11-10,19,23,27
140,Sudan,2020-11-03,2020-11-10,837,837,837
141,Suriname,2020-11-03,2020-11-10,111,111,111
142,Sweden,2020-11-03,2020-11-10,5918,5969,6020
143,Switzerland,2020-11-03,2020-11-10,2147,2471,2795
144,Tanzania,2020-11-03,2020-11-10,21,21,21
145,Thailand,2020-11-03,2020-11-10,59,59,59
146,Togo,2020-11-03,2020-11-10,54,57,60
147,Trinidad and Tobago,2020-11-03,2020-11-10,106,110,114
148,Tunisia,2020-11-03,2020-11-10,983,1483,1983
149,Turkey,2020-11-03,2020-11-10,9950,10481,11012
150,Uganda,2020-11-03,2020-11-10,103,115,127
151,Ukraine,2020-11-03,2020-11-10,6770,7749,8728
152,United Arab Emirates,2020-11-03,2020-11-10,482,503,524
153,United Kingdom,2020-11-03,2020-11-10,45455,47340,49225
154,Uruguay,2020-11-03,2020-11-10,54,61,68
155,US,2020-11-03,2020-11-10,226700,232620,238540
156,Uzbekistan,2020-11-03,2020-11-10,556,574,592
157,Venezuela,2020-11-03,2020-11-10,780,810,840
158,Vietnam,2020-11-03,2020-11-10,35,35,35
159,Zambia,2020-11-03,2020-11-10,348,349,350
160,Zimbabwe,2020-11-03,2020-11-10,242,246,250
161,Dominica,2020-11-03,2020-11-10,0,0,0
162,Grenada,2020-11-03,2020-11-10,0,0,0
163,Mozambique,2020-11-03,2020-11-10,89,95,101
164,Syria,2020-11-03,2020-11-10,275,298,321
165,Timor-Leste,2020-11-03,2020-11-10,0,0,0
166,Belize,2020-11-03,2020-11-10,51,61,71
167,Laos,2020-11-03,2020-11-10,0,0,0
168,Libya,2020-11-03,2020-11-10,812,893,974
169,West Bank and Gaza,2020-11-03,2020-11-10,458,501,544
170,Guinea-Bissau,2020-11-03,2020-11-10,41,41,41
171,Mali,2020-11-03,2020-11-10,136,136,136
172,Saint Kitts and Nevis,2020-11-03,2020-11-10,0,0,0
173,Kosovo,2020-11-03,2020-11-10,663,705,747
174,Burma,2020-11-03,2020-11-10,1147,1307,1467
175,MS Zaandam,2020-11-03,2020-11-10,2,2,2
176,Botswana,2020-11-03,2020-11-10,21,24,27
177,Burundi,2020-11-03,2020-11-10,1,1,1
178,Sierra Leone,2020-11-03,2020-11-10,74,74,74
179,Malawi,2020-11-03,2020-11-10,183,184,185
180,South Sudan,2020-11-03,2020-11-10,56,59,62
181,Western Sahara,2020-11-03,2020-11-10,1,1,1
182,Sao Tome and Principe,2020-11-03,2020-11-10,15,16,17
183,Yemen,2020-11-03,2020-11-10,599,601,603
