,Country,start_date,pre_date,b7_truth,start_truth,pre_deaths
0,Afghanistan,2020-10-04,2020-10-11,1453,1462,1471
1,Albania,2020-10-04,2020-10-11,377,396,415
2,Algeria,2020-10-04,2020-10-11,1714,1760,1806
3,Andorra,2020-10-04,2020-10-11,53,53,53
4,Angola,2020-10-04,2020-10-11,174,195,216
5,Antigua and Barbuda,2020-10-04,2020-10-11,3,3,3
6,Argentina,2020-10-04,2020-10-11,15749,21018,26287
7,Armenia,2020-10-04,2020-10-11,951,977,1003
8,Australia,2020-10-04,2020-10-11,875,894,913
9,Austria,2020-10-04,2020-10-11,787,813,839
10,Azerbaijan,2020-10-04,2020-10-11,586,596,606
11,Bahamas,2020-10-04,2020-10-11,89,96,103
12,Bahrain,2020-10-04,2020-10-11,242,260,278
13,Bangladesh,2020-10-04,2020-10-11,5161,5348,5535
14,Barbados,2020-10-04,2020-10-11,7,7,7
15,Belarus,2020-10-04,2020-10-11,818,851,884
16,Belgium,2020-10-04,2020-10-11,9980,10064,10148
17,Benin,2020-10-04,2020-10-11,40,41,42
18,Bhutan,2020-10-04,2020-10-11,0,0,0
19,Bolivia,2020-10-04,2020-10-11,7858,8101,8344
20,Bosnia and Herzegovina,2020-10-04,2020-10-11,822,879,936
21,Brazil,2020-10-04,2020-10-11,141741,146352,150963
22,Brunei,2020-10-04,2020-10-11,3,3,3
23,Bulgaria,2020-10-04,2020-10-11,796,844,892
24,Burkina Faso,2020-10-04,2020-10-11,56,59,62
25,Cabo Verde,2020-10-04,2020-10-11,57,65,73
26,Cambodia,2020-10-04,2020-10-11,0,0,0
27,Cameroon,2020-10-04,2020-10-11,418,420,422
28,Canada,2020-10-04,2020-10-11,9318,9533,9748
29,Central African Republic,2020-10-04,2020-10-11,62,62,62
30,Chad,2020-10-04,2020-10-11,84,86,88
31,Chile,2020-10-04,2020-10-11,12641,12979,13317
32,China,2020-10-04,2020-10-11,4739,4739,4739
33,Colombia,2020-10-04,2020-10-11,25488,26712,27936
34,Congo (Brazzaville),2020-10-04,2020-10-11,89,89,89
35,Congo (Kinshasa),2020-10-04,2020-10-11,271,274,277
36,Costa Rica,2020-10-04,2020-10-11,828,950,1072
37,Cote d'Ivoire,2020-10-04,2020-10-11,120,120,120
38,Croatia,2020-10-04,2020-10-11,272,298,324
39,Diamond Princess,2020-10-04,2020-10-11,13,13,13
40,Cuba,2020-10-04,2020-10-11,122,122,122
41,Cyprus,2020-10-04,2020-10-11,22,22,22
42,Czechia,2020-10-04,2020-10-11,606,727,848
43,Denmark,2020-10-04,2020-10-11,649,658,667
44,Djibouti,2020-10-04,2020-10-11,61,61,61
45,Dominican Republic,2020-10-04,2020-10-11,2095,2134,2173
46,Ecuador,2020-10-04,2020-10-11,11279,11647,12015
47,Egypt,2020-10-04,2020-10-11,5883,5981,6079
48,El Salvador,2020-10-04,2020-10-11,826,863,900
49,Equatorial Guinea,2020-10-04,2020-10-11,83,83,83
50,Eritrea,2020-10-04,2020-10-11,0,0,0
51,Estonia,2020-10-04,2020-10-11,64,67,70
52,Eswatini,2020-10-04,2020-10-11,108,111,114
