,Country,start_date,pre_date,b7_truth,start_truth,pre_deaths
0,Afghanistan,2021-01-24,2021-01-31,2339,2378,2417
1,Albania,2021-01-24,2021-01-31,1277,1315,1353
2,Algeria,2021-01-24,2021-01-31,2836,2863,2890
3,Andorra,2021-01-24,2021-01-31,91,96,101
4,Angola,2021-01-24,2021-01-31,436,459,482
5,Antigua and Barbuda,2021-01-24,2021-01-31,6,6,6
6,Argentina,2021-01-24,2021-01-31,45407,46827,48247
7,Armenia,2021-01-24,2021-01-31,2992,3039,3086
8,Australia,2021-01-24,2021-01-31,909,909,909
9,Austria,2021-01-24,2021-01-31,7082,7418,7754
10,Azerbaijan,2021-01-24,2021-01-31,3009,3082,3155
11,Bahamas,2021-01-24,2021-01-31,175,175,175
12,Bahrain,2021-01-24,2021-01-31,360,367,374
13,Bangladesh,2021-01-24,2021-01-31,7906,8023,8140
14,Barbados,2021-01-24,2021-01-31,7,9,11
15,Belarus,2021-01-24,2021-01-31,1582,1649,1716
16,Belgium,2021-01-24,2021-01-31,20435,20779,21123
17,Benin,2021-01-24,2021-01-31,46,48,50
18,Bhutan,2021-01-24,2021-01-31,1,1,1
19,Bolivia,2021-01-24,2021-01-31,9636,9985,10334
20,Bosnia and Herzegovina,2021-01-24,2021-01-31,4411,4555,4699
21,Brazil,2021-01-24,2021-01-31,209847,217037,224227
22,Brunei,2021-01-24,2021-01-31,3,3,3
23,Bulgaria,2021-01-24,2021-01-31,8483,8820,9157
24,Burkina Faso,2021-01-24,2021-01-31,102,112,122
25,Cabo Verde,2021-01-24,2021-01-31,119,127,135
26,Cambodia,2021-01-24,2021-01-31,0,0,0
27,Cameroon,2021-01-24,2021-01-31,455,462,469
28,Canada,2021-01-24,2021-01-31,18024,18767,19510
29,Central African Republic,2021-01-24,2021-01-31,63,63,63
30,Chad,2021-01-24,2021-01-31,111,116,121
31,Chile,2021-01-24,2021-01-31,17477,17933,18389
32,China,2021-01-24,2021-01-31,4797,4804,4811
33,Colombia,2021-01-24,2021-01-31,48631,51374,54117
34,Congo (Brazzaville),2021-01-24,2021-01-31,114,117,120
35,Congo (Kinshasa),2021-01-24,2021-01-31,631,661,691
36,Costa Rica,2021-01-24,2021-01-31,2416,2518,2620
37,Cote d'Ivoire,2021-01-24,2021-01-31,141,146,151
38,Croatia,2021-01-24,2021-01-31,4616,4827,5038
39,Diamond Princess,2021-01-24,2021-01-31,13,13,13
40,Cuba,2021-01-24,2021-01-31,170,194,218
41,Cyprus,2021-01-24,2021-01-31,170,186,202
42,Czechia,2021-01-24,2021-01-31,14338,15369,16400
43,Denmark,2021-01-24,2021-01-31,1776,1984,2192
44,Djibouti,2021-01-24,2021-01-31,61,61,61
45,Dominican Republic,2021-01-24,2021-01-31,2437,2531,2625
46,Ecuador,2021-01-24,2021-01-31,14319,14623,14927
47,Egypt,2021-01-24,2021-01-31,8583,8959,9335
48,El Salvador,2021-01-24,2021-01-31,1487,1561,1635
49,Equatorial Guinea,2021-01-24,2021-01-31,86,86,86
50,Eritrea,2021-01-24,2021-01-31,6,6,6
51,Estonia,2021-01-24,2021-01-31,325,376,427
52,Eswatini,2021-01-24,2021-01-31,376,479,582
53,Ethiopia,2021-01-24,2021-01-31,2030,2066,2102
54,Fiji,2021-01-24,2021-01-31,2,2,2
55,Finland,2021-01-24,2021-01-31,618,644,670
56,France,2021-01-24,2021-01-31,70422,73190,75958
57,Gabon,2021-01-24,2021-01-31,66,67,68
58,Gambia,2021-01-24,2021-01-31,127,128,129
59,Georgia,2021-01-24,2021-01-31,2933,3055,3177
60,Germany,2021-01-24,2021-01-31,46901,52296,57691
61,Ghana,2021-01-24,2021-01-31,346,367,388
62,Greece,2021-01-24,2021-01-31,5469,5646,5823
63,Guatemala,2021-01-24,2021-01-31,5254,5465,5676
64,Guinea,2021-01-24,2021-01-31,81,81,81
65,Guyana,2021-01-24,2021-01-31,170,172,174
66,Haiti,2021-01-24,2021-01-31,240,243,246
67,Holy See,2021-01-24,2021-01-31,0,0,0
68,Honduras,2021-01-24,2021-01-31,3354,3447,3540
69,Hungary,2021-01-24,2021-01-31,11341,11968,12595
70,Iceland,2021-01-24,2021-01-31,29,29,29
71,India,2021-01-24,2021-01-31,152419,153470,154521
72,Indonesia,2021-01-24,2021-01-31,25987,27835,29683
73,Iran,2021-01-24,2021-01-31,56803,57383,57963
74,Iraq,2021-01-24,2021-01-31,12944,12993,13042
75,Ireland,2021-01-24,2021-01-31,2608,2970,3332
76,Israel,2021-01-24,2021-01-31,4005,4419,4833
77,Italy,2021-01-24,2021-01-31,82177,85461,88745
78,Jamaica,2021-01-24,2021-01-31,324,336,348
79,Japan,2021-01-24,2021-01-31,4305,5119,5933
80,Jordan,2021-01-24,2021-01-31,4145,4224,4303
81,Kazakhstan,2021-01-24,2021-01-31,2889,2958,3027
82,Kenya,2021-01-24,2021-01-31,1731,1744,1757
83,"Korea, South",2021-01-24,2021-01-31,1264,1360,1456
84,Kuwait,2021-01-24,2021-01-31,947,952,957
85,Kyrgyzstan,2021-01-24,2021-01-31,1387,1400,1413
86,Latvia,2021-01-24,2021-01-31,978,1111,1244
87,Lebanon,2021-01-24,2021-01-31,1906,2320,2734
88,Liberia,2021-01-24,2021-01-31,84,84,84
89,Liechtenstein,2021-01-24,2021-01-31,49,52,55
90,Lithuania,2021-01-24,2021-01-31,2445,2649,2853
91,Luxembourg,2021-01-24,2021-01-31,549,562,575
92,Madagascar,2021-01-24,2021-01-31,273,279,285
93,Malaysia,2021-01-24,2021-01-31,601,678,755
94,Maldives,2021-01-24,2021-01-31,49,51,53
95,Malta,2021-01-24,2021-01-31,239,251,263
96,Mauritania,2021-01-24,2021-01-31,402,416,430
97,Mauritius,2021-01-24,2021-01-31,10,10,10
98,Mexico,2021-01-24,2021-01-31,140704,149614,158524
99,Moldova,2021-01-24,2021-01-31,3250,3361,3472
100,Monaco,2021-01-24,2021-01-31,7,9,11
101,Mongolia,2021-01-24,2021-01-31,2,2,2
102,Montenegro,2021-01-24,2021-01-31,745,768,791
103,Morocco,2021-01-24,2021-01-31,7942,8150,8358
104,Namibia,2021-01-24,2021-01-31,285,319,353
105,Nepal,2021-01-24,2021-01-31,1959,2001,2043
106,Netherlands,2021-01-24,2021-01-31,13107,13646,14185
107,New Zealand,2021-01-24,2021-01-31,25,25,25
108,Nicaragua,2021-01-24,2021-01-31,167,168,169
109,Niger,2021-01-24,2021-01-31,140,151,162
110,Nigeria,2021-01-24,2021-01-31,1435,1504,1573
111,North Macedonia,2021-01-24,2021-01-31,2702,2785,2868
112,Norway,2021-01-24,2021-01-31,517,544,571
113,Oman,2021-01-24,2021-01-31,1512,1521,1530
114,Pakistan,2021-01-24,2021-01-31,10997,11318,11639
115,Panama,2021-01-24,2021-01-31,4787,5063,5339
116,Papua New Guinea,2021-01-24,2021-01-31,9,9,9
117,Paraguay,2021-01-24,2021-01-31,2505,2617,2729
118,Peru,2021-01-24,2021-01-31,38770,39608,40446
119,Philippines,2021-01-24,2021-01-31,9895,10242,10589
120,Poland,2021-01-24,2021-01-31,33355,35363,37371
121,Portugal,2021-01-24,2021-01-31,8861,10469,12077
122,Qatar,2021-01-24,2021-01-31,246,248,250
123,Romania,2021-01-24,2021-01-31,17221,17776,18331
124,Russia,2021-01-24,2021-01-31,64601,68397,72193
125,Rwanda,2021-01-24,2021-01-31,142,174,206
126,Saint Lucia,2021-01-24,2021-01-31,8,11,14
127,Saint Vincent and the Grenadines,2021-01-24,2021-01-31,1,2,3
128,San Marino,2021-01-24,2021-01-31,65,65,65
129,Saudi Arabia,2021-01-24,2021-01-31,6323,6352,6381
130,Senegal,2021-01-24,2021-01-31,515,575,635
131,Serbia,2021-01-24,2021-01-31,3750,3886,4022
132,Seychelles,2021-01-24,2021-01-31,2,3,4
133,Singapore,2021-01-24,2021-01-31,29,29,29
134,Slovakia,2021-01-24,2021-01-31,3474,4068,4662
135,Slovenia,2021-01-24,2021-01-31,3180,3360,3540
