,Country,start_date,pre_date,b7_truth,start_truth,pre_deaths
0,Afghanistan,2020-07-02,2020-07-09,675,807,939
1,Albania,2020-07-02,2020-07-09,49,69,89
2,Algeria,2020-07-02,2020-07-09,878,928,978
3,Andorra,2020-07-02,2020-07-09,52,52,52
4,Angola,2020-07-02,2020-07-09,10,17,24
5,Antigua and Barbuda,2020-07-02,2020-07-09,3,3,3
6,Argentina,2020-07-02,2020-07-09,1150,1385,1620
7,Armenia,2020-07-02,2020-07-09,397,459,521
8,Australia,2020-07-02,2020-07-09,104,104,104
9,Austria,2020-07-02,2020-07-09,698,705,712
10,Azerbaijan,2020-07-02,2020-07-09,180,228,276
11,Bahamas,2020-07-02,2020-07-09,11,11,11
12,Bahrain,2020-07-02,2020-07-09,71,94,117
13,Bangladesh,2020-07-02,2020-07-09,1621,1926,2231
14,Barbados,2020-07-02,2020-07-09,7,7,7
15,Belarus,2020-07-02,2020-07-09,367,405,443
16,Belgium,2020-07-02,2020-07-09,9726,9761,9796
17,Benin,2020-07-02,2020-07-09,14,21,28
18,Bhutan,2020-07-02,2020-07-09,0,0,0
19,Bolivia,2020-07-02,2020-07-09,913,1271,1629
20,Bosnia and Herzegovina,2020-07-02,2020-07-09,175,189,203
21,Brazil,2020-07-02,2020-07-09,54971,61884,68797
22,Brunei,2020-07-02,2020-07-09,3,3,3
23,Bulgaria,2020-07-02,2020-07-09,211,232,253
24,Burkina Faso,2020-07-02,2020-07-09,53,53,53
25,Cabo Verde,2020-07-02,2020-07-09,8,15,22
26,Cambodia,2020-07-02,2020-07-09,0,0,0
27,Cameroon,2020-07-02,2020-07-09,313,313,313
28,Canada,2020-07-02,2020-07-09,8567,8700,8833
29,Central African Republic,2020-07-02,2020-07-09,40,47,54
30,Chad,2020-07-02,2020-07-09,74,74,74
31,Chile,2020-07-02,2020-07-09,4903,5920,6937
32,China,2020-07-02,2020-07-09,4641,4641,4641
33,Colombia,2020-07-02,2020-07-09,2611,3650,4689
34,Congo (Brazzaville),2020-07-02,2020-07-09,37,41,45
35,Congo (Kinshasa),2020-07-02,2020-07-09,142,176,210
36,Costa Rica,2020-07-02,2020-07-09,12,18,24
37,Cote d'Ivoire,2020-07-02,2020-07-09,60,68,76
38,Croatia,2020-07-02,2020-07-09,107,110,113
39,Diamond Princess,2020-07-02,2020-07-09,13,13,13
40,Cuba,2020-07-02,2020-07-09,85,86,87
41,Cyprus,2020-07-02,2020-07-09,19,19,19
42,Czechia,2020-07-02,2020-07-09,345,353,361
43,Denmark,2020-07-02,2020-07-09,603,606,609
44,Djibouti,2020-07-02,2020-07-09,52,55,58
45,Dominican Republic,2020-07-02,2020-07-09,698,765,832
46,Ecuador,2020-07-02,2020-07-09,4343,4639,4935
47,Egypt,2020-07-02,2020-07-09,2533,3120,3707
48,El Salvador,2020-07-02,2020-07-09,126,191,256
49,Equatorial Guinea,2020-07-02,2020-07-09,32,51,70
50,Eritrea,2020-07-02,2020-07-09,0,0,0
51,Estonia,2020-07-02,2020-07-09,69,69,69
52,Eswatini,2020-07-02,2020-07-09,8,11,14
53,Ethiopia,2020-07-02,2020-07-09,81,103,125
54,Fiji,2020-07-02,2020-07-09,0,0,0
55,Finland,2020-07-02,2020-07-09,327,328,329
56,France,2020-07-02,2020-07-09,29755,29878,30001
57,Gabon,2020-07-02,2020-07-09,40,42,44
58,Gambia,2020-07-02,2020-07-09,2,2,2
59,Georgia,2020-07-02,2020-07-09,14,15,16
60,Germany,2020-07-02,2020-07-09,8940,9006,9072
61,Ghana,2020-07-02,2020-07-09,95,117,139
62,Greece,2020-07-02,2020-07-09,191,192,193
63,Guatemala,2020-07-02,2020-07-09,623,843,1063
64,Guinea,2020-07-02,2020-07-09,29,33,37
65,Guyana,2020-07-02,2020-07-09,12,14,16
66,Haiti,2020-07-02,2020-07-09,96,110,124
67,Holy See,2020-07-02,2020-07-09,0,0,0
68,Honduras,2020-07-02,2020-07-09,426,591,756
69,Hungary,2020-07-02,2020-07-09,577,587,597
70,Iceland,2020-07-02,2020-07-09,10,10,10
71,India,2020-07-02,2020-07-09,15301,18213,21125
72,Indonesia,2020-07-02,2020-07-09,2620,2987,3354
73,Iran,2020-07-02,2020-07-09,10130,11106,12082
74,Iraq,2020-07-02,2020-07-09,1437,2160,2883
75,Ireland,2020-07-02,2020-07-09,1727,1738,1749
76,Israel,2020-07-02,2020-07-09,309,324,339
77,Italy,2020-07-02,2020-07-09,34678,34818,34958
78,Jamaica,2020-07-02,2020-07-09,10,10,10
79,Japan,2020-07-02,2020-07-09,971,977,983
80,Jordan,2020-07-02,2020-07-09,9,9,9
81,Kazakhstan,2020-07-02,2020-07-09,140,188,236
82,Kenya,2020-07-02,2020-07-09,132,152,172
83,"Korea, South",2020-07-02,2020-07-09,282,282,282
84,Kuwait,2020-07-02,2020-07-09,339,359,379
85,Kyrgyzstan,2020-07-02,2020-07-09,43,76,109
86,Latvia,2020-07-02,2020-07-09,30,30,30
87,Lebanon,2020-07-02,2020-07-09,33,35,37
88,Liberia,2020-07-02,2020-07-09,34,37,40
89,Liechtenstein,2020-07-02,2020-07-09,1,1,1
90,Lithuania,2020-07-02,2020-07-09,78,78,78
91,Luxembourg,2020-07-02,2020-07-09,110,110,110
92,Madagascar,2020-07-02,2020-07-09,16,24,32
93,Malaysia,2020-07-02,2020-07-09,121,121,121
94,Maldives,2020-07-02,2020-07-09,8,10,12
95,Malta,2020-07-02,2020-07-09,9,9,9
96,Mauritania,2020-07-02,2020-07-09,119,129,139
97,Mauritius,2020-07-02,2020-07-09,10,10,10
98,Mexico,2020-07-02,2020-07-09,25060,29189,33318
99,Moldova,2020-07-02,2020-07-09,502,560,618
100,Monaco,2020-07-02,2020-07-09,4,4,4
101,Mongolia,2020-07-02,2020-07-09,0,0,0
102,Montenegro,2020-07-02,2020-07-09,9,12,15
103,Morocco,2020-07-02,2020-07-09,217,229,241
104,Namibia,2020-07-02,2020-07-09,0,0,0
105,Nepal,2020-07-02,2020-07-09,26,31,36
106,Netherlands,2020-07-02,2020-07-09,6119,6132,6145
107,New Zealand,2020-07-02,2020-07-09,22,22,22
108,Nicaragua,2020-07-02,2020-07-09,74,83,92
109,Niger,2020-07-02,2020-07-09,67,68,69
110,Nigeria,2020-07-02,2020-07-09,549,616,683
111,North Macedonia,2020-07-02,2020-07-09,265,321,377
112,Norway,2020-07-02,2020-07-09,249,251,253
113,Oman,2020-07-02,2020-07-09,144,188,232
114,Pakistan,2020-07-02,2020-07-09,3962,4551,5140
115,Panama,2020-07-02,2020-07-09,564,667,770
116,Papua New Guinea,2020-07-02,2020-07-09,0,0,0
117,Paraguay,2020-07-02,2020-07-09,13,19,25
118,Peru,2020-07-02,2020-07-09,8761,10045,11329
119,Philippines,2020-07-02,2020-07-09,1212,1274,1336
120,Poland,2020-07-02,2020-07-09,1412,1492,1572
121,Portugal,2020-07-02,2020-07-09,1549,1587,1625
122,Qatar,2020-07-02,2020-07-09,106,118,130
123,Romania,2020-07-02,2020-07-09,1565,1687,1809
124,Russia,2020-07-02,2020-07-09,8594,9668,10742
125,Rwanda,2020-07-02,2020-07-09,2,3,4
126,Saint Lucia,2020-07-02,2020-07-09,0,0,0
127,Saint Vincent and the Grenadines,2020-07-02,2020-07-09,0,0,0
128,San Marino,2020-07-02,2020-07-09,42,42,42
129,Saudi Arabia,2020-07-02,2020-07-09,1428,1752,2076
130,Senegal,2020-07-02,2020-07-09,94,121,148
131,Serbia,2020-07-02,2020-07-09,264,287,310
132,Seychelles,2020-07-02,2020-07-09,0,0,0
133,Singapore,2020-07-02,2020-07-09,26,26,26
134,Slovakia,2020-07-02,2020-07-09,28,28,28
135,Slovenia,2020-07-02,2020-07-09,109,111,113
136,Somalia,2020-07-02,2020-07-09,90,90,90
137,South Africa,2020-07-02,2020-07-09,2292,2844,3396
138,Spain,2020-07-02,2020-07-09,28330,28368,28406
139,Sri Lanka,2020-07-02,2020-07-09,11,11,11
140,Sudan,2020-07-02,2020-07-09,556,602,648
