,Country,start_date,pre_date,b7_truth,start_truth,pre_deaths
0,Afghanistan,2020-06-25,2020-07-02,546,675,804
1,Albania,2020-06-25,2020-07-02,39,49,59
2,Algeria,2020-06-25,2020-07-02,811,878,945
3,Andorra,2020-06-25,2020-07-02,52,52,52
4,Angola,2020-06-25,2020-07-02,8,10,12
5,Antigua and Barbuda,2020-06-25,2020-07-02,3,3,3
6,Argentina,2020-06-25,2020-07-02,948,1150,1352
7,Armenia,2020-06-25,2020-07-02,309,397,485
8,Australia,2020-06-25,2020-07-02,102,104,106
9,Austria,2020-06-25,2020-07-02,688,698,708
10,Azerbaijan,2020-06-25,2020-07-02,139,180,221
11,Bahamas,2020-06-25,2020-07-02,11,11,11
12,Bahrain,2020-06-25,2020-07-02,55,71,87
13,Bangladesh,2020-06-25,2020-07-02,1343,1621,1899
14,Barbados,2020-06-25,2020-07-02,7,7,7
15,Belarus,2020-06-25,2020-07-02,331,367,403
16,Belgium,2020-06-25,2020-07-02,9683,9726,9769
17,Benin,2020-06-25,2020-07-02,11,14,17
18,Bhutan,2020-06-25,2020-07-02,0,0,0
19,Bolivia,2020-06-25,2020-07-02,697,913,1129
20,Bosnia and Herzegovina,2020-06-25,2020-07-02,168,175,182
21,Brazil,2020-06-25,2020-07-02,47748,54971,62194
22,Brunei,2020-06-25,2020-07-02,3,3,3
23,Bulgaria,2020-06-25,2020-07-02,190,211,232
24,Burkina Faso,2020-06-25,2020-07-02,53,53,53
25,Cabo Verde,2020-06-25,2020-07-02,7,8,9
26,Cambodia,2020-06-25,2020-07-02,0,0,0
27,Cameroon,2020-06-25,2020-07-02,276,313,350
28,Canada,2020-06-25,2020-07-02,8361,8567,8773
29,Central African Republic,2020-06-25,2020-07-02,19,40,61
30,Chad,2020-06-25,2020-07-02,74,74,74
31,Chile,2020-06-25,2020-07-02,3841,4903,5965
32,China,2020-06-25,2020-07-02,4638,4641,4644
33,Colombia,2020-06-25,2020-07-02,1955,2611,3267
34,Congo (Brazzaville),2020-06-25,2020-07-02,27,37,47
35,Congo (Kinshasa),2020-06-25,2020-07-02,117,142,167
36,Costa Rica,2020-06-25,2020-07-02,12,12,12
37,Cote d'Ivoire,2020-06-25,2020-07-02,49,60,71
38,Croatia,2020-06-25,2020-07-02,107,107,107
39,Diamond Princess,2020-06-25,2020-07-02,13,13,13
40,Cuba,2020-06-25,2020-07-02,85,85,85
41,Cyprus,2020-06-25,2020-07-02,19,19,19
42,Czechia,2020-06-25,2020-07-02,334,345,356
43,Denmark,2020-06-25,2020-07-02,600,603,606
44,Djibouti,2020-06-25,2020-07-02,43,52,61
45,Dominican Republic,2020-06-25,2020-07-02,635,698,761
46,Ecuador,2020-06-25,2020-07-02,4087,4343,4599
47,Egypt,2020-06-25,2020-07-02,1938,2533,3128
48,El Salvador,2020-06-25,2020-07-02,82,126,170
49,Equatorial Guinea,2020-06-25,2020-07-02,32,32,32
50,Eritrea,2020-06-25,2020-07-02,0,0,0
51,Estonia,2020-06-25,2020-07-02,69,69,69
52,Eswatini,2020-06-25,2020-07-02,4,8,12
53,Ethiopia,2020-06-25,2020-07-02,65,81,97
54,Fiji,2020-06-25,2020-07-02,0,0,0
55,Finland,2020-06-25,2020-07-02,326,327,328
56,France,2020-06-25,2020-07-02,29606,29755,29904
57,Gabon,2020-06-25,2020-07-02,32,40,48
58,Gambia,2020-06-25,2020-07-02,1,2,3
59,Georgia,2020-06-25,2020-07-02,14,14,14
60,Germany,2020-06-25,2020-07-02,8875,8940,9005
61,Ghana,2020-06-25,2020-07-02,66,95,124
62,Greece,2020-06-25,2020-07-02,188,191,194
63,Guatemala,2020-06-25,2020-07-02,449,623,797
64,Guinea,2020-06-25,2020-07-02,26,29,32
65,Guyana,2020-06-25,2020-07-02,12,12,12
66,Haiti,2020-06-25,2020-07-02,84,96,108
67,Holy See,2020-06-25,2020-07-02,0,0,0
68,Honduras,2020-06-25,2020-07-02,343,426,509
69,Hungary,2020-06-25,2020-07-02,568,577,586
70,Iceland,2020-06-25,2020-07-02,10,10,10
71,India,2020-06-25,2020-07-02,12573,15301,18029
72,Indonesia,2020-06-25,2020-07-02,2339,2620,2901
73,Iran,2020-06-25,2020-07-02,9272,10130,10988
74,Iraq,2020-06-25,2020-07-02,856,1437,2018
75,Ireland,2020-06-25,2020-07-02,1714,1727,1740
76,Israel,2020-06-25,2020-07-02,303,309,315
77,Italy,2020-06-25,2020-07-02,34514,34678,34842
78,Jamaica,2020-06-25,2020-07-02,10,10,10
79,Japan,2020-06-25,2020-07-02,935,971,1007
80,Jordan,2020-06-25,2020-07-02,9,9,9
81,Kazakhstan,2020-06-25,2020-07-02,100,140,180
82,Kenya,2020-06-25,2020-07-02,117,132,147
83,"Korea, South",2020-06-25,2020-07-02,280,282,284
84,Kuwait,2020-06-25,2020-07-02,308,339,370
85,Kyrgyzstan,2020-06-25,2020-07-02,31,43,55
86,Latvia,2020-06-25,2020-07-02,30,30,30
87,Lebanon,2020-06-25,2020-07-02,32,33,34
88,Liberia,2020-06-25,2020-07-02,33,34,35
89,Liechtenstein,2020-06-25,2020-07-02,1,1,1
90,Lithuania,2020-06-25,2020-07-02,76,78,80
91,Luxembourg,2020-06-25,2020-07-02,110,110,110
92,Madagascar,2020-06-25,2020-07-02,13,16,19
93,Malaysia,2020-06-25,2020-07-02,121,121,121
94,Maldives,2020-06-25,2020-07-02,8,8,8
95,Malta,2020-06-25,2020-07-02,9,9,9
96,Mauritania,2020-06-25,2020-07-02,97,119,141
97,Mauritius,2020-06-25,2020-07-02,10,10,10
98,Mexico,2020-06-25,2020-07-02,19747,25060,30373
99,Moldova,2020-06-25,2020-07-02,444,502,560
100,Monaco,2020-06-25,2020-07-02,4,4,4
101,Mongolia,2020-06-25,2020-07-02,0,0,0
102,Montenegro,2020-06-25,2020-07-02,9,9,9
103,Morocco,2020-06-25,2020-07-02,213,217,221
104,Namibia,2020-06-25,2020-07-02,0,0,0
105,Nepal,2020-06-25,2020-07-02,22,26,30
106,Netherlands,2020-06-25,2020-07-02,6097,6119,6141
107,New Zealand,2020-06-25,2020-07-02,22,22,22
108,Nicaragua,2020-06-25,2020-07-02,64,74,84
109,Niger,2020-06-25,2020-07-02,67,67,67
110,Nigeria,2020-06-25,2020-07-02,475,549,623
111,North Macedonia,2020-06-25,2020-07-02,216,265,314
112,Norway,2020-06-25,2020-07-02,244,249,254
113,Oman,2020-06-25,2020-07-02,119,144,169
114,Pakistan,2020-06-25,2020-07-02,3229,3962,4695
115,Panama,2020-06-25,2020-07-02,475,564,653
116,Papua New Guinea,2020-06-25,2020-07-02,0,0,0
117,Paraguay,2020-06-25,2020-07-02,13,13,13
118,Peru,2020-06-25,2020-07-02,7461,8761,10061
119,Philippines,2020-06-25,2020-07-02,1116,1212,1308
120,Poland,2020-06-25,2020-07-02,1316,1412,1508
121,Portugal,2020-06-25,2020-07-02,1524,1549,1574
122,Qatar,2020-06-25,2020-07-02,86,106,126
123,Romania,2020-06-25,2020-07-02,1473,1565,1657
124,Russia,2020-06-25,2020-07-02,7650,8594,9538
125,Rwanda,2020-06-25,2020-07-02,2,2,2
126,Saint Lucia,2020-06-25,2020-07-02,0,0,0
127,Saint Vincent and the Grenadines,2020-06-25,2020-07-02,0,0,0
128,San Marino,2020-06-25,2020-07-02,42,42,42
129,Saudi Arabia,2020-06-25,2020-07-02,1139,1428,1717
130,Senegal,2020-06-25,2020-07-02,76,94,112
131,Serbia,2020-06-25,2020-07-02,258,264,270
132,Seychelles,2020-06-25,2020-07-02,0,0,0
133,Singapore,2020-06-25,2020-07-02,26,26,26
134,Slovakia,2020-06-25,2020-07-02,28,28,28
135,Slovenia,2020-06-25,2020-07-02,109,109,109
