,Country,start_date,pre_date,b7_truth,start_truth,pre_deaths
0,Afghanistan,2020-07-21,2020-07-28,1048,1186,1324
1,Albania,2020-07-21,2020-07-28,97,117,137
2,Algeria,2020-07-21,2020-07-28,1028,1100,1172
3,Andorra,2020-07-21,2020-07-28,52,52,52
4,Angola,2020-07-21,2020-07-28,26,30,34
5,Antigua and Barbuda,2020-07-21,2020-07-28,3,3,3
6,Argentina,2020-07-21,2020-07-28,1968,2490,3012
7,Armenia,2020-07-21,2020-07-28,581,662,743
8,Australia,2020-07-21,2020-07-28,111,128,145
9,Austria,2020-07-21,2020-07-28,709,710,711
10,Azerbaijan,2020-07-21,2020-07-28,319,376,433
11,Bahamas,2020-07-21,2020-07-28,11,11,11
12,Bahrain,2020-07-21,2020-07-28,111,129,147
13,Bangladesh,2020-07-21,2020-07-28,2424,2709,2994
14,Barbados,2020-07-21,2020-07-28,7,7,7
15,Belarus,2020-07-21,2020-07-28,474,507,540
16,Belgium,2020-07-21,2020-07-28,9787,9805,9823
17,Benin,2020-07-21,2020-07-28,26,31,36
18,Bhutan,2020-07-21,2020-07-28,0,0,0
19,Bolivia,2020-07-21,2020-07-28,1898,2273,2648
20,Bosnia and Herzegovina,2020-07-21,2020-07-28,226,264,302
21,Brazil,2020-07-21,2020-07-28,74133,81487,88841
22,Brunei,2020-07-21,2020-07-28,3,3,3
23,Bulgaria,2020-07-21,2020-07-28,283,313,343
24,Burkina Faso,2020-07-21,2020-07-28,53,53,53
25,Cabo Verde,2020-07-21,2020-07-28,19,21,23
26,Cambodia,2020-07-21,2020-07-28,0,0,0
27,Cameroon,2020-07-21,2020-07-28,359,382,405
28,Canada,2020-07-21,2020-07-28,8845,8908,8971
29,Central African Republic,2020-07-21,2020-07-28,53,55,57
30,Chad,2020-07-21,2020-07-28,75,75,75
31,Chile,2020-07-21,2020-07-28,7069,8677,10285
32,China,2020-07-21,2020-07-28,4642,4644,4646
33,Colombia,2020-07-21,2020-07-28,5625,7166,8707
34,Congo (Brazzaville),2020-07-21,2020-07-28,47,50,53
35,Congo (Kinshasa),2020-07-21,2020-07-28,190,196,202
36,Costa Rica,2020-07-21,2020-07-28,37,68,99
37,Cote d'Ivoire,2020-07-21,2020-07-28,87,93,99
38,Croatia,2020-07-21,2020-07-28,120,123,126
39,Diamond Princess,2020-07-21,2020-07-28,13,13,13
40,Cuba,2020-07-21,2020-07-28,87,87,87
41,Cyprus,2020-07-21,2020-07-28,19,19,19
42,Czechia,2020-07-21,2020-07-28,355,360,365
43,Denmark,2020-07-21,2020-07-28,610,611,612
44,Djibouti,2020-07-21,2020-07-28,56,56,56
45,Dominican Republic,2020-07-21,2020-07-28,910,999,1088
46,Ecuador,2020-07-21,2020-07-28,5130,5366,5602
47,Egypt,2020-07-21,2020-07-28,4008,4399,4790
48,El Salvador,2020-07-21,2020-07-28,278,352,426
49,Equatorial Guinea,2020-07-21,2020-07-28,51,51,51
50,Eritrea,2020-07-21,2020-07-28,0,0,0
51,Estonia,2020-07-21,2020-07-28,69,69,69
52,Eswatini,2020-07-21,2020-07-28,20,24,28
53,Ethiopia,2020-07-21,2020-07-28,139,180,221
54,Fiji,2020-07-21,2020-07-28,0,0,0
55,Finland,2020-07-21,2020-07-28,329,328,327
56,France,2020-07-21,2020-07-28,30032,30168,30304
57,Gabon,2020-07-21,2020-07-28,46,46,46
