,Country,start_date,pre_date,b7_truth,start_truth,pre_deaths
0,Afghanistan,2020-05-12,2020-05-19,95,127,159
1,Albania,2020-05-12,2020-05-19,31,31,31
2,Algeria,2020-05-12,2020-05-19,470,515,560
3,Andorra,2020-05-12,2020-05-19,46,48,50
4,Angola,2020-05-12,2020-05-19,2,2,2
5,Antigua and Barbuda,2020-05-12,2020-05-19,3,3,3
6,Argentina,2020-05-12,2020-05-19,264,319,374
7,Armenia,2020-05-12,2020-05-19,40,47,54
8,Australia,2020-05-12,2020-05-19,97,98,99
9,Austria,2020-05-12,2020-05-19,606,623,640
10,Azerbaijan,2020-05-12,2020-05-19,26,33,40
11,Bahamas,2020-05-12,2020-05-19,11,11,11
12,Bahrain,2020-05-12,2020-05-19,8,9,10
13,Bangladesh,2020-05-12,2020-05-19,183,250,317
14,Barbados,2020-05-12,2020-05-19,7,7,7
15,Belarus,2020-05-12,2020-05-19,107,142,177
16,Belgium,2020-05-12,2020-05-19,8016,8761,9506
17,Benin,2020-05-12,2020-05-19,2,2,2
18,Bhutan,2020-05-12,2020-05-19,0,0,0
19,Bolivia,2020-05-12,2020-05-19,86,128,170
20,Bosnia and Herzegovina,2020-05-12,2020-05-19,79,117,155
21,Brazil,2020-05-12,2020-05-19,7938,12461,16984
22,Brunei,2020-05-12,2020-05-19,1,1,1
23,Bulgaria,2020-05-12,2020-05-19,80,95,110
24,Burkina Faso,2020-05-12,2020-05-19,48,51,54
25,Cabo Verde,2020-05-12,2020-05-19,2,2,2
26,Cambodia,2020-05-12,2020-05-19,0,0,0
27,Cameroon,2020-05-12,2020-05-19,64,125,186
28,Canada,2020-05-12,2020-05-19,4190,5300,6410
29,Central African Republic,2020-05-12,2020-05-19,0,0,0
30,Chad,2020-05-12,2020-05-19,17,40,63
31,Chile,2020-05-12,2020-05-19,275,335,395
32,China,2020-05-12,2020-05-19,4637,4637,4637
33,Colombia,2020-05-12,2020-05-19,378,493,608
34,Congo (Brazzaville),2020-05-12,2020-05-19,10,11,12
35,Congo (Kinshasa),2020-05-12,2020-05-19,34,44,54
36,Costa Rica,2020-05-12,2020-05-19,6,7,8
37,Cote d'Ivoire,2020-05-12,2020-05-19,18,21,24
38,Croatia,2020-05-12,2020-05-19,83,91,99
39,Diamond Princess,2020-05-12,2020-05-19,13,13,13
40,Cuba,2020-05-12,2020-05-19,69,78,87
41,Cyprus,2020-05-12,2020-05-19,15,16,17
42,Czechia,2020-05-12,2020-05-19,257,283,309
43,Denmark,2020-05-12,2020-05-19,503,527,551
44,Djibouti,2020-05-12,2020-05-19,2,3,4
45,Dominican Republic,2020-05-12,2020-05-19,354,402,450
46,Ecuador,2020-05-12,2020-05-19,1569,2327,3085
47,Egypt,2020-05-12,2020-05-19,452,544,636
48,El Salvador,2020-05-12,2020-05-19,14,20,26
49,Equatorial Guinea,2020-05-12,2020-05-19,3,4,5
50,Eritrea,2020-05-12,2020-05-19,0,0,0
51,Estonia,2020-05-12,2020-05-19,55,61,67
52,Eswatini,2020-05-12,2020-05-19,1,2,3
53,Ethiopia,2020-05-12,2020-05-19,4,5,6
54,Fiji,2020-05-12,2020-05-19,0,0,0
55,Finland,2020-05-12,2020-05-19,246,275,304
56,France,2020-05-12,2020-05-19,25537,26994,28451
57,Gabon,2020-05-12,2020-05-19,6,9,12
58,Gambia,2020-05-12,2020-05-19,1,1,1
59,Georgia,2020-05-12,2020-05-19,9,11,13
60,Germany,2020-05-12,2020-05-19,6993,7738,8483
61,Ghana,2020-05-12,2020-05-19,18,22,26
62,Greece,2020-05-12,2020-05-19,146,152,158
63,Guatemala,2020-05-12,2020-05-19,19,27,35
64,Guinea,2020-05-12,2020-05-19,10,11,12
65,Guyana,2020-05-12,2020-05-19,10,10,10
66,Haiti,2020-05-12,2020-05-19,12,16,20
67,Holy See,2020-05-12,2020-05-19,0,0,0
68,Honduras,2020-05-12,2020-05-19,93,121,149
69,Hungary,2020-05-12,2020-05-19,363,425,487
70,Iceland,2020-05-12,2020-05-19,10,10,10
71,India,2020-05-12,2020-05-19,1693,2415,3137
72,Indonesia,2020-05-12,2020-05-19,872,1007,1142
73,Iran,2020-05-12,2020-05-19,6340,6733,7126
74,Iraq,2020-05-12,2020-05-19,102,112,122
75,Ireland,2020-05-12,2020-05-19,1339,1488,1637
76,Israel,2020-05-12,2020-05-19,238,260,282
77,Italy,2020-05-12,2020-05-19,29315,30911,32507
78,Jamaica,2020-05-12,2020-05-19,9,9,9
79,Japan,2020-05-12,2020-05-19,556,657,758
80,Jordan,2020-05-12,2020-05-19,9,9,9
81,Kazakhstan,2020-05-12,2020-05-19,29,32,35
82,Kenya,2020-05-12,2020-05-19,24,36,48
83,"Korea, South",2020-05-12,2020-05-19,255,259,263
84,Kuwait,2020-05-12,2020-05-19,40,75,110
85,Kyrgyzstan,2020-05-12,2020-05-19,11,12,13
86,Latvia,2020-05-12,2020-05-19,17,18,19
87,Lebanon,2020-05-12,2020-05-19,25,26,27
88,Liberia,2020-05-12,2020-05-19,20,20,20
89,Liechtenstein,2020-05-12,2020-05-19,1,1,1
90,Lithuania,2020-05-12,2020-05-19,46,50,54
91,Luxembourg,2020-05-12,2020-05-19,96,102,108
92,Madagascar,2020-05-12,2020-05-19,0,0,0
93,Malaysia,2020-05-12,2020-05-19,106,109,112
94,Maldives,2020-05-12,2020-05-19,2,3,4
95,Malta,2020-05-12,2020-05-19,5,5,5
96,Mauritania,2020-05-12,2020-05-19,1,1,1
97,Mauritius,2020-05-12,2020-05-19,10,10,10
98,Mexico,2020-05-12,2020-05-19,2507,3926,5345
99,Moldova,2020-05-12,2020-05-19,136,182,228
100,Monaco,2020-05-12,2020-05-19,4,4,4
101,Mongolia,2020-05-12,2020-05-19,0,0,0
102,Montenegro,2020-05-12,2020-05-19,8,9,10
103,Morocco,2020-05-12,2020-05-19,181,188,195
104,Namibia,2020-05-12,2020-05-19,0,0,0
105,Nepal,2020-05-12,2020-05-19,0,0,0
106,Netherlands,2020-05-12,2020-05-19,5185,5529,5873
107,New Zealand,2020-05-12,2020-05-19,21,21,21
108,Nicaragua,2020-05-12,2020-05-19,5,8,11
109,Niger,2020-05-12,2020-05-19,38,47,56
110,Nigeria,2020-05-12,2020-05-19,98,158,218
111,North Macedonia,2020-05-12,2020-05-19,86,92,98
112,Norway,2020-05-12,2020-05-19,215,228,241
113,Oman,2020-05-12,2020-05-19,13,17,21
114,Pakistan,2020-05-12,2020-05-19,514,737,960
115,Panama,2020-05-12,2020-05-19,210,252,294
116,Papua New Guinea,2020-05-12,2020-05-19,0,0,0
117,Paraguay,2020-05-12,2020-05-19,10,10,10
118,Peru,2020-05-12,2020-05-19,1444,2057,2670
119,Philippines,2020-05-12,2020-05-19,637,751,865
120,Poland,2020-05-12,2020-05-19,716,839,962
121,Portugal,2020-05-12,2020-05-19,1074,1163,1252
122,Qatar,2020-05-12,2020-05-19,12,14,16
123,Romania,2020-05-12,2020-05-19,841,1002,1163
124,Russia,2020-05-12,2020-05-19,1451,2116,2781
125,Rwanda,2020-05-12,2020-05-19,0,0,0
126,Saint Lucia,2020-05-12,2020-05-19,0,0,0
127,Saint Vincent and the Grenadines,2020-05-12,2020-05-19,0,0,0
128,San Marino,2020-05-12,2020-05-19,41,41,41
129,Saudi Arabia,2020-05-12,2020-05-19,200,264,328
130,Senegal,2020-05-12,2020-05-19,11,19,27
131,Serbia,2020-05-12,2020-05-19,200,220,240
132,Seychelles,2020-05-12,2020-05-19,0,0,0
133,Singapore,2020-05-12,2020-05-19,18,21,24
134,Slovakia,2020-05-12,2020-05-19,25,27,29
135,Slovenia,2020-05-12,2020-05-19,98,102,106
136,Somalia,2020-05-12,2020-05-19,38,52,66
137,South Africa,2020-05-12,2020-05-19,148,206,264
