,Country,start_date,pre_date,b7_truth,start_truth,pre_deaths
0,Afghanistan,2021-01-06,2021-01-13,2181,2244,2307
1,Albania,2021-01-06,2021-01-13,1174,1217,1260
2,Algeria,2021-01-06,2021-01-13,2751,2786,2821
3,Andorra,2021-01-06,2021-01-13,84,84,84
4,Angola,2021-01-06,2021-01-13,405,413,421
5,Antigua and Barbuda,2021-01-06,2021-01-13,5,5,5
6,Argentina,2021-01-06,2021-01-13,43163,43976,44789
7,Armenia,2021-01-06,2021-01-13,2807,2890,2973
8,Australia,2021-01-06,2021-01-13,909,909,909
9,Austria,2021-01-06,2021-01-13,6149,6525,6901
10,Azerbaijan,2021-01-06,2021-01-13,2609,2818,3027
11,Bahamas,2021-01-06,2021-01-13,170,175,180
12,Bahrain,2021-01-06,2021-01-13,352,353,354
13,Bangladesh,2021-01-06,2021-01-13,7531,7687,7843
14,Barbados,2021-01-06,2021-01-13,7,7,7
15,Belarus,2021-01-06,2021-01-13,1414,1480,1546
16,Belgium,2021-01-06,2021-01-13,19441,19883,20325
17,Benin,2021-01-06,2021-01-13,44,44,44
18,Bhutan,2021-01-06,2021-01-13,0,0,0
19,Bolivia,2021-01-06,2021-01-13,9149,9287,9425
20,Bosnia and Herzegovina,2021-01-06,2021-01-13,4050,4211,4372
21,Brazil,2021-01-06,2021-01-13,193875,198974,204073
22,Brunei,2021-01-06,2021-01-13,3,3,3
23,Bulgaria,2021-01-06,2021-01-13,7515,7961,8407
24,Burkina Faso,2021-01-06,2021-01-13,84,89,94
25,Cabo Verde,2021-01-06,2021-01-13,112,113,114
26,Cambodia,2021-01-06,2021-01-13,0,0,0
27,Cameroon,2021-01-06,2021-01-13,448,448,448
28,Canada,2021-01-06,2021-01-13,15498,16403,17308
29,Central African Republic,2021-01-06,2021-01-13,63,63,63
30,Chad,2021-01-06,2021-01-13,104,105,106
31,Chile,2021-01-06,2021-01-13,16499,16816,17133
32,China,2021-01-06,2021-01-13,4781,4788,4795
33,Colombia,2021-01-06,2021-01-13,42909,44723,46537
34,Congo (Brazzaville),2021-01-06,2021-01-13,107,108,109
35,Congo (Kinshasa),2021-01-06,2021-01-13,584,599,614
36,Costa Rica,2021-01-06,2021-01-13,2171,2267,2363
37,Cote d'Ivoire,2021-01-06,2021-01-13,137,138,139
38,Croatia,2021-01-06,2021-01-13,3860,4223,4586
39,Diamond Princess,2021-01-06,2021-01-13,13,13,13
40,Cuba,2021-01-06,2021-01-13,145,148,151
41,Cyprus,2021-01-06,2021-01-13,119,138,157
42,Czechia,2021-01-06,2021-01-13,11429,12436,13443
43,Denmark,2021-01-06,2021-01-13,1256,1451,1646
44,Djibouti,2021-01-06,2021-01-13,61,61,61
45,Dominican Republic,2021-01-06,2021-01-13,2409,2419,2429
46,Ecuador,2021-01-06,2021-01-13,14023,14146,14269
47,Egypt,2021-01-06,2021-01-13,7576,7975,8374
48,El Salvador,2021-01-06,2021-01-13,1327,1382,1437
49,Equatorial Guinea,2021-01-06,2021-01-13,86,86,86
50,Eritrea,2021-01-06,2021-01-13,1,1,1
51,Estonia,2021-01-06,2021-01-13,226,261,296
52,Eswatini,2021-01-06,2021-01-13,184,261,338
53,Ethiopia,2021-01-06,2021-01-13,1918,1965,2012
54,Fiji,2021-01-06,2021-01-13,2,2,2
55,Finland,2021-01-06,2021-01-13,556,576,596
56,France,2021-01-06,2021-01-13,64508,66699,68890
57,Gabon,2021-01-06,2021-01-13,64,66,68
58,Gambia,2021-01-06,2021-01-13,124,125,126
59,Georgia,2021-01-06,2021-01-13,2481,2666,2851
60,Germany,2021-01-06,2021-01-13,33230,37835,42440
61,Ghana,2021-01-06,2021-01-13,335,335,335
62,Greece,2021-01-06,2021-01-13,4788,5099,5410
63,Guatemala,2021-01-06,2021-01-13,4803,4899,4995
64,Guinea,2021-01-06,2021-01-13,80,81,82
65,Guyana,2021-01-06,2021-01-13,164,166,168
66,Haiti,2021-01-06,2021-01-13,236,236,236
67,Holy See,2021-01-06,2021-01-13,0,0,0
68,Honduras,2021-01-06,2021-01-13,3111,3192,3273
69,Hungary,2021-01-06,2021-01-13,9429,10198,10967
70,Iceland,2021-01-06,2021-01-13,29,29,29
71,India,2021-01-06,2021-01-13,148738,150336,151934
72,Indonesia,2021-01-06,2021-01-13,21944,23296,24648
73,Iran,2021-01-06,2021-01-13,55095,55830,56565
74,Iraq,2021-01-06,2021-01-13,12808,12865,12922
75,Ireland,2021-01-06,2021-01-13,2226,2299,2372
76,Israel,2021-01-06,2021-01-13,3307,3529,3751
77,Italy,2021-01-06,2021-01-13,73604,76877,80150
78,Jamaica,2021-01-06,2021-01-13,302,306,310
79,Japan,2021-01-06,2021-01-13,3243,3609,3975
80,Jordan,2021-01-06,2021-01-13,3815,3955,4095
81,Kazakhstan,2021-01-06,2021-01-13,2761,2781,2801
82,Kenya,2021-01-06,2021-01-13,1667,1694,1721
83,"Korea, South",2021-01-06,2021-01-13,900,1046,1192
84,Kuwait,2021-01-06,2021-01-13,933,938,943
85,Kyrgyzstan,2021-01-06,2021-01-13,1354,1361,1368
86,Latvia,2021-01-06,2021-01-13,626,754,882
87,Lebanon,2021-01-06,2021-01-13,1456,1550,1644
88,Liberia,2021-01-06,2021-01-13,83,83,83
89,Liechtenstein,2021-01-06,2021-01-13,39,48,57
90,Lithuania,2021-01-06,2021-01-13,1422,2036,2650
91,Luxembourg,2021-01-06,2021-01-13,495,517,539
92,Madagascar,2021-01-06,2021-01-13,261,262,263
93,Malaysia,2021-01-06,2021-01-13,463,513,563
94,Maldives,2021-01-06,2021-01-13,48,48,48
95,Malta,2021-01-06,2021-01-13,216,227,238
96,Mauritania,2021-01-06,2021-01-13,339,373,407
97,Mauritius,2021-01-06,2021-01-13,10,10,10
98,Mexico,2021-01-06,2021-01-13,124897,129987,135077
