,Country,start_date,pre_date,b7_truth,start_truth,pre_deaths
0,Afghanistan,2020-05-23,2020-05-30,168,216,264
1,Albania,2020-05-23,2020-05-30,31,31,31
2,Algeria,2020-05-23,2020-05-30,542,592,642
3,Andorra,2020-05-23,2020-05-30,51,51,51
4,Angola,2020-05-23,2020-05-30,2,4,6
5,Antigua and Barbuda,2020-05-23,2020-05-30,3,3,3
6,Argentina,2020-05-23,2020-05-30,363,445,527
7,Armenia,2020-05-23,2020-05-30,55,77,99
8,Australia,2020-05-23,2020-05-30,98,102,106
9,Austria,2020-05-23,2020-05-30,629,639,649
10,Azerbaijan,2020-05-23,2020-05-30,36,49,62
11,Bahamas,2020-05-23,2020-05-30,11,11,11
12,Bahrain,2020-05-23,2020-05-30,12,13,14
13,Bangladesh,2020-05-23,2020-05-30,314,452,590
14,Barbados,2020-05-23,2020-05-30,7,7,7
15,Belarus,2020-05-23,2020-05-30,160,194,228
16,Belgium,2020-05-23,2020-05-30,9005,9237,9469
17,Benin,2020-05-23,2020-05-30,2,3,4
18,Bhutan,2020-05-23,2020-05-30,0,0,0
19,Bolivia,2020-05-23,2020-05-30,165,240,315
20,Bosnia and Herzegovina,2020-05-23,2020-05-30,129,141,153
21,Brazil,2020-05-23,2020-05-30,15662,22013,28364
22,Brunei,2020-05-23,2020-05-30,1,1,1
23,Bulgaria,2020-05-23,2020-05-30,105,126,147
24,Burkina Faso,2020-05-23,2020-05-30,51,52,53
25,Cabo Verde,2020-05-23,2020-05-30,3,3,3
26,Cambodia,2020-05-23,2020-05-30,0,0,0
27,Cameroon,2020-05-23,2020-05-30,140,159,178
28,Canada,2020-05-23,2020-05-30,5800,6466,7132
29,Central African Republic,2020-05-23,2020-05-30,0,1,2
30,Chad,2020-05-23,2020-05-30,50,60,70
31,Chile,2020-05-23,2020-05-30,421,673,925
32,China,2020-05-23,2020-05-30,4638,4638,4638
33,Colombia,2020-05-23,2020-05-30,562,705,848
34,Congo (Brazzaville),2020-05-23,2020-05-30,15,16,17
35,Congo (Kinshasa),2020-05-23,2020-05-30,61,63,65
36,Costa Rica,2020-05-23,2020-05-30,10,10,10
37,Cote d'Ivoire,2020-05-23,2020-05-30,25,30,35
38,Croatia,2020-05-23,2020-05-30,95,99,103
