,Country,start_date,pre_date,b7_truth,start_truth,pre_deaths
0,Afghanistan,2020-07-31,2020-08-07,1225,1272,1319
1,Albania,2020-07-31,2020-08-07,128,157,186
2,Algeria,2020-07-31,2020-08-07,1136,1210,1284
3,Andorra,2020-07-31,2020-08-07,52,52,52
4,Angola,2020-07-31,2020-08-07,35,52,69
5,Antigua and Barbuda,2020-07-31,2020-08-07,3,3,3
6,Argentina,2020-07-31,2020-08-07,2807,3543,4279
7,Armenia,2020-07-31,2020-08-07,692,738,784
8,Australia,2020-07-31,2020-08-07,145,201,257
9,Austria,2020-07-31,2020-08-07,711,718,725
10,Azerbaijan,2020-07-31,2020-08-07,400,448,496
11,Bahamas,2020-07-31,2020-08-07,11,14,17
12,Bahrain,2020-07-31,2020-08-07,136,147,158
13,Bangladesh,2020-07-31,2020-08-07,2836,3111,3386
14,Barbados,2020-07-31,2020-08-07,7,7,7
15,Belarus,2020-07-31,2020-08-07,524,559,594
16,Belgium,2020-07-31,2020-08-07,9817,9841,9865
17,Benin,2020-07-31,2020-08-07,34,36,38
18,Bhutan,2020-07-31,2020-08-07,0,0,0
19,Bolivia,2020-07-31,2020-08-07,2473,2977,3481
20,Bosnia and Herzegovina,2020-07-31,2020-08-07,280,339,398
21,Brazil,2020-07-31,2020-08-07,85238,92475,99712
22,Brunei,2020-07-31,2020-08-07,3,3,3
23,Bulgaria,2020-07-31,2020-08-07,337,383,429
24,Burkina Faso,2020-07-31,2020-08-07,53,53,53
25,Cabo Verde,2020-07-31,2020-08-07,22,23,24
26,Cambodia,2020-07-31,2020-08-07,0,0,0
27,Cameroon,2020-07-31,2020-08-07,385,391,397
28,Canada,2020-07-31,2020-08-07,8923,8980,9037
29,Central African Republic,2020-07-31,2020-08-07,59,59,59
30,Chad,2020-07-31,2020-08-07,75,75,75
31,Chile,2020-07-31,2020-08-07,8914,9457,10000
32,China,2020-07-31,2020-08-07,4650,4661,4672
33,Colombia,2020-07-31,2020-08-07,7975,10105,12235
34,Congo (Brazzaville),2020-07-31,2020-08-07,51,54,57
35,Congo (Kinshasa),2020-07-31,2020-08-07,201,215,229
36,Costa Rica,2020-07-31,2020-08-07,87,150,213
37,Cote d'Ivoire,2020-07-31,2020-08-07,94,102,110
38,Croatia,2020-07-31,2020-08-07,128,145,162
39,Diamond Princess,2020-07-31,2020-08-07,13,13,13
40,Cuba,2020-07-31,2020-08-07,87,87,87
41,Cyprus,2020-07-31,2020-08-07,19,19,19
42,Czechia,2020-07-31,2020-08-07,369,382,395
43,Denmark,2020-07-31,2020-08-07,613,615,617
44,Djibouti,2020-07-31,2020-08-07,58,58,58
45,Dominican Republic,2020-07-31,2020-08-07,1036,1160,1284
46,Ecuador,2020-07-31,2020-08-07,5468,5702,5936
47,Egypt,2020-07-31,2020-08-07,4518,4805,5092
