,Country,start_date,pre_date,b7_truth,start_truth,pre_deaths
0,Afghanistan,2021-01-04,2021-01-11,2174,2237,2300
1,Albania,2021-01-04,2021-01-11,1164,1199,1234
2,Algeria,2021-01-04,2021-01-11,2737,2777,2817
3,Andorra,2021-01-04,2021-01-11,83,84,85
4,Angola,2021-01-04,2021-01-11,403,408,413
5,Antigua and Barbuda,2021-01-04,2021-01-11,5,5,5
6,Argentina,2021-01-04,2021-01-11,42868,43634,44400
7,Armenia,2021-01-04,2021-01-11,2775,2864,2953
8,Australia,2021-01-04,2021-01-11,909,909,909
9,Austria,2021-01-04,2021-01-11,5931,6357,6783
10,Azerbaijan,2021-01-04,2021-01-11,2538,2761,2984
11,Bahamas,2021-01-04,2021-01-11,170,175,180
12,Bahrain,2021-01-04,2021-01-11,351,352,353
13,Bangladesh,2021-01-04,2021-01-11,7479,7650,7821
14,Barbados,2021-01-04,2021-01-11,7,7,7
15,Belarus,2021-01-04,2021-01-11,1394,1461,1528
16,Belgium,2021-01-04,2021-01-11,19234,19750,20266
17,Benin,2021-01-04,2021-01-11,44,44,44
18,Bhutan,2021-01-04,2021-01-11,0,0,0
19,Bolivia,2021-01-04,2021-01-11,9106,9219,9332
20,Bosnia and Herzegovina,2021-01-04,2021-01-11,3942,4131,4320
21,Brazil,2021-01-04,2021-01-11,191570,196561,201552
22,Brunei,2021-01-04,2021-01-11,3,3,3
23,Bulgaria,2021-01-04,2021-01-11,7251,7835,8419
24,Burkina Faso,2021-01-04,2021-01-11,78,86,94
25,Cabo Verde,2021-01-04,2021-01-11,112,113,114
26,Cambodia,2021-01-04,2021-01-11,0,0,0
27,Cameroon,2021-01-04,2021-01-11,448,448,448
28,Canada,2021-01-04,2021-01-11,15169,16098,17027
29,Central African Republic,2021-01-04,2021-01-11,63,63,63
30,Chad,2021-01-04,2021-01-11,104,104,104
31,Chile,2021-01-04,2021-01-11,16443,16767,17091
32,China,2021-01-04,2021-01-11,4775,4787,4799
33,Colombia,2021-01-04,2021-01-11,42374,44187,46000
34,Congo (Brazzaville),2021-01-04,2021-01-11,107,108,109
35,Congo (Kinshasa),2021-01-04,2021-01-11,579,599,619
36,Costa Rica,2021-01-04,2021-01-11,2144,2229,2314
