,Country,start_date,pre_date,b7_truth,start_truth,pre_deaths
0,Afghanistan,2021-02-10,2021-02-17,2406,2418,2430
1,Albania,2021-02-10,2021-02-17,1404,1503,1602
2,Algeria,2021-02-10,2021-02-17,2900,2926,2952
3,Andorra,2021-02-10,2021-02-17,103,106,109
4,Angola,2021-02-10,2021-02-17,470,487,504
5,Antigua and Barbuda,2021-02-10,2021-02-17,7,9,11
6,Argentina,2021-02-10,2021-02-17,48539,49674,50809
7,Armenia,2021-02-10,2021-02-17,3096,3130,3164
8,Australia,2021-02-10,2021-02-17,909,909,909
9,Austria,2021-02-10,2021-02-17,7902,8114,8326
10,Azerbaijan,2021-02-10,2021-02-17,3145,3167,3189
11,Bahamas,2021-02-10,2021-02-17,176,176,176
12,Bahrain,2021-02-10,2021-02-17,376,391,406
13,Bangladesh,2021-02-10,2021-02-17,8162,8239,8316
14,Barbados,2021-02-10,2021-02-17,14,20,26
15,Belarus,2021-02-10,2021-02-17,1746,1811,1876
16,Belgium,2021-02-10,2021-02-17,21216,21512,21808
17,Benin,2021-02-10,2021-02-17,54,56,58
18,Bhutan,2021-02-10,2021-02-17,1,1,1
19,Bolivia,2021-02-10,2021-02-17,10571,10996,11421
20,Bosnia and Herzegovina,2021-02-10,2021-02-17,4745,4853,4961
21,Brazil,2021-02-10,2021-02-17,227563,234850,242137
22,Brunei,2021-02-10,2021-02-17,3,3,3
23,Bulgaria,2021-02-10,2021-02-17,9218,9527,9836
24,Burkina Faso,2021-02-10,2021-02-17,127,134,141
25,Cabo Verde,2021-02-10,2021-02-17,135,138,141
26,Cambodia,2021-02-10,2021-02-17,0,0,0
27,Cameroon,2021-02-10,2021-02-17,474,474,474
28,Canada,2021-02-10,2021-02-17,20361,21007,21653
29,Central African Republic,2021-02-10,2021-02-17,63,63,63
30,Chad,2021-02-10,2021-02-17,121,126,131
31,Chile,2021-02-10,2021-02-17,18576,19105,19634
32,China,2021-02-10,2021-02-17,4821,4825,4829
33,Colombia,2021-02-10,2021-02-17,54877,56733,58589
34,Congo (Brazzaville),2021-02-10,2021-02-17,117,122,127
35,Congo (Kinshasa),2021-02-10,2021-02-17,675,686,697
36,Costa Rica,2021-02-10,2021-02-17,2650,2701,2752
37,Cote d'Ivoire,2021-02-10,2021-02-17,158,169,180
38,Croatia,2021-02-10,2021-02-17,5088,5238,5388
39,Diamond Princess,2021-02-10,2021-02-17,13,13,13
40,Cuba,2021-02-10,2021-02-17,220,249,278
41,Cyprus,2021-02-10,2021-02-17,203,217,231
42,Czechia,2021-02-10,2021-02-17,16683,17642,18601
43,Denmark,2021-02-10,2021-02-17,2171,2256,2341
44,Djibouti,2021-02-10,2021-02-17,63,63,63
45,Dominican Republic,2021-02-10,2021-02-17,2719,2883,3047
46,Ecuador,2021-02-10,2021-02-17,14949,15116,15283
47,Egypt,2021-02-10,2021-02-17,9460,9804,10148
48,El Salvador,2021-02-10,2021-02-17,1646,1709,1772
49,Equatorial Guinea,2021-02-10,2021-02-17,86,87,88
50,Eritrea,2021-02-10,2021-02-17,7,7,7
51,Estonia,2021-02-10,2021-02-17,433,477,521
52,Eswatini,2021-02-10,2021-02-17,585,616,647
53,Ethiopia,2021-02-10,2021-02-17,2122,2167,2212
54,Fiji,2021-02-10,2021-02-17,2,2,2
55,Finland,2021-02-10,2021-02-17,685,703,721
56,France,2021-02-10,2021-02-17,77741,80591,83441
57,Gabon,2021-02-10,2021-02-17,70,71,72
58,Gambia,2021-02-10,2021-02-17,132,135,138
59,Georgia,2021-02-10,2021-02-17,3221,3311,3401
60,Germany,2021-02-10,2021-02-17,59776,63672,67568
61,Ghana,2021-02-10,2021-02-17,433,482,531
62,Greece,2021-02-10,2021-02-17,5878,6034,6190
63,Guatemala,2021-02-10,2021-02-17,5736,5989,6242
64,Guinea,2021-02-10,2021-02-17,83,84,85
65,Guyana,2021-02-10,2021-02-17,177,182,187
66,Haiti,2021-02-10,2021-02-17,245,246,247
67,Holy See,2021-02-10,2021-02-17,0,0,0
68,Honduras,2021-02-10,2021-02-17,3662,3806,3950
69,Hungary,2021-02-10,2021-02-17,12739,13347,13955
70,Iceland,2021-02-10,2021-02-17,29,29,29
71,India,2021-02-10,2021-02-17,154703,155360,156017
72,Indonesia,2021-02-10,2021-02-17,30770,32167,33564
73,Iran,2021-02-10,2021-02-17,58189,58686,59183
74,Iraq,2021-02-10,2021-02-17,13079,13140,13201
75,Ireland,2021-02-10,2021-02-17,3512,3794,4076
76,Israel,2021-02-10,2021-02-17,4948,5257,5566
77,Italy,2021-02-10,2021-02-17,89820,92338,94856
78,Jamaica,2021-02-10,2021-02-17,355,362,369
79,Japan,2021-02-10,2021-02-17,6068,6722,7376
80,Jordan,2021-02-10,2021-02-17,4344,4411,4478
81,Kazakhstan,2021-02-10,2021-02-17,3048,3131,3214
82,Kenya,2021-02-10,2021-02-17,1769,1791,1813
83,"Korea, South",2021-02-10,2021-02-17,1448,1496,1544
84,Kuwait,2021-02-10,2021-02-17,961,980,999
85,Kyrgyzstan,2021-02-10,2021-02-17,1418,1436,1454
86,Latvia,2021-02-10,2021-02-17,1250,1395,1540
87,Lebanon,2021-02-10,2021-02-17,3315,3803,4291
88,Liberia,2021-02-10,2021-02-17,84,84,84
89,Liechtenstein,2021-02-10,2021-02-17,52,52,52
90,Lithuania,2021-02-10,2021-02-17,2867,2988,3109
91,Luxembourg,2021-02-10,2021-02-17,587,602,617
92,Madagascar,2021-02-10,2021-02-17,281,285,289
93,Malaysia,2021-02-10,2021-02-17,809,923,1037
94,Maldives,2021-02-10,2021-02-17,53,56,59
95,Malta,2021-02-10,2021-02-17,273,286,299
96,Mauritania,2021-02-10,2021-02-17,424,427,430
97,Mauritius,2021-02-10,2021-02-17,10,10,10
98,Mexico,2021-02-10,2021-02-17,161240,169760,178280
99,Moldova,2021-02-10,2021-02-17,3480,3589,3698
100,Monaco,2021-02-10,2021-02-17,18,19,20
101,Mongolia,2021-02-10,2021-02-17,2,2,2
102,Montenegro,2021-02-10,2021-02-17,825,861,897
103,Morocco,2021-02-10,2021-02-17,8323,8436,8549
104,Namibia,2021-02-10,2021-02-17,359,378,397
105,Nepal,2021-02-10,2021-02-17,2031,2047,2063
106,Netherlands,2021-02-10,2021-02-17,14281,14710,15139
107,New Zealand,2021-02-10,2021-02-17,25,25,25
108,Nicaragua,2021-02-10,2021-02-17,170,171,172
109,Niger,2021-02-10,2021-02-17,163,167,171
110,Nigeria,2021-02-10,2021-02-17,1618,1702,1786
111,North Macedonia,2021-02-10,2021-02-17,2893,2959,3025
112,Norway,2021-02-10,2021-02-17,574,592,610
113,Oman,2021-02-10,2021-02-17,1532,1537,1542
114,Pakistan,2021-02-10,2021-02-17,11833,12185,12537
