,Country,start_date,pre_date,b7_truth,start_truth,pre_deaths
0,Afghanistan,2020-09-15,2020-09-22,1418,1426,1434
1,Albania,2020-09-15,2020-09-22,321,340,359
2,Algeria,2020-09-15,2020-09-22,1571,1632,1693
3,Andorra,2020-09-15,2020-09-22,53,53,53
4,Angola,2020-09-15,2020-09-22,124,139,154
5,Antigua and Barbuda,2020-09-15,2020-09-22,3,3,3
6,Argentina,2020-09-15,2020-09-22,10405,11852,13299
7,Armenia,2020-09-15,2020-09-22,903,920,937
8,Australia,2020-09-15,2020-09-22,781,824,867
9,Austria,2020-09-15,2020-09-22,747,757,767
10,Azerbaijan,2020-09-15,2020-09-22,552,566,580
11,Bahamas,2020-09-15,2020-09-22,59,69,79
12,Bahrain,2020-09-15,2020-09-22,202,213,224
13,Bangladesh,2020-09-15,2020-09-22,4552,4802,5052
14,Barbados,2020-09-15,2020-09-22,7,7,7
15,Belarus,2020-09-15,2020-09-22,721,761,801
16,Belgium,2020-09-15,2020-09-22,9912,9930,9948
17,Benin,2020-09-15,2020-09-22,40,40,40
18,Bhutan,2020-09-15,2020-09-22,0,0,0
19,Bolivia,2020-09-15,2020-09-22,7097,7447,7797
20,Bosnia and Herzegovina,2020-09-15,2020-09-22,669,725,781
21,Brazil,2020-09-15,2020-09-22,127464,133119,138774
22,Brunei,2020-09-15,2020-09-22,3,3,3
23,Bulgaria,2020-09-15,2020-09-22,692,736,780
24,Burkina Faso,2020-09-15,2020-09-22,56,56,56
25,Cabo Verde,2020-09-15,2020-09-22,42,46,50
26,Cambodia,2020-09-15,2020-09-22,0,0,0
27,Cameroon,2020-09-15,2020-09-22,415,415,415
28,Canada,2020-09-15,2020-09-22,9203,9239,9275
29,Central African Republic,2020-09-15,2020-09-22,62,62,62
30,Chad,2020-09-15,2020-09-22,79,81,83
31,Chile,2020-09-15,2020-09-22,11682,12040,12398
32,China,2020-09-15,2020-09-22,4733,4736,4739
33,Colombia,2020-09-15,2020-09-22,21611,23288,24965
34,Congo (Brazzaville),2020-09-15,2020-09-22,114,88,62
35,Congo (Kinshasa),2020-09-15,2020-09-22,260,267,274
36,Costa Rica,2020-09-15,2020-09-22,531,633,735
37,Cote d'Ivoire,2020-09-15,2020-09-22,119,120,121
38,Croatia,2020-09-15,2020-09-22,203,230,257
39,Diamond Princess,2020-09-15,2020-09-22,13,13,13
40,Cuba,2020-09-15,2020-09-22,104,108,112
41,Cyprus,2020-09-15,2020-09-22,22,22,22
42,Czechia,2020-09-15,2020-09-22,441,476,511
43,Denmark,2020-09-15,2020-09-22,628,633,638
44,Djibouti,2020-09-15,2020-09-22,61,61,61
45,Dominican Republic,2020-09-15,2020-09-22,1889,1998,2107
46,Ecuador,2020-09-15,2020-09-22,10627,10963,11299
47,Egypt,2020-09-15,2020-09-22,5560,5679,5798
48,El Salvador,2020-09-15,2020-09-22,765,792,819
49,Equatorial Guinea,2020-09-15,2020-09-22,83,83,83
50,Eritrea,2020-09-15,2020-09-22,0,0,0
51,Estonia,2020-09-15,2020-09-22,64,64,64
52,Eswatini,2020-09-15,2020-09-22,96,101,106
53,Ethiopia,2020-09-15,2020-09-22,949,1035,1121
54,Fiji,2020-09-15,2020-09-22,2,2,2
55,Finland,2020-09-15,2020-09-22,336,339,342
56,France,2020-09-15,2020-09-22,30770,31007,31244
57,Gabon,2020-09-15,2020-09-22,53,53,53
58,Gambia,2020-09-15,2020-09-22,99,105,111
59,Georgia,2020-09-15,2020-09-22,19,19,19
60,Germany,2020-09-15,2020-09-22,9336,9367,9398
61,Ghana,2020-09-15,2020-09-22,283,294,305
62,Greece,2020-09-15,2020-09-22,290,313,336
63,Guatemala,2020-09-15,2020-09-22,2890,2984,3078
64,Guinea,2020-09-15,2020-09-22,63,63,63
65,Guyana,2020-09-15,2020-09-22,48,58,68
66,Haiti,2020-09-15,2020-09-22,214,220,226
67,Holy See,2020-09-15,2020-09-22,0,0,0
68,Honduras,2020-09-15,2020-09-22,2034,2087,2140
69,Hungary,2020-09-15,2020-09-22,626,646,666
70,Iceland,2020-09-15,2020-09-22,10,10,10
71,India,2020-09-15,2020-09-22,73890,82066,90242
72,Indonesia,2020-09-15,2020-09-22,8230,8965,9700
73,Iran,2020-09-15,2020-09-22,22542,23453,24364
74,Iraq,2020-09-15,2020-09-22,7657,8166,8675
75,Ireland,2020-09-15,2020-09-22,1778,1787,1796
76,Israel,2020-09-15,2020-09-22,1040,1147,1254
77,Italy,2020-09-15,2020-09-22,35563,35633,35703
78,Jamaica,2020-09-15,2020-09-22,36,46,56
79,Japan,2020-09-15,2020-09-22,1398,1463,1528
80,Jordan,2020-09-15,2020-09-22,19,26,33
81,Kazakhstan,2020-09-15,2020-09-22,1634,1671,1708
82,Kenya,2020-09-15,2020-09-22,599,634,669
