,Country,start_date,pre_date,b7_truth,start_truth,pre_deaths
0,Afghanistan,2020-06-11,2020-06-18,300,426,552
1,Albania,2020-06-11,2020-06-18,33,35,37
2,Algeria,2020-06-11,2020-06-18,681,741,801
3,Andorra,2020-06-11,2020-06-18,51,51,51
4,Angola,2020-06-11,2020-06-18,4,5,6
5,Antigua and Barbuda,2020-06-11,2020-06-18,3,3,3
6,Argentina,2020-06-11,2020-06-18,608,765,922
7,Armenia,2020-06-11,2020-06-18,176,245,314
8,Australia,2020-06-11,2020-06-18,102,102,102
9,Austria,2020-06-11,2020-06-18,670,674,678
10,Azerbaijan,2020-06-11,2020-06-18,78,108,138
11,Bahamas,2020-06-11,2020-06-18,11,11,11
12,Bahrain,2020-06-11,2020-06-18,21,34,47
13,Bangladesh,2020-06-11,2020-06-18,781,1049,1317
14,Barbados,2020-06-11,2020-06-18,7,7,7
15,Belarus,2020-06-11,2020-06-18,253,293,333
16,Belgium,2020-06-11,2020-06-18,9548,9636,9724
17,Benin,2020-06-11,2020-06-18,3,4,5
18,Bhutan,2020-06-11,2020-06-18,0,0,0
19,Bolivia,2020-06-11,2020-06-18,415,533,651
20,Bosnia and Herzegovina,2020-06-11,2020-06-18,159,161,163
21,Brazil,2020-06-11,2020-06-18,34021,40919,47817
22,Brunei,2020-06-11,2020-06-18,2,2,2
23,Bulgaria,2020-06-11,2020-06-18,147,168,189
24,Burkina Faso,2020-06-11,2020-06-18,53,53,53
25,Cabo Verde,2020-06-11,2020-06-18,5,6,7
26,Cambodia,2020-06-11,2020-06-18,0,0,0
27,Cameroon,2020-06-11,2020-06-18,203,212,221
28,Canada,2020-06-11,2020-06-18,7717,8071,8425
29,Central African Republic,2020-06-11,2020-06-18,4,5,6
30,Chad,2020-06-11,2020-06-18,66,72,78
31,Chile,2020-06-11,2020-06-18,1356,2648,3940
32,China,2020-06-11,2020-06-18,4638,4638,4638
33,Colombia,2020-06-11,2020-06-18,1099,1505,1911
34,Congo (Brazzaville),2020-06-11,2020-06-18,20,24,28
35,Congo (Kinshasa),2020-06-11,2020-06-18,78,98,118
36,Costa Rica,2020-06-11,2020-06-18,10,12,14
37,Cote d'Ivoire,2020-06-11,2020-06-18,35,41,47
38,Croatia,2020-06-11,2020-06-18,103,106,109
39,Diamond Princess,2020-06-11,2020-06-18,13,13,13
40,Cuba,2020-06-11,2020-06-18,83,84,85
41,Cyprus,2020-06-11,2020-06-18,17,18,19
42,Czechia,2020-06-11,2020-06-18,326,328,330
43,Denmark,2020-06-11,2020-06-18,582,593,604
44,Djibouti,2020-06-11,2020-06-18,26,37,48
45,Dominican Republic,2020-06-11,2020-06-18,520,561,602
46,Ecuador,2020-06-11,2020-06-18,3486,3720,3954
47,Egypt,2020-06-11,2020-06-18,1126,1377,1628
48,El Salvador,2020-06-11,2020-06-18,52,68,84
49,Equatorial Guinea,2020-06-11,2020-06-18,12,12,12
50,Eritrea,2020-06-11,2020-06-18,0,0,0
51,Estonia,2020-06-11,2020-06-18,69,69,69
52,Eswatini,2020-06-11,2020-06-18,3,3,3
53,Ethiopia,2020-06-11,2020-06-18,18,40,62
54,Fiji,2020-06-11,2020-06-18,0,0,0
55,Finland,2020-06-11,2020-06-18,322,325,328
56,France,2020-06-11,2020-06-18,29068,29349,29630
57,Gabon,2020-06-11,2020-06-18,21,23,25
58,Gambia,2020-06-11,2020-06-18,1,1,1
59,Georgia,2020-06-11,2020-06-18,13,13,13
60,Germany,2020-06-11,2020-06-18,8635,8772,8909
61,Ghana,2020-06-11,2020-06-18,38,48,58
62,Greece,2020-06-11,2020-06-18,180,183,186
63,Guatemala,2020-06-11,2020-06-18,158,334,510
64,Guinea,2020-06-11,2020-06-18,23,23,23
65,Guyana,2020-06-11,2020-06-18,12,12,12
66,Haiti,2020-06-11,2020-06-18,50,64,78
67,Holy See,2020-06-11,2020-06-18,0,0,0
68,Honduras,2020-06-11,2020-06-18,243,294,345
69,Hungary,2020-06-11,2020-06-18,539,553,567
70,Iceland,2020-06-11,2020-06-18,10,10,10
71,India,2020-06-11,2020-06-18,6363,8498,10633
72,Indonesia,2020-06-11,2020-06-18,1721,2000,2279
73,Iran,2020-06-11,2020-06-18,8071,8584,9097
74,Iraq,2020-06-11,2020-06-18,271,457,643
75,Ireland,2020-06-11,2020-06-18,1664,1703,1742
76,Israel,2020-06-11,2020-06-18,291,300,309
77,Italy,2020-06-11,2020-06-18,33689,34167,34645
78,Jamaica,2020-06-11,2020-06-18,10,10,10
79,Japan,2020-06-11,2020-06-18,911,922,933
80,Jordan,2020-06-11,2020-06-18,9,9,9
81,Kazakhstan,2020-06-11,2020-06-18,52,67,82
82,Kenya,2020-06-11,2020-06-18,78,92,106
83,"Korea, South",2020-06-11,2020-06-18,273,277,281
84,Kuwait,2020-06-11,2020-06-18,236,279,322
85,Kyrgyzstan,2020-06-11,2020-06-18,20,26,32
86,Latvia,2020-06-11,2020-06-18,25,26,27
87,Lebanon,2020-06-11,2020-06-18,28,31,34
88,Liberia,2020-06-11,2020-06-18,28,31,34
89,Liechtenstein,2020-06-11,2020-06-18,1,1,1
90,Lithuania,2020-06-11,2020-06-18,71,74,77
91,Luxembourg,2020-06-11,2020-06-18,110,110,110
92,Madagascar,2020-06-11,2020-06-18,7,10,13
93,Malaysia,2020-06-11,2020-06-18,115,118,121
94,Maldives,2020-06-11,2020-06-18,7,8,9
95,Malta,2020-06-11,2020-06-18,9,9,9
96,Mauritania,2020-06-11,2020-06-18,39,74,109
97,Mauritius,2020-06-11,2020-06-18,10,10,10
98,Mexico,2020-06-11,2020-06-18,12545,15944,19343
99,Moldova,2020-06-11,2020-06-18,315,375,435
100,Monaco,2020-06-11,2020-06-18,4,4,4
101,Mongolia,2020-06-11,2020-06-18,0,0,0
102,Montenegro,2020-06-11,2020-06-18,9,9,9
103,Morocco,2020-06-11,2020-06-18,208,211,214
104,Namibia,2020-06-11,2020-06-18,0,0,0
105,Nepal,2020-06-11,2020-06-18,10,15,20
106,Netherlands,2020-06-11,2020-06-18,6009,6063,6117
107,New Zealand,2020-06-11,2020-06-18,22,22,22
108,Nicaragua,2020-06-11,2020-06-18,46,55,64
109,Niger,2020-06-11,2020-06-18,65,65,65
110,Nigeria,2020-06-11,2020-06-18,323,387,451
111,North Macedonia,2020-06-11,2020-06-18,147,169,191
112,Norway,2020-06-11,2020-06-18,238,242,246
113,Oman,2020-06-11,2020-06-18,67,89,111
114,Pakistan,2020-06-11,2020-06-18,1838,2463,3088
115,Panama,2020-06-11,2020-06-18,363,418,473
116,Papua New Guinea,2020-06-11,2020-06-18,0,0,0
117,Paraguay,2020-06-11,2020-06-18,11,11,11
118,Peru,2020-06-11,2020-06-18,5031,6088,7145
119,Philippines,2020-06-11,2020-06-18,984,1036,1088
120,Poland,2020-06-11,2020-06-18,1117,1215,1313
121,Portugal,2020-06-11,2020-06-18,1455,1504,1553
122,Qatar,2020-06-11,2020-06-18,45,69,93
123,Romania,2020-06-11,2020-06-18,1305,1369,1433
124,Russia,2020-06-11,2020-06-18,5376,6522,7668
125,Rwanda,2020-06-11,2020-06-18,2,2,2
126,Saint Lucia,2020-06-11,2020-06-18,0,0,0
127,Saint Vincent and the Grenadines,2020-06-11,2020-06-18,0,0,0
128,San Marino,2020-06-11,2020-06-18,42,42,42
129,Saudi Arabia,2020-06-11,2020-06-18,611,857,1103
130,Senegal,2020-06-11,2020-06-18,45,55,65
131,Serbia,2020-06-11,2020-06-18,246,252,258
132,Seychelles,2020-06-11,2020-06-18,0,0,0
133,Singapore,2020-06-11,2020-06-18,24,25,26
134,Slovakia,2020-06-11,2020-06-18,28,28,28
135,Slovenia,2020-06-11,2020-06-18,109,109,109
136,Somalia,2020-06-11,2020-06-18,79,85,91
