,Country,start_date,pre_date,b7_truth,start_truth,pre_deaths
0,Afghanistan,2021-02-14,2021-02-21,2410,2427,2444
1,Albania,2021-02-14,2021-02-21,1460,1555,1650
2,Algeria,2021-02-14,2021-02-21,2914,2939,2964
3,Andorra,2021-02-14,2021-02-21,106,107,108
4,Angola,2021-02-14,2021-02-21,475,492,509
5,Antigua and Barbuda,2021-02-14,2021-02-21,7,9,11
6,Argentina,2021-02-14,2021-02-21,49171,50236,51301
7,Armenia,2021-02-14,2021-02-21,3117,3141,3165
8,Australia,2021-02-14,2021-02-21,909,909,909
9,Austria,2021-02-14,2021-02-21,8012,8211,8410
10,Azerbaijan,2021-02-14,2021-02-21,3158,3180,3202
11,Bahamas,2021-02-14,2021-02-21,176,178,180
12,Bahrain,2021-02-14,2021-02-21,380,403,426
13,Bangladesh,2021-02-14,2021-02-21,8205,8274,8343
14,Barbados,2021-02-14,2021-02-21,18,23,28
15,Belarus,2021-02-14,2021-02-21,1783,1849,1915
16,Belgium,2021-02-14,2021-02-21,21389,21662,21935
17,Benin,2021-02-14,2021-02-21,55,56,57
18,Bhutan,2021-02-14,2021-02-21,1,1,1
19,Bolivia,2021-02-14,2021-02-21,10796,11202,11608
20,Bosnia and Herzegovina,2021-02-14,2021-02-21,4775,4881,4987
21,Brazil,2021-02-14,2021-02-21,231534,239245,246956
22,Brunei,2021-02-14,2021-02-21,3,3,3
23,Bulgaria,2021-02-14,2021-02-21,9331,9624,9917
24,Burkina Faso,2021-02-14,2021-02-21,134,138,142
25,Cabo Verde,2021-02-14,2021-02-21,135,139,143
26,Cambodia,2021-02-14,2021-02-21,0,0,0
27,Cameroon,2021-02-14,2021-02-21,474,479,484
28,Canada,2021-02-14,2021-02-21,20760,21261,21762
29,Central African Republic,2021-02-14,2021-02-21,63,63,63
30,Chad,2021-02-14,2021-02-21,125,129,133
31,Chile,2021-02-14,2021-02-21,18974,19541,20108
32,China,2021-02-14,2021-02-21,4822,4829,4836
33,Colombia,2021-02-14,2021-02-21,55993,57605,59217
34,Congo (Brazzaville),2021-02-14,2021-02-21,122,123,124
35,Congo (Kinshasa),2021-02-14,2021-02-21,681,693,705
36,Costa Rica,2021-02-14,2021-02-21,2672,2714,2756
37,Cote d'Ivoire,2021-02-14,2021-02-21,162,174,186
38,Croatia,2021-02-14,2021-02-21,5169,5318,5467
39,Diamond Princess,2021-02-14,2021-02-21,13,13,13
40,Cuba,2021-02-14,2021-02-21,238,266,294
41,Cyprus,2021-02-14,2021-02-21,212,221,230
42,Czechia,2021-02-14,2021-02-21,17235,18143,19051
43,Denmark,2021-02-14,2021-02-21,2217,2293,2369
44,Djibouti,2021-02-14,2021-02-21,63,63,63
45,Dominican Republic,2021-02-14,2021-02-21,2831,2944,3057
46,Ecuador,2021-02-14,2021-02-21,15012,15321,15630
47,Egypt,2021-02-14,2021-02-21,9651,9994,10337
48,El Salvador,2021-02-14,2021-02-21,1681,1742,1803
49,Equatorial Guinea,2021-02-14,2021-02-21,86,87,88
50,Eritrea,2021-02-14,2021-02-21,7,7,7
51,Estonia,2021-02-14,2021-02-21,461,495,529
52,Eswatini,2021-02-14,2021-02-21,604,630,656
53,Ethiopia,2021-02-14,2021-02-21,2148,2194,2240
54,Fiji,2021-02-14,2021-02-21,2,2,2
55,Finland,2021-02-14,2021-02-21,688,710,732
56,France,2021-02-14,2021-02-21,79111,80961,82811
57,Gabon,2021-02-14,2021-02-21,71,73,75
58,Gambia,2021-02-14,2021-02-21,134,138,142
59,Georgia,2021-02-14,2021-02-21,3283,3352,3421
