,Country,start_date,pre_date,b7_truth,start_truth,pre_deaths
0,Afghanistan,2020-07-07,2020-07-14,746,920,1094
1,Albania,2020-07-07,2020-07-14,62,81,100
2,Algeria,2020-07-07,2020-07-14,912,968,1024
3,Andorra,2020-07-07,2020-07-14,52,52,52
4,Angola,2020-07-07,2020-07-14,13,21,29
5,Antigua and Barbuda,2020-07-07,2020-07-14,3,3,3
6,Argentina,2020-07-07,2020-07-14,1307,1644,1981
7,Armenia,2020-07-07,2020-07-14,443,503,563
8,Australia,2020-07-07,2020-07-14,104,106,108
9,Austria,2020-07-07,2020-07-14,705,706,707
10,Azerbaijan,2020-07-07,2020-07-14,213,265,317
11,Bahamas,2020-07-07,2020-07-14,11,11,11
12,Bahrain,2020-07-07,2020-07-14,87,98,109
13,Bangladesh,2020-07-07,2020-07-14,1847,2151,2455
14,Barbados,2020-07-07,2020-07-14,7,7,7
15,Belarus,2020-07-07,2020-07-14,392,436,480
16,Belgium,2020-07-07,2020-07-14,9747,9774,9801
17,Benin,2020-07-07,2020-07-14,21,21,21
18,Bhutan,2020-07-07,2020-07-14,0,0,0
19,Bolivia,2020-07-07,2020-07-14,1123,1530,1937
20,Bosnia and Herzegovina,2020-07-07,2020-07-14,186,207,228
21,Brazil,2020-07-07,2020-07-14,59594,66741,73888
22,Brunei,2020-07-07,2020-07-14,3,3,3
23,Bulgaria,2020-07-07,2020-07-14,230,254,278
24,Burkina Faso,2020-07-07,2020-07-14,53,53,53
25,Cabo Verde,2020-07-07,2020-07-14,15,18,21
26,Cambodia,2020-07-07,2020-07-14,0,0,0
27,Cameroon,2020-07-07,2020-07-14,313,359,405
28,Canada,2020-07-07,2020-07-14,8650,8765,8880
29,Central African Republic,2020-07-07,2020-07-14,47,52,57
30,Chad,2020-07-07,2020-07-14,74,74,74
31,Chile,2020-07-07,2020-07-14,5688,6434,7180
32,China,2020-07-07,2020-07-14,4641,4641,4641
33,Colombia,2020-07-07,2020-07-14,3376,4452,5528
34,Congo (Brazzaville),2020-07-07,2020-07-14,37,44,51
35,Congo (Kinshasa),2020-07-07,2020-07-14,170,182,194
36,Costa Rica,2020-07-07,2020-07-14,16,23,30
37,Cote d'Ivoire,2020-07-07,2020-07-14,68,76,84
38,Croatia,2020-07-07,2020-07-14,107,113,119
39,Diamond Princess,2020-07-07,2020-07-14,13,13,13
40,Cuba,2020-07-07,2020-07-14,86,86,86
41,Cyprus,2020-07-07,2020-07-14,19,19,19
42,Czechia,2020-07-07,2020-07-14,349,351,353
43,Denmark,2020-07-07,2020-07-14,605,609,613
44,Djibouti,2020-07-07,2020-07-14,54,55,56
45,Dominican Republic,2020-07-07,2020-07-14,747,821,895
46,Ecuador,2020-07-07,2020-07-14,4527,4873,5219
47,Egypt,2020-07-07,2020-07-14,2953,3489,4025
48,El Salvador,2020-07-07,2020-07-14,174,229,284
49,Equatorial Guinea,2020-07-07,2020-07-14,32,51,70
50,Eritrea,2020-07-07,2020-07-14,0,0,0
51,Estonia,2020-07-07,2020-07-14,69,69,69
52,Eswatini,2020-07-07,2020-07-14,11,14,17
53,Ethiopia,2020-07-07,2020-07-14,103,103,103
54,Fiji,2020-07-07,2020-07-14,0,0,0
55,Finland,2020-07-07,2020-07-14,328,329,330
56,France,2020-07-07,2020-07-14,29846,29936,30026
57,Gabon,2020-07-07,2020-07-14,42,46,50
58,Gambia,2020-07-07,2020-07-14,2,3,4
59,Georgia,2020-07-07,2020-07-14,15,15,15
60,Germany,2020-07-07,2020-07-14,8990,9032,9074
61,Ghana,2020-07-07,2020-07-14,112,129,146
62,Greece,2020-07-07,2020-07-14,192,193,194
63,Guatemala,2020-07-07,2020-07-14,773,1004,1235
64,Guinea,2020-07-07,2020-07-14,33,34,35
65,Guyana,2020-07-07,2020-07-14,12,16,20
66,Haiti,2020-07-07,2020-07-14,105,117,129
67,Holy See,2020-07-07,2020-07-14,0,0,0
68,Honduras,2020-07-07,2020-07-14,497,677,857
69,Hungary,2020-07-07,2020-07-14,585,589,593
70,Iceland,2020-07-07,2020-07-14,10,10,10
71,India,2020-07-07,2020-07-14,17400,20642,23884
72,Indonesia,2020-07-07,2020-07-14,2876,3309,3742
73,Iran,2020-07-07,2020-07-14,10817,11931,13045
74,Iraq,2020-07-07,2020-07-14,1943,2685,3427
75,Ireland,2020-07-07,2020-07-14,1736,1742,1748
76,Israel,2020-07-07,2020-07-14,320,342,364
77,Italy,2020-07-07,2020-07-14,34767,34899,35031
