,Country,start_date,pre_date,b7_truth,start_truth,pre_deaths
0,Afghanistan,2020-07-06,2020-07-13,733,898,1063
1,Albania,2020-07-06,2020-07-13,58,79,100
2,Algeria,2020-07-06,2020-07-13,905,959,1013
3,Andorra,2020-07-06,2020-07-13,52,52,52
4,Angola,2020-07-06,2020-07-13,11,19,27
5,Antigua and Barbuda,2020-07-06,2020-07-13,3,3,3
6,Argentina,2020-07-06,2020-07-13,1280,1582,1884
7,Armenia,2020-07-06,2020-07-13,433,491,549
8,Australia,2020-07-06,2020-07-13,104,106,108
9,Austria,2020-07-06,2020-07-13,703,706,709
10,Azerbaijan,2020-07-06,2020-07-13,206,258,310
11,Bahamas,2020-07-06,2020-07-13,11,11,11
12,Bahrain,2020-07-06,2020-07-13,84,98,112
13,Bangladesh,2020-07-06,2020-07-13,1783,2096,2409
14,Barbados,2020-07-06,2020-07-13,7,7,7
15,Belarus,2020-07-06,2020-07-13,387,429,471
16,Belgium,2020-07-06,2020-07-13,9732,9774,9816
17,Benin,2020-07-06,2020-07-13,19,21,23
18,Bhutan,2020-07-06,2020-07-13,0,0,0
19,Bolivia,2020-07-06,2020-07-13,1071,1476,1881
20,Bosnia and Herzegovina,2020-07-06,2020-07-13,184,199,214
21,Brazil,2020-07-06,2020-07-13,58314,65487,72660
22,Brunei,2020-07-06,2020-07-13,3,3,3
23,Bulgaria,2020-07-06,2020-07-13,223,250,277
24,Burkina Faso,2020-07-06,2020-07-13,53,53,53
25,Cabo Verde,2020-07-06,2020-07-13,12,17,22
26,Cambodia,2020-07-06,2020-07-13,0,0,0
27,Cameroon,2020-07-06,2020-07-13,313,313,313
28,Canada,2020-07-06,2020-07-13,8628,8748,8868
29,Central African Republic,2020-07-06,2020-07-13,47,52,57
30,Chad,2020-07-06,2020-07-13,74,74,74
31,Chile,2020-07-06,2020-07-13,5575,6384,7193
32,China,2020-07-06,2020-07-13,4641,4641,4641
33,Colombia,2020-07-06,2020-07-13,3256,4305,5354
34,Congo (Brazzaville),2020-07-06,2020-07-13,37,44,51
35,Congo (Kinshasa),2020-07-06,2020-07-13,167,182,197
36,Costa Rica,2020-07-06,2020-07-13,15,23,31
37,Cote d'Ivoire,2020-07-06,2020-07-13,66,75,84
38,Croatia,2020-07-06,2020-07-13,107,113,119
39,Diamond Princess,2020-07-06,2020-07-13,13,13,13
40,Cuba,2020-07-06,2020-07-13,86,86,86
41,Cyprus,2020-07-06,2020-07-13,19,19,19
42,Czechia,2020-07-06,2020-07-13,348,350,352
43,Denmark,2020-07-06,2020-07-13,605,607,609
44,Djibouti,2020-07-06,2020-07-13,53,55,57
45,Dominican Republic,2020-07-06,2020-07-13,733,804,875
46,Ecuador,2020-07-06,2020-07-13,4502,4821,5140
47,Egypt,2020-07-06,2020-07-13,2872,3422,3972
48,El Salvador,2020-07-06,2020-07-13,164,223,282
49,Equatorial Guinea,2020-07-06,2020-07-13,32,51,70
50,Eritrea,2020-07-06,2020-07-13,0,0,0
51,Estonia,2020-07-06,2020-07-13,69,69,69
52,Eswatini,2020-07-06,2020-07-13,11,13,15
53,Ethiopia,2020-07-06,2020-07-13,103,103,103
54,Fiji,2020-07-06,2020-07-13,0,0,0
55,Finland,2020-07-06,2020-07-13,328,329,330
56,France,2020-07-06,2020-07-13,29816,29923,30030
57,Gabon,2020-07-06,2020-07-13,42,46,50
58,Gambia,2020-07-06,2020-07-13,2,3,4
59,Georgia,2020-07-06,2020-07-13,15,15,15
60,Germany,2020-07-06,2020-07-13,8976,9022,9068
61,Ghana,2020-07-06,2020-07-13,112,129,146
62,Greece,2020-07-06,2020-07-13,191,192,193
63,Guatemala,2020-07-06,2020-07-13,746,981,1216
64,Guinea,2020-07-06,2020-07-13,31,34,37
65,Guyana,2020-07-06,2020-07-13,12,15,18
66,Haiti,2020-07-06,2020-07-13,105,113,121
67,Holy See,2020-07-06,2020-07-13,0,0,0
68,Honduras,2020-07-06,2020-07-13,485,656,827
69,Hungary,2020-07-06,2020-07-13,585,589,593
70,Iceland,2020-07-06,2020-07-13,10,10,10
71,India,2020-07-06,2020-07-13,16893,20159,23425
72,Indonesia,2020-07-06,2020-07-13,2805,3241,3677
73,Iran,2020-07-06,2020-07-13,10670,11731,12792
74,Iraq,2020-07-06,2020-07-13,1839,2567,3295
75,Ireland,2020-07-06,2020-07-13,1735,1741,1747
76,Israel,2020-07-06,2020-07-13,319,334,349
77,Italy,2020-07-06,2020-07-13,34744,34869,34994
78,Jamaica,2020-07-06,2020-07-13,10,10,10
79,Japan,2020-07-06,2020-07-13,972,978,984
80,Jordan,2020-07-06,2020-07-13,9,10,11
81,Kazakhstan,2020-07-06,2020-07-13,188,264,340
82,Kenya,2020-07-06,2020-07-13,144,164,184
83,"Korea, South",2020-07-06,2020-07-13,282,285,288
84,Kuwait,2020-07-06,2020-07-13,350,373,396
85,Kyrgyzstan,2020-07-06,2020-07-13,57,99,141
86,Latvia,2020-07-06,2020-07-13,30,30,30
87,Lebanon,2020-07-06,2020-07-13,34,36,38
88,Liberia,2020-07-06,2020-07-13,36,39,42
89,Liechtenstein,2020-07-06,2020-07-13,1,1,1
90,Lithuania,2020-07-06,2020-07-13,78,79,80
91,Luxembourg,2020-07-06,2020-07-13,110,110,110
92,Madagascar,2020-07-06,2020-07-13,20,33,46
93,Malaysia,2020-07-06,2020-07-13,121,121,121
94,Maldives,2020-07-06,2020-07-13,8,12,16
95,Malta,2020-07-06,2020-07-13,9,9,9
96,Mauritania,2020-07-06,2020-07-13,128,133,138
97,Mauritius,2020-07-06,2020-07-13,10,10,10
98,Mexico,2020-07-06,2020-07-13,27121,31119,35117
99,Moldova,2020-07-06,2020-07-13,536,592,648
100,Monaco,2020-07-06,2020-07-13,4,4,4
101,Mongolia,2020-07-06,2020-07-13,0,0,0
102,Montenegro,2020-07-06,2020-07-13,11,14,17
103,Morocco,2020-07-06,2020-07-13,225,237,249
104,Namibia,2020-07-06,2020-07-13,0,0,0
105,Nepal,2020-07-06,2020-07-13,29,35,41
106,Netherlands,2020-07-06,2020-07-13,6126,6147,6168
107,New Zealand,2020-07-06,2020-07-13,22,22,22
108,Nicaragua,2020-07-06,2020-07-13,74,83,92
109,Niger,2020-07-06,2020-07-13,67,68,69
110,Nigeria,2020-07-06,2020-07-13,573,654,735
111,North Macedonia,2020-07-06,2020-07-13,298,346,394
112,Norway,2020-07-06,2020-07-13,249,251,253
113,Oman,2020-07-06,2020-07-13,169,218,267
114,Pakistan,2020-07-06,2020-07-13,4304,4839,5374
115,Panama,2020-07-06,2020-07-13,620,770,920
116,Papua New Guinea,2020-07-06,2020-07-13,0,0,0
117,Paraguay,2020-07-06,2020-07-13,16,20,24
118,Peru,2020-07-06,2020-07-13,9504,10772,12040
119,Philippines,2020-07-06,2020-07-13,1255,1303,1351
120,Poland,2020-07-06,2020-07-13,1444,1521,1598
121,Portugal,2020-07-06,2020-07-13,1568,1620,1672
122,Qatar,2020-07-06,2020-07-13,113,133,153
123,Romania,2020-07-06,2020-07-13,1634,1768,1902
124,Russia,2020-07-06,2020-07-13,9152,10280,11408
125,Rwanda,2020-07-06,2020-07-13,2,3,4
126,Saint Lucia,2020-07-06,2020-07-13,0,0,0
127,Saint Vincent and the Grenadines,2020-07-06,2020-07-13,0,0,0
128,San Marino,2020-07-06,2020-07-13,42,42,42
129,Saudi Arabia,2020-07-06,2020-07-13,1599,1968,2337
130,Senegal,2020-07-06,2020-07-13,108,136,164
131,Serbia,2020-07-06,2020-07-13,274,317,360
132,Seychelles,2020-07-06,2020-07-13,0,0,0
133,Singapore,2020-07-06,2020-07-13,26,26,26
134,Slovakia,2020-07-06,2020-07-13,28,28,28
135,Slovenia,2020-07-06,2020-07-13,111,111,111
136,Somalia,2020-07-06,2020-07-13,90,92,94
137,South Africa,2020-07-06,2020-07-13,2529,3310,4091
138,Spain,2020-07-06,2020-07-13,28346,28388,28430
139,Sri Lanka,2020-07-06,2020-07-13,11,11,11
140,Sudan,2020-07-06,2020-07-13,572,616,660
141,Suriname,2020-07-06,2020-07-13,13,14,15
142,Sweden,2020-07-06,2020-07-13,5310,5433,5556
143,Switzerland,2020-07-06,2020-07-13,1962,1965,1968
144,Tanzania,2020-07-06,2020-07-13,21,21,21
