,Country,start_date,pre_date,b7_truth,start_truth,pre_deaths
0,Afghanistan,2021-02-16,2021-02-23,2414,2428,2442
1,Albania,2021-02-16,2021-02-23,1488,1582,1676
2,Algeria,2021-02-16,2021-02-23,2924,2945,2966
3,Andorra,2021-02-16,2021-02-23,106,107,108
4,Angola,2021-02-16,2021-02-23,478,494,510
5,Antigua and Barbuda,2021-02-16,2021-02-23,8,9,10
6,Argentina,2021-02-16,2021-02-23,49566,50432,51298
7,Armenia,2021-02-16,2021-02-23,3126,3150,3174
8,Australia,2021-02-16,2021-02-23,909,909,909
9,Austria,2021-02-16,2021-02-23,8071,8260,8449
10,Azerbaijan,2021-02-16,2021-02-23,3163,3185,3207
11,Bahamas,2021-02-16,2021-02-23,176,179,182
12,Bahrain,2021-02-16,2021-02-23,387,410,433
13,Bangladesh,2021-02-16,2021-02-23,8229,8298,8367
14,Barbados,2021-02-16,2021-02-23,20,25,30
15,Belarus,2021-02-16,2021-02-23,1801,1867,1933
16,Belgium,2021-02-16,2021-02-23,21472,21750,22028
17,Benin,2021-02-16,2021-02-23,55,62,69
18,Bhutan,2021-02-16,2021-02-23,1,1,1
19,Bolivia,2021-02-16,2021-02-23,10929,11274,11619
20,Bosnia and Herzegovina,2021-02-16,2021-02-23,4834,4935,5036
21,Brazil,2021-02-16,2021-02-23,233520,240940,248360
22,Brunei,2021-02-16,2021-02-23,3,3,3
23,Bulgaria,2021-02-16,2021-02-23,9482,9703,9924
24,Burkina Faso,2021-02-16,2021-02-23,134,138,142
25,Cabo Verde,2021-02-16,2021-02-23,137,140,143
26,Cambodia,2021-02-16,2021-02-23,0,0,0
27,Cameroon,2021-02-16,2021-02-23,474,479,484
28,Canada,2021-02-16,2021-02-23,20914,21395,21876
29,Central African Republic,2021-02-16,2021-02-23,63,63,63
30,Chad,2021-02-16,2021-02-23,125,131,137
31,Chile,2021-02-16,2021-02-23,19084,19644,20204
32,China,2021-02-16,2021-02-23,4824,4831,4838
33,Colombia,2021-02-16,2021-02-23,56507,57949,59391
34,Congo (Brazzaville),2021-02-16,2021-02-23,122,123,124
35,Congo (Kinshasa),2021-02-16,2021-02-23,684,695,706
36,Costa Rica,2021-02-16,2021-02-23,2698,2737,2776
37,Cote d'Ivoire,2021-02-16,2021-02-23,165,179,193
38,Croatia,2021-02-16,2021-02-23,5224,5357,5490
39,Diamond Princess,2021-02-16,2021-02-23,13,13,13
40,Cuba,2021-02-16,2021-02-23,244,274,304
