,Country,start_date,pre_date,b7_truth,start_truth,pre_deaths
0,Afghanistan,2020-11-25,2020-12-02,1645,1725,1805
1,Albania,2020-11-25,2020-12-02,646,743,840
2,Algeria,2020-11-25,2020-12-02,2206,2329,2452
3,Andorra,2020-11-25,2020-12-02,76,76,76
4,Angola,2020-11-25,2020-12-02,332,340,348
5,Antigua and Barbuda,2020-11-25,2020-12-02,4,4,4
6,Argentina,2020-11-25,2020-12-02,36347,37714,39081
7,Armenia,2020-11-25,2020-12-02,1839,2040,2241
8,Australia,2020-11-25,2020-12-02,907,907,907
9,Austria,2020-11-25,2020-12-02,2054,2667,3280
10,Azerbaijan,2020-11-25,2020-12-02,1030,1224,1418
11,Bahamas,2020-11-25,2020-12-02,163,163,163
12,Bahrain,2020-11-25,2020-12-02,337,340,343
13,Bangladesh,2020-11-25,2020-12-02,6275,6487,6699
14,Barbados,2020-11-25,2020-12-02,7,7,7
15,Belarus,2020-11-25,2020-12-02,1067,1119,1171
16,Belgium,2020-11-25,2020-12-02,15025,16077,17129
17,Benin,2020-11-25,2020-12-02,43,43,43
18,Bhutan,2020-11-25,2020-12-02,0,0,0
19,Bolivia,2020-11-25,2020-12-02,8875,8933,8991
20,Bosnia and Herzegovina,2020-11-25,2020-12-02,2089,2429,2769
21,Brazil,2020-11-25,2020-12-02,167455,170769,174083
22,Brunei,2020-11-25,2020-12-02,3,3,3
23,Bulgaria,2020-11-25,2020-12-02,2530,3367,4204
24,Burkina Faso,2020-11-25,2020-12-02,68,68,68
25,Cabo Verde,2020-11-25,2020-12-02,104,104,104
26,Cambodia,2020-11-25,2020-12-02,0,0,0
27,Cameroon,2020-11-25,2020-12-02,433,437,441
28,Canada,2020-11-25,2020-12-02,11238,11733,12228
29,Central African Republic,2020-11-25,2020-12-02,63,63,63
30,Chad,2020-11-25,2020-12-02,101,101,101
31,Chile,2020-11-25,2020-12-02,14897,15138,15379
32,China,2020-11-25,2020-12-02,4742,4742,4742
33,Colombia,2020-11-25,2020-12-02,34563,35860,37157
34,Congo (Brazzaville),2020-11-25,2020-12-02,92,93,94
35,Congo (Kinshasa),2020-11-25,2020-12-02,323,331,339
36,Costa Rica,2020-11-25,2020-12-02,1588,1674,1760
37,Cote d'Ivoire,2020-11-25,2020-12-02,129,131,133
38,Croatia,2020-11-25,2020-12-02,1151,1501,1851
39,Diamond Princess,2020-11-25,2020-12-02,13,13,13
40,Cuba,2020-11-25,2020-12-02,131,133,135
41,Cyprus,2020-11-25,2020-12-02,41,47,53
42,Czechia,2020-11-25,2020-12-02,6740,7611,8482
43,Denmark,2020-11-25,2020-12-02,770,802,834
44,Djibouti,2020-11-25,2020-12-02,61,61,61
45,Dominican Republic,2020-11-25,2020-12-02,2293,2315,2337
46,Ecuador,2020-11-25,2020-12-02,13052,13288,13524
47,Egypt,2020-11-25,2020-12-02,6495,6585,6675
48,El Salvador,2020-11-25,2020-12-02,1056,1086,1116
49,Equatorial Guinea,2020-11-25,2020-12-02,85,85,85
50,Eritrea,2020-11-25,2020-12-02,0,0,0
51,Estonia,2020-11-25,2020-12-02,85,97,109
52,Eswatini,2020-11-25,2020-12-02,119,120,121
53,Ethiopia,2020-11-25,2020-12-02,1601,1664,1727
54,Fiji,2020-11-25,2020-12-02,2,2,2
55,Finland,2020-11-25,2020-12-02,374,388,402
56,France,2020-11-25,2020-12-02,46772,50700,54628
57,Gabon,2020-11-25,2020-12-02,58,59,60
58,Gambia,2020-11-25,2020-12-02,122,123,124
59,Georgia,2020-11-25,2020-12-02,815,1085,1355
