,Country,start_date,pre_date,b7_truth,start_truth,pre_deaths
0,Afghanistan,2020-05-19,2020-05-26,127,178,229
1,Albania,2020-05-19,2020-05-26,31,31,31
2,Algeria,2020-05-19,2020-05-26,515,561,607
3,Andorra,2020-05-19,2020-05-26,48,51,54
4,Angola,2020-05-19,2020-05-26,2,3,4
5,Antigua and Barbuda,2020-05-19,2020-05-26,3,3,3
6,Argentina,2020-05-19,2020-05-26,319,393,467
7,Armenia,2020-05-19,2020-05-26,47,64,81
8,Australia,2020-05-19,2020-05-26,98,100,102
9,Austria,2020-05-19,2020-05-26,623,632,641
10,Azerbaijan,2020-05-19,2020-05-26,33,41,49
11,Bahamas,2020-05-19,2020-05-26,11,11,11
12,Bahrain,2020-05-19,2020-05-26,9,12,15
13,Bangladesh,2020-05-19,2020-05-26,250,370,490
14,Barbados,2020-05-19,2020-05-26,7,7,7
15,Belarus,2020-05-19,2020-05-26,142,175,208
16,Belgium,2020-05-19,2020-05-26,8761,9108,9455
17,Benin,2020-05-19,2020-05-26,2,2,2
18,Bhutan,2020-05-19,2020-05-26,0,0,0
19,Bolivia,2020-05-19,2020-05-26,128,189,250
20,Bosnia and Herzegovina,2020-05-19,2020-05-26,117,134,151
21,Brazil,2020-05-19,2020-05-26,12461,17983,23505
22,Brunei,2020-05-19,2020-05-26,1,1,1
23,Bulgaria,2020-05-19,2020-05-26,95,112,129
24,Burkina Faso,2020-05-19,2020-05-26,51,51,51
25,Cabo Verde,2020-05-19,2020-05-26,2,3,4
26,Cambodia,2020-05-19,2020-05-26,0,0,0
27,Cameroon,2020-05-19,2020-05-26,125,140,155
28,Canada,2020-05-19,2020-05-26,5300,6028,6756
29,Central African Republic,2020-05-19,2020-05-26,0,0,0
30,Chad,2020-05-19,2020-05-26,40,56,72
31,Chile,2020-05-19,2020-05-26,335,509,683
32,China,2020-05-19,2020-05-26,4637,4638,4639
33,Colombia,2020-05-19,2020-05-26,493,613,733
34,Congo (Brazzaville),2020-05-19,2020-05-26,11,15,19
35,Congo (Kinshasa),2020-05-19,2020-05-26,44,61,78
36,Costa Rica,2020-05-19,2020-05-26,7,10,13
37,Cote d'Ivoire,2020-05-19,2020-05-26,21,28,35
38,Croatia,2020-05-19,2020-05-26,91,96,101
39,Diamond Princess,2020-05-19,2020-05-26,13,13,13
40,Cuba,2020-05-19,2020-05-26,78,79,80
41,Cyprus,2020-05-19,2020-05-26,16,17,18
42,Czechia,2020-05-19,2020-05-26,283,302,321
43,Denmark,2020-05-19,2020-05-26,527,551,575
44,Djibouti,2020-05-19,2020-05-26,3,7,11
45,Dominican Republic,2020-05-19,2020-05-26,402,441,480
46,Ecuador,2020-05-19,2020-05-26,2327,2839,3351
47,Egypt,2020-05-19,2020-05-26,544,659,774
48,El Salvador,2020-05-19,2020-05-26,20,30,40
49,Equatorial Guinea,2020-05-19,2020-05-26,4,7,10
50,Eritrea,2020-05-19,2020-05-26,0,0,0
51,Estonia,2020-05-19,2020-05-26,61,64,67
52,Eswatini,2020-05-19,2020-05-26,2,2,2
53,Ethiopia,2020-05-19,2020-05-26,5,5,5
54,Fiji,2020-05-19,2020-05-26,0,0,0
55,Finland,2020-05-19,2020-05-26,275,301,327
56,France,2020-05-19,2020-05-26,26994,28025,29056
57,Gabon,2020-05-19,2020-05-26,9,12,15
58,Gambia,2020-05-19,2020-05-26,1,1,1
59,Georgia,2020-05-19,2020-05-26,11,12,13
60,Germany,2020-05-19,2020-05-26,7738,8081,8424
61,Ghana,2020-05-19,2020-05-26,22,31,40
62,Greece,2020-05-19,2020-05-26,152,165,178
63,Guatemala,2020-05-19,2020-05-26,27,43,59
64,Guinea,2020-05-19,2020-05-26,11,18,25
65,Guyana,2020-05-19,2020-05-26,10,10,10
66,Haiti,2020-05-19,2020-05-26,16,21,26
67,Holy See,2020-05-19,2020-05-26,0,0,0
68,Honduras,2020-05-19,2020-05-26,121,147,173
69,Hungary,2020-05-19,2020-05-26,425,467,509
70,Iceland,2020-05-19,2020-05-26,10,10,10
71,India,2020-05-19,2020-05-26,2415,3302,4189
72,Indonesia,2020-05-19,2020-05-26,1007,1221,1435
73,Iran,2020-05-19,2020-05-26,6733,7119,7505
74,Iraq,2020-05-19,2020-05-26,112,131,150
75,Ireland,2020-05-19,2020-05-26,1488,1561,1634
76,Israel,2020-05-19,2020-05-26,260,278,296
77,Italy,2020-05-19,2020-05-26,30911,32169,33427
78,Jamaica,2020-05-19,2020-05-26,9,9,9
79,Japan,2020-05-19,2020-05-26,657,768,879
80,Jordan,2020-05-19,2020-05-26,9,9,9
81,Kazakhstan,2020-05-19,2020-05-26,32,35,38
82,Kenya,2020-05-19,2020-05-26,36,50,64
83,"Korea, South",2020-05-19,2020-05-26,259,263,267
84,Kuwait,2020-05-19,2020-05-26,75,121,167
85,Kyrgyzstan,2020-05-19,2020-05-26,12,14,16
86,Latvia,2020-05-19,2020-05-26,18,21,24
87,Lebanon,2020-05-19,2020-05-26,26,26,26
88,Liberia,2020-05-19,2020-05-26,20,23,26
89,Liechtenstein,2020-05-19,2020-05-26,1,1,1
90,Lithuania,2020-05-19,2020-05-26,50,60,70
91,Luxembourg,2020-05-19,2020-05-26,102,109,116
92,Madagascar,2020-05-19,2020-05-26,0,2,4
93,Malaysia,2020-05-19,2020-05-26,109,114,119
94,Maldives,2020-05-19,2020-05-26,3,4,5
95,Malta,2020-05-19,2020-05-26,5,6,7
96,Mauritania,2020-05-19,2020-05-26,1,4,7
97,Mauritius,2020-05-19,2020-05-26,10,10,10
98,Mexico,2020-05-19,2020-05-26,3926,5666,7406
99,Moldova,2020-05-19,2020-05-26,182,221,260
100,Monaco,2020-05-19,2020-05-26,4,4,4
101,Mongolia,2020-05-19,2020-05-26,0,0,0
102,Montenegro,2020-05-19,2020-05-26,9,9,9
103,Morocco,2020-05-19,2020-05-26,188,193,198
104,Namibia,2020-05-19,2020-05-26,0,0,0
105,Nepal,2020-05-19,2020-05-26,0,2,4
106,Netherlands,2020-05-19,2020-05-26,5529,5734,5939
107,New Zealand,2020-05-19,2020-05-26,21,21,21
108,Nicaragua,2020-05-19,2020-05-26,8,17,26
109,Niger,2020-05-19,2020-05-26,47,55,63
110,Nigeria,2020-05-19,2020-05-26,158,192,226
111,North Macedonia,2020-05-19,2020-05-26,92,106,120
112,Norway,2020-05-19,2020-05-26,228,233,238
113,Oman,2020-05-19,2020-05-26,17,27,37
114,Pakistan,2020-05-19,2020-05-26,737,939,1141
115,Panama,2020-05-19,2020-05-26,252,281,310
116,Papua New Guinea,2020-05-19,2020-05-26,0,0,0
117,Paraguay,2020-05-19,2020-05-26,10,11,12
118,Peru,2020-05-19,2020-05-26,2057,2914,3771
119,Philippines,2020-05-19,2020-05-26,751,837,923
120,Poland,2020-05-19,2020-05-26,839,948,1057
121,Portugal,2020-05-19,2020-05-26,1163,1247,1331
122,Qatar,2020-05-19,2020-05-26,14,15,16
123,Romania,2020-05-19,2020-05-26,1002,1137,1272
124,Russia,2020-05-19,2020-05-26,2116,2837,3558
125,Rwanda,2020-05-19,2020-05-26,0,0,0
126,Saint Lucia,2020-05-19,2020-05-26,0,0,0
127,Saint Vincent and the Grenadines,2020-05-19,2020-05-26,0,0,0
128,San Marino,2020-05-19,2020-05-26,41,41,41
129,Saudi Arabia,2020-05-19,2020-05-26,264,329,394
130,Senegal,2020-05-19,2020-05-26,19,30,41
131,Serbia,2020-05-19,2020-05-26,220,234,248
132,Seychelles,2020-05-19,2020-05-26,0,0,0
133,Singapore,2020-05-19,2020-05-26,21,22,23
134,Slovakia,2020-05-19,2020-05-26,27,28,29
135,Slovenia,2020-05-19,2020-05-26,102,104,106
136,Somalia,2020-05-19,2020-05-26,52,59,66
137,South Africa,2020-05-19,2020-05-26,206,312,418
138,Spain,2020-05-19,2020-05-26,26920,27778,28636
139,Sri Lanka,2020-05-19,2020-05-26,9,9,9
140,Sudan,2020-05-19,2020-05-26,80,111,142
141,Suriname,2020-05-19,2020-05-26,1,1,1
142,Sweden,2020-05-19,2020-05-26,3313,3743,4173
143,Switzerland,2020-05-19,2020-05-26,1867,1891,1915
144,Tanzania,2020-05-19,2020-05-26,21,21,21
145,Thailand,2020-05-19,2020-05-26,56,56,56
146,Togo,2020-05-19,2020-05-26,11,12,13
147,Trinidad and Tobago,2020-05-19,2020-05-26,8,8,8
148,Tunisia,2020-05-19,2020-05-26,45,47,49
149,Turkey,2020-05-19,2020-05-26,3894,4199,4504
150,Uganda,2020-05-19,2020-05-26,0,0,0
151,Ukraine,2020-05-19,2020-05-26,425,548,671
152,United Arab Emirates,2020-05-19,2020-05-26,203,227,251
153,United Kingdom,2020-05-19,2020-05-26,32769,35422,38075
154,Uruguay,2020-05-19,2020-05-26,19,20,21
155,US,2020-05-19,2020-05-26,82356,91921,101486
156,Uzbekistan,2020-05-19,2020-05-26,10,13,16
157,Venezuela,2020-05-19,2020-05-26,10,10,10
158,Vietnam,2020-05-19,2020-05-26,0,0,0
159,Zambia,2020-05-19,2020-05-26,7,7,7
160,Zimbabwe,2020-05-19,2020-05-26,4,4,4
161,Dominica,2020-05-19,2020-05-26,0,0,0
162,Grenada,2020-05-19,2020-05-26,0,0,0
163,Mozambique,2020-05-19,2020-05-26,0,0,0
164,Syria,2020-05-19,2020-05-26,3,3,3
165,Timor-Leste,2020-05-19,2020-05-26,0,0,0
166,Belize,2020-05-19,2020-05-26,2,2,2
167,Laos,2020-05-19,2020-05-26,0,0,0
168,Libya,2020-05-19,2020-05-26,3,3,3
169,West Bank and Gaza,2020-05-19,2020-05-26,2,2,2
170,Guinea-Bissau,2020-05-19,2020-05-26,3,6,9
171,Mali,2020-05-19,2020-05-26,40,53,66
172,Saint Kitts and Nevis,2020-05-19,2020-05-26,0,0,0
173,Kosovo,2020-05-19,2020-05-26,29,29,29
174,Burma,2020-05-19,2020-05-26,6,6,6
175,MS Zaandam,2020-05-19,2020-05-26,2,2,2
176,Botswana,2020-05-19,2020-05-26,1,1,1
177,Burundi,2020-05-19,2020-05-26,1,1,1
178,Sierra Leone,2020-05-19,2020-05-26,19,33,47
179,Malawi,2020-05-19,2020-05-26,3,3,3
180,South Sudan,2020-05-19,2020-05-26,0,4,8
181,Western Sahara,2020-05-19,2020-05-26,0,0,0
182,Sao Tome and Principe,2020-05-19,2020-05-26,5,8,11
183,Yemen,2020-05-19,2020-05-26,10,28,46
