,Country,start_date,pre_date,b7_truth,start_truth,pre_deaths
0,Afghanistan,2020-08-19,2020-08-26,1354,1375,1396
1,Albania,2020-08-19,2020-08-26,208,234,260
2,Algeria,2020-08-19,2020-08-26,1333,1402,1471
3,Andorra,2020-08-19,2020-08-26,53,53,53
4,Angola,2020-08-19,2020-08-26,80,92,104
5,Antigua and Barbuda,2020-08-19,2020-08-26,3,3,3
6,Argentina,2020-08-19,2020-08-26,5213,6330,7447
7,Armenia,2020-08-19,2020-08-26,806,833,860
8,Australia,2020-08-19,2020-08-26,361,463,565
9,Austria,2020-08-19,2020-08-26,724,729,734
10,Azerbaijan,2020-08-19,2020-08-26,497,510,523
11,Bahamas,2020-08-19,2020-08-26,15,22,29
12,Bahrain,2020-08-19,2020-08-26,166,178,190
13,Bangladesh,2020-08-19,2020-08-26,3513,3781,4049
14,Barbados,2020-08-19,2020-08-26,7,7,7
15,Belarus,2020-08-19,2020-08-26,595,622,649
16,Belgium,2020-08-19,2020-08-26,9900,9969,10038
17,Benin,2020-08-19,2020-08-26,38,39,40
18,Bhutan,2020-08-19,2020-08-26,0,0,0
19,Bolivia,2020-08-19,2020-08-26,3827,4233,4639
20,Bosnia and Herzegovina,2020-08-19,2020-08-26,453,507,561
21,Brazil,2020-08-19,2020-08-26,104201,111100,117999
22,Brunei,2020-08-19,2020-08-26,3,3,3
23,Bulgaria,2020-08-19,2020-08-26,482,527,572
24,Burkina Faso,2020-08-19,2020-08-26,54,55,56
25,Cabo Verde,2020-08-19,2020-08-26,33,36,39
26,Cambodia,2020-08-19,2020-08-26,0,0,0
27,Cameroon,2020-08-19,2020-08-26,401,406,411
28,Canada,2020-08-19,2020-08-26,9052,9095,9138
29,Central African Republic,2020-08-19,2020-08-26,61,61,61
30,Chad,2020-08-19,2020-08-26,76,76,76
31,Chile,2020-08-19,2020-08-26,10205,10578,10951
32,China,2020-08-19,2020-08-26,4697,4706,4715
33,Colombia,2020-08-19,2020-08-26,13837,15979,18121
34,Congo (Brazzaville),2020-08-19,2020-08-26,60,77,94
35,Congo (Kinshasa),2020-08-19,2020-08-26,225,246,267
36,Costa Rica,2020-08-19,2020-08-26,263,321,379
37,Cote d'Ivoire,2020-08-19,2020-08-26,105,111,117
38,Croatia,2020-08-19,2020-08-26,160,168,176
39,Diamond Princess,2020-08-19,2020-08-26,13,13,13
40,Cuba,2020-08-19,2020-08-26,88,88,88
41,Cyprus,2020-08-19,2020-08-26,20,20,20
42,Czechia,2020-08-19,2020-08-26,391,404,417
43,Denmark,2020-08-19,2020-08-26,621,621,621
44,Djibouti,2020-08-19,2020-08-26,59,59,59
45,Dominican Republic,2020-08-19,2020-08-26,1371,1501,1631
46,Ecuador,2020-08-19,2020-08-26,5984,6146,6308
47,Egypt,2020-08-19,2020-08-26,5085,5197,5309
48,El Salvador,2020-08-19,2020-08-26,577,633,689
49,Equatorial Guinea,2020-08-19,2020-08-26,83,83,83
50,Eritrea,2020-08-19,2020-08-26,0,0,0
51,Estonia,2020-08-19,2020-08-26,63,63,63
52,Eswatini,2020-08-19,2020-08-26,63,79,95
53,Ethiopia,2020-08-19,2020-08-26,463,600,737
54,Fiji,2020-08-19,2020-08-26,1,1,1
55,Finland,2020-08-19,2020-08-26,333,334,335
56,France,2020-08-19,2020-08-26,30375,30434,30493
57,Gabon,2020-08-19,2020-08-26,51,53,55
58,Gambia,2020-08-19,2020-08-26,33,77,121
59,Georgia,2020-08-19,2020-08-26,17,17,17
60,Germany,2020-08-19,2020-08-26,9213,9249,9285
61,Ghana,2020-08-19,2020-08-26,223,256,289
62,Greece,2020-08-19,2020-08-26,216,235,254
63,Guatemala,2020-08-19,2020-08-26,2267,2467,2667
64,Guinea,2020-08-19,2020-08-26,50,53,56
65,Guyana,2020-08-19,2020-08-26,22,27,32
66,Haiti,2020-08-19,2020-08-26,187,196,205
67,Holy See,2020-08-19,2020-08-26,0,0,0
68,Honduras,2020-08-19,2020-08-26,1533,1608,1683
69,Hungary,2020-08-19,2020-08-26,605,609,613
70,Iceland,2020-08-19,2020-08-26,10,10,10
71,India,2020-08-19,2020-08-26,47033,53866,60699
72,Indonesia,2020-08-19,2020-08-26,5903,6346,6789
73,Iran,2020-08-19,2020-08-26,18988,20125,21262
74,Iraq,2020-08-19,2020-08-26,5588,6121,6654
75,Ireland,2020-08-19,2020-08-26,1774,1775,1776
76,Israel,2020-08-19,2020-08-26,639,781,923
77,Italy,2020-08-19,2020-08-26,35225,35412,35599
78,Jamaica,2020-08-19,2020-08-26,14,14,14
79,Japan,2020-08-19,2020-08-26,1066,1148,1230
80,Jordan,2020-08-19,2020-08-26,11,11,11
81,Kazakhstan,2020-08-19,2020-08-26,1269,1415,1561
82,Kenya,2020-08-19,2020-08-26,456,506,556
83,"Korea, South",2020-08-19,2020-08-26,305,307,309
84,Kuwait,2020-08-19,2020-08-26,489,507,525
85,Kyrgyzstan,2020-08-19,2020-08-26,1484,1498,1512
86,Latvia,2020-08-19,2020-08-26,32,33,34
87,Lebanon,2020-08-19,2020-08-26,89,109,129
88,Liberia,2020-08-19,2020-08-26,82,82,82
89,Liechtenstein,2020-08-19,2020-08-26,1,1,1
90,Lithuania,2020-08-19,2020-08-26,81,81,81
91,Luxembourg,2020-08-19,2020-08-26,122,124,126
92,Madagascar,2020-08-19,2020-08-26,156,173,190
93,Malaysia,2020-08-19,2020-08-26,125,125,125
94,Maldives,2020-08-19,2020-08-26,21,24,27
95,Malta,2020-08-19,2020-08-26,9,9,9
96,Mauritania,2020-08-19,2020-08-26,157,158,159
97,Mauritius,2020-08-19,2020-08-26,10,10,10
98,Mexico,2020-08-19,2020-08-26,54666,58481,62296
99,Moldova,2020-08-19,2020-08-26,863,914,965
100,Monaco,2020-08-19,2020-08-26,4,4,4
101,Mongolia,2020-08-19,2020-08-26,0,0,0
102,Montenegro,2020-08-19,2020-08-26,73,80,87
103,Morocco,2020-08-19,2020-08-26,556,743,930
104,Namibia,2020-08-19,2020-08-26,22,39,56
105,Nepal,2020-08-19,2020-08-26,91,120,149
106,Netherlands,2020-08-19,2020-08-26,6182,6204,6226
107,New Zealand,2020-08-19,2020-08-26,22,22,22
108,Nicaragua,2020-08-19,2020-08-26,128,133,138
109,Niger,2020-08-19,2020-08-26,69,69,69
110,Nigeria,2020-08-19,2020-08-26,956,985,1014
111,North Macedonia,2020-08-19,2020-08-26,530,551,572
112,Norway,2020-08-19,2020-08-26,256,262,268
113,Oman,2020-08-19,2020-08-26,539,603,667
114,Pakistan,2020-08-19,2020-08-26,6129,6201,6273
115,Panama,2020-08-19,2020-08-26,1703,1827,1951
116,Papua New Guinea,2020-08-19,2020-08-26,3,3,3
117,Paraguay,2020-08-19,2020-08-26,93,165,237
118,Peru,2020-08-19,2020-08-26,21501,26658,31815
119,Philippines,2020-08-19,2020-08-26,2404,2795,3186
120,Poland,2020-08-19,2020-08-26,1830,1913,1996
121,Portugal,2020-08-19,2020-08-26,1764,1786,1808
122,Qatar,2020-08-19,2020-08-26,190,193,196
123,Romania,2020-08-19,2020-08-26,2807,3106,3405
124,Russia,2020-08-19,2020-08-26,15231,15951,16671
125,Rwanda,2020-08-19,2020-08-26,8,10,12
126,Saint Lucia,2020-08-19,2020-08-26,0,0,0
127,Saint Vincent and the Grenadines,2020-08-19,2020-08-26,0,0,0
128,San Marino,2020-08-19,2020-08-26,42,42,42
129,Saudi Arabia,2020-08-19,2020-08-26,3269,3506,3743
130,Senegal,2020-08-19,2020-08-26,242,258,274
131,Serbia,2020-08-19,2020-08-26,658,684,710
132,Seychelles,2020-08-19,2020-08-26,0,0,0
133,Singapore,2020-08-19,2020-08-26,27,27,27
134,Slovakia,2020-08-19,2020-08-26,31,33,35
135,Slovenia,2020-08-19,2020-08-26,129,129,129
136,Somalia,2020-08-19,2020-08-26,93,93,93
137,South Africa,2020-08-19,2020-08-26,11010,12423,13836
138,Spain,2020-08-19,2020-08-26,28579,28797,29015
139,Sri Lanka,2020-08-19,2020-08-26,11,11,11
140,Sudan,2020-08-19,2020-08-26,786,808,830
141,Suriname,2020-08-19,2020-08-26,39,54,69
142,Sweden,2020-08-19,2020-08-26,5774,5802,5830
143,Switzerland,2020-08-19,2020-08-26,1991,1996,2001
144,Tanzania,2020-08-19,2020-08-26,21,21,21
145,Thailand,2020-08-19,2020-08-26,58,58,58
146,Togo,2020-08-19,2020-08-26,26,27,28
147,Trinidad and Tobago,2020-08-19,2020-08-26,8,12,16
148,Tunisia,2020-08-19,2020-08-26,52,60,68
149,Turkey,2020-08-19,2020-08-26,5891,6039,6187
150,Uganda,2020-08-19,2020-08-26,9,16,23
151,Ukraine,2020-08-19,2020-08-26,1999,2182,2365
152,United Arab Emirates,2020-08-19,2020-08-26,358,367,376
153,United Kingdom,2020-08-19,2020-08-26,41414,41483,41552
154,Uruguay,2020-08-19,2020-08-26,37,40,43
155,US,2020-08-19,2020-08-26,166034,173177,180320
156,Uzbekistan,2020-08-19,2020-08-26,211,248,285
157,Venezuela,2020-08-19,2020-08-26,247,303,359
158,Vietnam,2020-08-19,2020-08-26,18,25,32
159,Zambia,2020-08-19,2020-08-26,246,269,292
160,Zimbabwe,2020-08-19,2020-08-26,122,150,178
161,Dominica,2020-08-19,2020-08-26,0,0,0
162,Grenada,2020-08-19,2020-08-26,0,0,0
163,Mozambique,2020-08-19,2020-08-26,19,19,19
164,Syria,2020-08-19,2020-08-26,53,78,103
165,Timor-Leste,2020-08-19,2020-08-26,0,0,0
166,Belize,2020-08-19,2020-08-26,2,4,6
167,Laos,2020-08-19,2020-08-26,0,0,0
168,Libya,2020-08-19,2020-08-26,132,169,206
169,West Bank and Gaza,2020-08-19,2020-08-26,105,119,133
170,Guinea-Bissau,2020-08-19,2020-08-26,29,33,37
171,Mali,2020-08-19,2020-08-26,125,125,125
172,Saint Kitts and Nevis,2020-08-19,2020-08-26,0,0,0
173,Kosovo,2020-08-19,2020-08-26,341,390,439
174,Burma,2020-08-19,2020-08-26,6,6,6
175,MS Zaandam,2020-08-19,2020-08-26,2,2,2
176,Botswana,2020-08-19,2020-08-26,2,3,4
177,Burundi,2020-08-19,2020-08-26,1,1,1
178,Sierra Leone,2020-08-19,2020-08-26,69,69,69
179,Malawi,2020-08-19,2020-08-26,152,164,176
180,South Sudan,2020-08-19,2020-08-26,47,47,47
181,Western Sahara,2020-08-19,2020-08-26,1,1,1
182,Sao Tome and Principe,2020-08-19,2020-08-26,15,15,15
183,Yemen,2020-08-19,2020-08-26,528,539,550
