,Country,start_date,pre_date,b7_truth,start_truth,pre_deaths
0,Afghanistan,2020-08-26,2020-09-02,1375,1401,1427
1,Albania,2020-08-26,2020-09-02,234,263,292
2,Algeria,2020-08-26,2020-09-02,1402,1465,1528
3,Andorra,2020-08-26,2020-09-02,53,53,53
4,Angola,2020-08-26,2020-09-02,92,103,114
5,Antigua and Barbuda,2020-08-26,2020-09-02,3,3,3
6,Argentina,2020-08-26,2020-09-02,6330,7839,9348
7,Armenia,2020-08-26,2020-09-02,833,861,889
8,Australia,2020-08-26,2020-09-02,463,572,681
9,Austria,2020-08-26,2020-09-02,729,733,737
10,Azerbaijan,2020-08-26,2020-09-02,510,522,534
11,Bahamas,2020-08-26,2020-09-02,22,29,36
12,Bahrain,2020-08-26,2020-09-02,178,186,194
13,Bangladesh,2020-08-26,2020-09-02,3781,4082,4383
14,Barbados,2020-08-26,2020-09-02,7,7,7
15,Belarus,2020-08-26,2020-09-02,622,657,692
16,Belgium,2020-08-26,2020-09-02,9969,9879,9789
17,Benin,2020-08-26,2020-09-02,39,40,41
18,Bhutan,2020-08-26,2020-09-02,0,0,0
19,Bolivia,2020-08-26,2020-09-02,4233,4726,5219
20,Bosnia and Herzegovina,2020-08-26,2020-09-02,507,571,635
21,Brazil,2020-08-26,2020-09-02,111100,117665,124230
22,Brunei,2020-08-26,2020-09-02,3,3,3
23,Bulgaria,2020-08-26,2020-09-02,527,586,645
24,Burkina Faso,2020-08-26,2020-09-02,55,55,55
25,Cabo Verde,2020-08-26,2020-09-02,36,38,40
26,Cambodia,2020-08-26,2020-09-02,0,0,0
27,Cameroon,2020-08-26,2020-09-02,406,410,414
28,Canada,2020-08-26,2020-09-02,9095,9141,9187
29,Central African Republic,2020-08-26,2020-09-02,61,61,61
30,Chad,2020-08-26,2020-09-02,76,77,78
31,Chile,2020-08-26,2020-09-02,10578,10990,11402
32,China,2020-08-26,2020-09-02,4706,4713,4720
33,Colombia,2020-08-26,2020-09-02,15979,18184,20389
34,Congo (Brazzaville),2020-08-26,2020-09-02,77,78,79
35,Congo (Kinshasa),2020-08-26,2020-09-02,246,254,262
36,Costa Rica,2020-08-26,2020-09-02,321,386,451
37,Cote d'Ivoire,2020-08-26,2020-09-02,111,114,117
38,Croatia,2020-08-26,2020-09-02,168,175,182
39,Diamond Princess,2020-08-26,2020-09-02,13,13,13
40,Cuba,2020-08-26,2020-09-02,88,92,96
41,Cyprus,2020-08-26,2020-09-02,20,20,20
42,Czechia,2020-08-26,2020-09-02,404,418,432
43,Denmark,2020-08-26,2020-09-02,621,623,625
44,Djibouti,2020-08-26,2020-09-02,59,60,61
45,Dominican Republic,2020-08-26,2020-09-02,1501,1613,1725
46,Ecuador,2020-08-26,2020-09-02,6146,6410,6674
47,Egypt,2020-08-26,2020-09-02,5197,5317,5437
48,El Salvador,2020-08-26,2020-09-02,633,687,741
49,Equatorial Guinea,2020-08-26,2020-09-02,83,83,83
50,Eritrea,2020-08-26,2020-09-02,0,0,0
51,Estonia,2020-08-26,2020-09-02,63,64,65
52,Eswatini,2020-08-26,2020-09-02,79,88,97
53,Ethiopia,2020-08-26,2020-09-02,600,725,850
54,Fiji,2020-08-26,2020-09-02,1,1,1
55,Finland,2020-08-26,2020-09-02,334,335,336
56,France,2020-08-26,2020-09-02,30434,30549,30664
57,Gabon,2020-08-26,2020-09-02,53,53,53
58,Gambia,2020-08-26,2020-09-02,77,93,109
59,Georgia,2020-08-26,2020-09-02,17,19,21
60,Germany,2020-08-26,2020-09-02,9249,9285,9321
61,Ghana,2020-08-26,2020-09-02,256,270,284
62,Greece,2020-08-26,2020-09-02,235,248,261
63,Guatemala,2020-08-26,2020-09-02,2467,2662,2857
64,Guinea,2020-08-26,2020-09-02,53,57,61
65,Guyana,2020-08-26,2020-09-02,27,31,35
66,Haiti,2020-08-26,2020-09-02,196,197,198
67,Holy See,2020-08-26,2020-09-02,0,0,0
68,Honduras,2020-08-26,2020-09-02,1608,1747,1886
69,Hungary,2020-08-26,2020-09-02,609,614,619
70,Iceland,2020-08-26,2020-09-02,10,10,10
71,India,2020-08-26,2020-09-02,53866,60472,67078
72,Indonesia,2020-08-26,2020-09-02,6346,6944,7542
73,Iran,2020-08-26,2020-09-02,20125,21020,21915
74,Iraq,2020-08-26,2020-09-02,6121,6668,7215
75,Ireland,2020-08-26,2020-09-02,1775,1777,1779
76,Israel,2020-08-26,2020-09-02,781,875,969
77,Italy,2020-08-26,2020-09-02,35412,35458,35504
78,Jamaica,2020-08-26,2020-09-02,14,19,24
79,Japan,2020-08-26,2020-09-02,1148,1230,1312
80,Jordan,2020-08-26,2020-09-02,11,15,19
81,Kazakhstan,2020-08-26,2020-09-02,1415,1523,1631
82,Kenya,2020-08-26,2020-09-02,506,564,622
83,"Korea, South",2020-08-26,2020-09-02,307,313,319
84,Kuwait,2020-08-26,2020-09-02,507,521,535
85,Kyrgyzstan,2020-08-26,2020-09-02,1498,1057,616
86,Latvia,2020-08-26,2020-09-02,33,33,33
87,Lebanon,2020-08-26,2020-09-02,109,139,169
88,Liberia,2020-08-26,2020-09-02,82,82,82
89,Liechtenstein,2020-08-26,2020-09-02,1,1,1
90,Lithuania,2020-08-26,2020-09-02,81,85,89
91,Luxembourg,2020-08-26,2020-09-02,124,124,124
92,Madagascar,2020-08-26,2020-09-02,173,181,189
93,Malaysia,2020-08-26,2020-09-02,125,125,125
94,Maldives,2020-08-26,2020-09-02,24,28,32
95,Malta,2020-08-26,2020-09-02,9,10,11
96,Mauritania,2020-08-26,2020-09-02,158,158,158
97,Mauritius,2020-08-26,2020-09-02,10,10,10
98,Mexico,2020-08-26,2020-09-02,58481,62076,65671
99,Moldova,2020-08-26,2020-09-02,914,967,1020
100,Monaco,2020-08-26,2020-09-02,4,4,4
101,Mongolia,2020-08-26,2020-09-02,0,0,0
102,Montenegro,2020-08-26,2020-09-02,80,88,96
103,Morocco,2020-08-26,2020-09-02,743,984,1225
104,Namibia,2020-08-26,2020-09-02,39,59,79
105,Nepal,2020-08-26,2020-09-02,120,175,230
106,Netherlands,2020-08-26,2020-09-02,6204,6241,6278
107,New Zealand,2020-08-26,2020-09-02,22,22,22
108,Nicaragua,2020-08-26,2020-09-02,133,137,141
109,Niger,2020-08-26,2020-09-02,69,69,69
110,Nigeria,2020-08-26,2020-09-02,985,1010,1035
111,North Macedonia,2020-08-26,2020-09-02,551,578,605
112,Norway,2020-08-26,2020-09-02,262,264,266
113,Oman,2020-08-26,2020-09-02,603,646,689
114,Pakistan,2020-08-26,2020-09-02,6201,6267,6333
115,Panama,2020-08-26,2020-09-02,1827,1932,2037
116,Papua New Guinea,2020-08-26,2020-09-02,3,4,5
117,Paraguay,2020-08-26,2020-09-02,165,247,329
118,Peru,2020-08-26,2020-09-02,26658,28001,29344
119,Philippines,2020-08-26,2020-09-02,2795,3137,3479
120,Poland,2020-08-26,2020-09-02,1913,1994,2075
121,Portugal,2020-08-26,2020-09-02,1786,1807,1828
122,Qatar,2020-08-26,2020-09-02,193,194,195
123,Romania,2020-08-26,2020-09-02,3106,3421,3736
124,Russia,2020-08-26,2020-09-02,15951,16638,17325
125,Rwanda,2020-08-26,2020-09-02,10,15,20
126,Saint Lucia,2020-08-26,2020-09-02,0,0,0
127,Saint Vincent and the Grenadines,2020-08-26,2020-09-02,0,0,0
128,San Marino,2020-08-26,2020-09-02,42,42,42
129,Saudi Arabia,2020-08-26,2020-09-02,3506,3755,4004
130,Senegal,2020-08-26,2020-09-02,258,275,292
131,Serbia,2020-08-26,2020-09-02,684,707,730
132,Seychelles,2020-08-26,2020-09-02,0,0,0
133,Singapore,2020-08-26,2020-09-02,27,27,27
134,Slovakia,2020-08-26,2020-09-02,33,33,33
135,Slovenia,2020-08-26,2020-09-02,129,133,137
136,Somalia,2020-08-26,2020-09-02,93,95,97
137,South Africa,2020-08-26,2020-09-02,12423,13502,14581
138,Spain,2020-08-26,2020-09-02,28797,28971,29145
139,Sri Lanka,2020-08-26,2020-09-02,11,12,13
140,Sudan,2020-08-26,2020-09-02,808,819,830
141,Suriname,2020-08-26,2020-09-02,54,62,70
142,Sweden,2020-08-26,2020-09-02,5802,5817,5832
143,Switzerland,2020-08-26,2020-09-02,1996,2003,2010
144,Tanzania,2020-08-26,2020-09-02,21,21,21
145,Thailand,2020-08-26,2020-09-02,58,58,58
146,Togo,2020-08-26,2020-09-02,27,27,27
147,Trinidad and Tobago,2020-08-26,2020-09-02,12,15,18
148,Tunisia,2020-08-26,2020-09-02,60,71,82
149,Turkey,2020-08-26,2020-09-02,6039,6183,6327
150,Uganda,2020-08-26,2020-09-02,16,26,36
151,Ukraine,2020-08-26,2020-09-02,2182,2399,2616
152,United Arab Emirates,2020-08-26,2020-09-02,367,378,389
153,United Kingdom,2020-08-26,2020-09-02,41483,41552,41621
154,Uruguay,2020-08-26,2020-09-02,40,43,46
155,US,2020-08-26,2020-09-02,173177,179708,186239
156,Uzbekistan,2020-08-26,2020-09-02,248,291,334
157,Venezuela,2020-08-26,2020-09-02,303,351,399
158,Vietnam,2020-08-26,2020-09-02,25,30,35
159,Zambia,2020-08-26,2020-09-02,269,282,295
160,Zimbabwe,2020-08-26,2020-09-02,150,179,208
161,Dominica,2020-08-26,2020-09-02,0,0,0
162,Grenada,2020-08-26,2020-09-02,0,0,0
163,Mozambique,2020-08-26,2020-09-02,19,21,23
164,Syria,2020-08-26,2020-09-02,78,98,118
165,Timor-Leste,2020-08-26,2020-09-02,0,0,0
166,Belize,2020-08-26,2020-09-02,4,11,18
167,Laos,2020-08-26,2020-09-02,0,0,0
168,Libya,2020-08-26,2020-09-02,169,210,251
169,West Bank and Gaza,2020-08-26,2020-09-02,119,137,155
170,Guinea-Bissau,2020-08-26,2020-09-02,33,34,35
171,Mali,2020-08-26,2020-09-02,125,126,127
172,Saint Kitts and Nevis,2020-08-26,2020-09-02,0,0,0
173,Kosovo,2020-08-26,2020-09-02,390,488,586
174,Burma,2020-08-26,2020-09-02,6,6,6
175,MS Zaandam,2020-08-26,2020-09-02,2,2,2
176,Botswana,2020-08-26,2020-09-02,3,3,3
177,Burundi,2020-08-26,2020-09-02,1,1,1
178,Sierra Leone,2020-08-26,2020-09-02,69,69,69
179,Malawi,2020-08-26,2020-09-02,164,173,182
180,South Sudan,2020-08-26,2020-09-02,47,47,47
181,Western Sahara,2020-08-26,2020-09-02,1,1,1
182,Sao Tome and Principe,2020-08-26,2020-09-02,15,15,15
183,Yemen,2020-08-26,2020-09-02,539,560,581
