,Country,start_date,pre_date,b7_truth,start_truth,pre_deaths
0,Afghanistan,2020-10-14,2020-10-21,1469,1481,1493
1,Albania,2020-10-14,2020-10-21,407,434,461
2,Algeria,2020-10-14,2020-10-21,1771,1827,1883
3,Andorra,2020-10-14,2020-10-21,53,59,65
4,Angola,2020-10-14,2020-10-21,211,227,243
5,Antigua and Barbuda,2020-10-14,2020-10-21,3,3,3
6,Argentina,2020-10-14,2020-10-21,22226,24921,27616
7,Armenia,2020-10-14,2020-10-21,995,1039,1083
8,Australia,2020-10-14,2020-10-21,897,904,911
9,Austria,2020-10-14,2020-10-21,830,872,914
10,Azerbaijan,2020-10-14,2020-10-21,602,616,630
11,Bahamas,2020-10-14,2020-10-21,102,109,116
12,Bahrain,2020-10-14,2020-10-21,262,287,312
13,Bangladesh,2020-10-14,2020-10-21,5440,5593,5746
14,Barbados,2020-10-14,2020-10-21,7,7,7
15,Belarus,2020-10-14,2020-10-21,874,911,948
16,Belgium,2020-10-14,2020-10-21,10108,10278,10448
17,Benin,2020-10-14,2020-10-21,41,41,41
18,Bhutan,2020-10-14,2020-10-21,0,0,0
19,Bolivia,2020-10-14,2020-10-21,8192,8377,8562
20,Bosnia and Herzegovina,2020-10-14,2020-10-21,908,958,1008
21,Brazil,2020-10-14,2020-10-21,148228,151747,155266
22,Brunei,2020-10-14,2020-10-21,3,3,3
23,Bulgaria,2020-10-14,2020-10-21,873,929,985
24,Burkina Faso,2020-10-14,2020-10-21,59,63,67
25,Cabo Verde,2020-10-14,2020-10-21,71,79,87
26,Cambodia,2020-10-14,2020-10-21,0,0,0
27,Cameroon,2020-10-14,2020-10-21,420,423,426
28,Canada,2020-10-14,2020-10-21,9593,9719,9845
29,Central African Republic,2020-10-14,2020-10-21,62,62,62
30,Chad,2020-10-14,2020-10-21,89,92,95
31,Chile,2020-10-14,2020-10-21,13090,13415,13740
32,China,2020-10-14,2020-10-21,4739,4739,4739
33,Colombia,2020-10-14,2020-10-21,27180,28306,29432
34,Congo (Brazzaville),2020-10-14,2020-10-21,89,92,95
35,Congo (Kinshasa),2020-10-14,2020-10-21,276,281,286
36,Costa Rica,2020-10-14,2020-10-21,1024,1134,1244
37,Cote d'Ivoire,2020-10-14,2020-10-21,120,120,120
38,Croatia,2020-10-14,2020-10-21,309,334,359
39,Diamond Princess,2020-10-14,2020-10-21,13,13,13
40,Cuba,2020-10-14,2020-10-21,123,123,123
41,Cyprus,2020-10-14,2020-10-21,24,25,26
42,Czechia,2020-10-14,2020-10-21,829,1172,1515
43,Denmark,2020-10-14,2020-10-21,663,675,687
44,Djibouti,2020-10-14,2020-10-21,61,61,61
45,Dominican Republic,2020-10-14,2020-10-21,2159,2186,2213
46,Ecuador,2020-10-14,2020-10-21,11743,12264,12785
47,Egypt,2020-10-14,2020-10-21,6010,6077,6144
48,El Salvador,2020-10-14,2020-10-21,873,904,935
49,Equatorial Guinea,2020-10-14,2020-10-21,83,83,83
50,Eritrea,2020-10-14,2020-10-21,0,0,0
51,Estonia,2020-10-14,2020-10-21,67,68,69
52,Eswatini,2020-10-14,2020-10-21,113,114,115
53,Ethiopia,2020-10-14,2020-10-21,1255,1312,1369
54,Fiji,2020-10-14,2020-10-21,2,2,2
55,Finland,2020-10-14,2020-10-21,346,350,354
56,France,2020-10-14,2020-10-21,32463,33058,33653
57,Gabon,2020-10-14,2020-10-21,54,54,54
58,Gambia,2020-10-14,2020-10-21,117,118,119
59,Georgia,2020-10-14,2020-10-21,63,109,155
60,Germany,2020-10-14,2020-10-21,9582,9716,9850
61,Ghana,2020-10-14,2020-10-21,303,310,317
62,Greece,2020-10-14,2020-10-21,424,469,514
63,Guatemala,2020-10-14,2020-10-21,3335,3430,3525
64,Guinea,2020-10-14,2020-10-21,68,70,72
65,Guyana,2020-10-14,2020-10-21,95,106,117
66,Haiti,2020-10-14,2020-10-21,229,231,233
67,Holy See,2020-10-14,2020-10-21,0,0,0
68,Honduras,2020-10-14,2020-10-21,2466,2533,2600
