,Country,start_date,pre_date,b7_truth,start_truth,pre_cases
0,Afghanistan,2020-10-06,2020-10-13,39254,39486,39718
1,Albania,2020-10-06,2020-10-13,13518,14568,15618
2,Algeria,2020-10-06,2020-10-13,51368,52399,53430
3,Andorra,2020-10-06,2020-10-13,1966,2370,2774
4,Angola,2020-10-06,2020-10-13,4905,5725,6545
5,Antigua and Barbuda,2020-10-06,2020-10-13,101,107,113
6,Argentina,2020-10-06,2020-10-13,736609,824468,912327
7,Armenia,2020-10-06,2020-10-13,49901,53083,56265
8,Australia,2020-10-06,2020-10-13,27078,27181,27284
9,Austria,2020-10-06,2020-10-13,44041,49819,55597
10,Azerbaijan,2020-10-06,2020-10-13,40119,40931,41743
11,Bahamas,2020-10-06,2020-10-13,3903,4559,5215
12,Bahrain,2020-10-06,2020-10-13,70422,73476,76530
13,Bangladesh,2020-10-06,2020-10-13,362043,371631,381219
14,Barbados,2020-10-06,2020-10-13,190,200,210
15,Belarus,2020-10-06,2020-10-13,78260,81090,83920
16,Belgium,2020-10-06,2020-10-13,117115,134291,151467
17,Benin,2020-10-06,2020-10-13,2340,2357,2374
18,Bhutan,2020-10-06,2020-10-13,281,300,319
19,Bolivia,2020-10-06,2020-10-13,134641,137468,140295
20,Bosnia and Herzegovina,2020-10-06,2020-10-13,27226,28710,30194
21,Brazil,2020-10-06,2020-10-13,4777522,4969141,5160760
22,Brunei,2020-10-06,2020-10-13,146,146,146
23,Bulgaria,2020-10-06,2020-10-13,20547,22306,24065
24,Burkina Faso,2020-10-06,2020-10-13,2032,2197,2362
25,Cabo Verde,2020-10-06,2020-10-13,5900,6518,7136
26,Cambodia,2020-10-06,2020-10-13,277,280,283
27,Cameroon,2020-10-06,2020-10-13,20838,20924,21010
28,Canada,2020-10-06,2020-10-13,158991,173756,188521
29,Central African Republic,2020-10-06,2020-10-13,4806,4852,4898
30,Chad,2020-10-06,2020-10-13,1193,1238,1283
31,Chile,2020-10-06,2020-10-13,461300,473306,485312
32,China,2020-10-06,2020-10-13,90528,90667,90806
33,Colombia,2020-10-06,2020-10-13,824042,869808,915574
34,Congo (Brazzaville),2020-10-06,2020-10-13,5008,5089,5170
35,Congo (Kinshasa),2020-10-06,2020-10-13,10631,10789,10947
36,Costa Rica,2020-10-06,2020-10-13,74604,82142,89680
37,Cote d'Ivoire,2020-10-06,2020-10-13,19669,19903,20137
38,Croatia,2020-10-06,2020-10-13,16380,18084,19788
39,Diamond Princess,2020-10-06,2020-10-13,712,712,712
40,Cuba,2020-10-06,2020-10-13,5531,5883,6235
41,Cyprus,2020-10-06,2020-10-13,1743,1876,2009
42,Czechia,2020-10-06,2020-10-13,67843,90022,112201
43,Denmark,2020-10-06,2020-10-13,27941,30868,33795
44,Djibouti,2020-10-06,2020-10-13,5416,5423,5430
45,Dominican Republic,2020-10-06,2020-10-13,111900,115371,118842
46,Ecuador,2020-10-06,2020-10-13,135749,142056,148363
47,Egypt,2020-10-06,2020-10-13,103079,103902,104725
48,El Salvador,2020-10-06,2020-10-13,28981,29634,30287
49,Equatorial Guinea,2020-10-06,2020-10-13,5030,5052,5074
50,Eritrea,2020-10-06,2020-10-13,375,398,421
51,Estonia,2020-10-06,2020-10-13,3315,3659,4003
52,Eswatini,2020-10-06,2020-10-13,5462,5598,5734
53,Ethiopia,2020-10-06,2020-10-13,74584,80003,85422
54,Fiji,2020-10-06,2020-10-13,32,32,32
55,Finland,2020-10-06,2020-10-13,9892,10929,11966
56,France,2020-10-06,2020-10-13,590021,675736,761451
57,Gabon,2020-10-06,2020-10-13,8752,8808,8864
58,Gambia,2020-10-06,2020-10-13,3579,3613,3647
59,Georgia,2020-10-06,2020-10-13,5866,9245,12624
60,Germany,2020-10-06,2020-10-13,290471,307127,323783
61,Ghana,2020-10-06,2020-10-13,46482,46829,47176
62,Greece,2020-10-06,2020-10-13,18123,20541,22959
63,Guatemala,2020-10-06,2020-10-13,90968,94870,98772
64,Guinea,2020-10-06,2020-10-13,10634,10863,11092
65,Guyana,2020-10-06,2020-10-13,2846,3188,3530
66,Haiti,2020-10-06,2020-10-13,8740,8838,8936
67,Holy See,2020-10-06,2020-10-13,12,12,12
68,Honduras,2020-10-06,2020-10-13,76098,80662,85226
69,Hungary,2020-10-06,2020-10-13,25567,32298,39029
70,Iceland,2020-10-06,2020-10-13,2695,3081,3467
71,India,2020-10-06,2020-10-13,6225763,6757131,7288499
72,Indonesia,2020-10-06,2020-10-13,282724,311176,339628
73,Iran,2020-10-06,2020-10-13,453637,479825,506013
74,Iraq,2020-10-06,2020-10-13,358290,387121,415952
75,Ireland,2020-10-06,2020-10-13,35740,38973,42206
