,Country,start_date,pre_date,b7_truth,start_truth,pre_cases
0,Afghanistan,2020-10-09,2020-10-16,39290,39693,40096
1,Albania,2020-10-09,2020-10-16,13965,15066,16167
2,Algeria,2020-10-09,2020-10-16,51847,52804,53761
3,Andorra,2020-10-09,2020-10-16,2110,2696,3282
4,Angola,2020-10-09,2020-10-16,5211,6031,6851
5,Antigua and Barbuda,2020-10-09,2020-10-16,106,111,116
6,Argentina,2020-10-09,2020-10-16,779689,871468,963247
7,Armenia,2020-10-09,2020-10-16,51382,55087,58792
8,Australia,2020-10-09,2020-10-16,27121,27244,27367
9,Austria,2020-10-09,2020-10-16,46374,53188,60002
10,Azerbaijan,2020-10-09,2020-10-16,40453,41519,42585
11,Bahamas,2020-10-09,2020-10-16,4220,4713,5206
12,Bahrain,2020-10-09,2020-10-16,71803,74860,77917
13,Bangladesh,2020-10-09,2020-10-16,366383,375870,385357
14,Barbados,2020-10-09,2020-10-16,193,204,215
15,Belarus,2020-10-09,2020-10-16,79421,82471,85521
16,Belgium,2020-10-09,2020-10-16,124234,148981,173728
17,Benin,2020-10-09,2020-10-16,2357,2411,2465
18,Bhutan,2020-10-09,2020-10-16,283,306,329
19,Bolivia,2020-10-09,2020-10-16,136219,138226,140233
20,Bosnia and Herzegovina,2020-10-09,2020-10-16,27975,29917,31859
21,Brazil,2020-10-09,2020-10-16,4847092,5055888,5264684
22,Brunei,2020-10-09,2020-10-16,146,146,146
23,Bulgaria,2020-10-09,2020-10-16,21336,23871,26406
24,Burkina Faso,2020-10-09,2020-10-16,2123,2254,2385
25,Cabo Verde,2020-10-09,2020-10-16,6205,6809,7413
26,Cambodia,2020-10-09,2020-10-16,278,283,288
27,Cameroon,2020-10-09,2020-10-16,20924,21203,21482
28,Canada,2020-10-09,2020-10-16,165054,180625,196196
29,Central African Republic,2020-10-09,2020-10-16,4829,4853,4877
30,Chad,2020-10-09,2020-10-16,1211,1274,1337
31,Chile,2020-10-09,2020-10-16,466590,477769,488948
32,China,2020-10-09,2020-10-16,90584,90751,90918
33,Colombia,2020-10-09,2020-10-16,841532,894300,947068
34,Congo (Brazzaville),2020-10-09,2020-10-16,5089,5118,5147
35,Congo (Kinshasa),2020-10-09,2020-10-16,10729,10835,10941
36,Costa Rica,2020-10-09,2020-10-16,77829,86053,94277
37,Cote d'Ivoire,2020-10-09,2020-10-16,19793,20036,20279
38,Croatia,2020-10-09,2020-10-16,17160,19446,21732
39,Diamond Princess,2020-10-09,2020-10-16,712,712,712
40,Cuba,2020-10-09,2020-10-16,5718,5943,6168
41,Cyprus,2020-10-09,2020-10-16,1789,1951,2113
42,Czechia,2020-10-09,2020-10-16,78051,109374,140697
43,Denmark,2020-10-09,2020-10-16,29418,32131,34844
44,Djibouti,2020-10-09,2020-10-16,5417,5423,5429
45,Dominican Republic,2020-10-09,2020-10-16,113350,117457,121564
46,Ecuador,2020-10-09,2020-10-16,139534,145848,152162
47,Egypt,2020-10-09,2020-10-16,103466,104262,105058
48,El Salvador,2020-10-09,2020-10-16,29175,29951,30727
49,Equatorial Guinea,2020-10-09,2020-10-16,5045,5063,5081
50,Eritrea,2020-10-09,2020-10-16,381,405,429
51,Estonia,2020-10-09,2020-10-16,3507,3809,4111
52,Eswatini,2020-10-09,2020-10-16,5521,5644,5767
53,Ethiopia,2020-10-09,2020-10-16,76988,82662,88336
54,Fiji,2020-10-09,2020-10-16,32,32,32
55,Finland,2020-10-09,2020-10-16,10244,11580,12916
56,France,2020-10-09,2020-10-16,629431,732434,835437
57,Gabon,2020-10-09,2020-10-16,8797,8835,8873
58,Gambia,2020-10-09,2020-10-16,3585,3621,3657
59,Georgia,2020-10-09,2020-10-16,7093,10752,14411
60,Germany,2020-10-09,2020-10-16,298374,320495,342616
61,Ghana,2020-10-09,2020-10-16,46694,46987,47280
62,Greece,2020-10-09,2020-10-16,19346,21772,24198
63,Guatemala,2020-10-09,2020-10-16,93090,96935,100780
64,Guinea,2020-10-09,2020-10-16,10735,10954,11173
65,Guyana,2020-10-09,2020-10-16,2968,3358,3748
66,Haiti,2020-10-09,2020-10-16,8792,8854,8916
67,Holy See,2020-10-09,2020-10-16,12,12,12
68,Honduras,2020-10-09,2020-10-16,78269,82552,86835
69,Hungary,2020-10-09,2020-10-16,28631,35222,41813
70,Iceland,2020-10-09,2020-10-16,2809,3373,3937
71,India,2020-10-09,2020-10-16,6473544,6979423,7485302
72,Indonesia,2020-10-09,2020-10-16,295499,324658,353817
73,Iran,2020-10-09,2020-10-16,464596,492378,520160
74,Iraq,2020-10-09,2020-10-16,372259,397780,423301
75,Ireland,2020-10-09,2020-10-16,37063,40703,44343
76,Israel,2020-10-09,2020-10-16,258920,287858,316796
77,Italy,2020-10-09,2020-10-16,319908,343770,367632
78,Jamaica,2020-10-09,2020-10-16,6704,7363,8022
79,Japan,2020-10-09,2020-10-16,84768,88267,91766
80,Jordan,2020-10-09,2020-10-16,13650,22763,31876
81,Kazakhstan,2020-10-09,2020-10-16,108106,108663,109220
82,Kenya,2020-10-09,2020-10-16,38923,40620,42317
83,"Korea, South",2020-10-09,2020-10-16,24027,24548,25069
84,Kuwait,2020-10-09,2020-10-16,106087,110076,114065
85,Kyrgyzstan,2020-10-09,2020-10-16,47056,48617,50178
86,Latvia,2020-10-09,2020-10-16,1945,2507,3069
87,Lebanon,2020-10-09,2020-10-16,42173,51170,60167
88,Liberia,2020-10-09,2020-10-16,1346,1360,1374
89,Liechtenstein,2020-10-09,2020-10-16,120,139,158
90,Lithuania,2020-10-09,2020-10-16,4956,5758,6560
91,Luxembourg,2020-10-09,2020-10-16,8709,9119,9529
92,Madagascar,2020-10-09,2020-10-16,16493,16676,16859
93,Malaysia,2020-10-09,2020-10-16,11771,14722,17673
94,Maldives,2020-10-09,2020-10-16,10398,10808,11218
95,Malta,2020-10-09,2020-10-16,3139,3581,4023
96,Mauritania,2020-10-09,2020-10-16,7511,7548,7585
97,Mauritius,2020-10-09,2020-10-16,385,395,405
98,Mexico,2020-10-09,2020-10-16,753090,810020,866950
99,Moldova,2020-10-09,2020-10-16,55016,60833,66650
100,Monaco,2020-10-09,2020-10-16,221,233,245
101,Mongolia,2020-10-09,2020-10-16,313,315,317
102,Montenegro,2020-10-09,2020-10-16,11690,13348,15006
103,Morocco,2020-10-09,2020-10-16,128565,146398,164231
104,Namibia,2020-10-09,2020-10-16,11480,11829,12178
