,Country,start_date,pre_date,b7_truth,start_truth,pre_cases
0,Afghanistan,2020-12-06,2020-12-13,46116,47306,48496
1,Albania,2020-12-06,2020-12-13,37625,42988,48351
2,Algeria,2020-12-06,2020-12-13,82221,88252,94283
3,Andorra,2020-12-06,2020-12-13,6712,7050,7388
4,Angola,2020-12-06,2020-12-13,15103,15591,16079
5,Antigua and Barbuda,2020-12-06,2020-12-13,141,144,147
6,Argentina,2020-12-06,2020-12-13,1418807,1463110,1507413
7,Armenia,2020-12-06,2020-12-13,134768,141937,149106
8,Australia,2020-12-06,2020-12-13,27902,27972,28042
9,Austria,2020-12-06,2020-12-13,279708,303430,327152
10,Azerbaijan,2020-12-06,2020-12-13,118195,146679,175163
11,Bahamas,2020-12-06,2020-12-13,7517,7570,7623
12,Bahrain,2020-12-06,2020-12-13,86787,87930,89073
13,Bangladesh,2020-12-06,2020-12-13,462407,477545,492683
14,Barbados,2020-12-06,2020-12-13,275,285,295
15,Belarus,2020-12-06,2020-12-13,135008,147157,159306
16,Belgium,2020-12-06,2020-12-13,576599,591756,606913
17,Benin,2020-12-06,2020-12-13,2974,3055,3136
18,Bhutan,2020-12-06,2020-12-13,396,430,464
19,Bolivia,2020-12-06,2020-12-13,144622,145560,146498
20,Bosnia and Herzegovina,2020-12-06,2020-12-13,87374,94507,101640
21,Brazil,2020-12-06,2020-12-13,6314740,6603540,6892340
22,Brunei,2020-12-06,2020-12-13,150,151,152
23,Bulgaria,2020-12-06,2020-12-13,142486,161421,180356
24,Burkina Faso,2020-12-06,2020-12-13,2856,3212,3568
25,Cabo Verde,2020-12-06,2020-12-13,10747,11063,11379
26,Cambodia,2020-12-06,2020-12-13,323,348,373
27,Cameroon,2020-12-06,2020-12-13,24117,24752,25387
28,Canada,2020-12-06,2020-12-13,373662,418848,464034
29,Central African Republic,2020-12-06,2020-12-13,4913,4922,4931
30,Chad,2020-12-06,2020-12-13,1682,1725,1768
31,Chile,2020-12-06,2020-12-13,550430,560382,570334
32,China,2020-12-06,2020-12-13,92814,93577,94340
33,Colombia,2020-12-06,2020-12-13,1308376,1371103,1433830
34,Congo (Brazzaville),2020-12-06,2020-12-13,5774,5774,5774
35,Congo (Kinshasa),2020-12-06,2020-12-13,12702,13527,14352
36,Costa Rica,2020-12-06,2020-12-13,137093,143685,150277
37,Cote d'Ivoire,2020-12-06,2020-12-13,21310,21485,21660
38,Croatia,2020-12-06,2020-12-13,126612,150353,174094
39,Diamond Princess,2020-12-06,2020-12-13,712,712,712
40,Cuba,2020-12-06,2020-12-13,8233,8782,9331
41,Cyprus,2020-12-06,2020-12-13,10383,12451,14519
42,Czechia,2020-12-06,2020-12-13,519723,546833,573943
43,Denmark,2020-12-06,2020-12-13,79872,91131,102390
44,Djibouti,2020-12-06,2020-12-13,5677,5701,5725
45,Dominican Republic,2020-12-06,2020-12-13,143473,148453,153433
46,Ecuador,2020-12-06,2020-12-13,192117,197998,203879
47,Egypt,2020-12-06,2020-12-13,115541,118432,121323
48,El Salvador,2020-12-06,2020-12-13,38405,40131,41857
49,Equatorial Guinea,2020-12-06,2020-12-13,5153,5159,5165
50,Eritrea,2020-12-06,2020-12-13,577,632,687
51,Estonia,2020-12-06,2020-12-13,12052,14978,17904
52,Eswatini,2020-12-06,2020-12-13,6410,6501,6592
53,Ethiopia,2020-12-06,2020-12-13,109534,113295,117056
54,Fiji,2020-12-06,2020-12-13,38,44,50
55,Finland,2020-12-06,2020-12-13,24629,27631,30633
56,France,2020-12-06,2020-12-13,2270573,2345648,2420723
57,Gabon,2020-12-06,2020-12-13,9191,9254,9317
58,Gambia,2020-12-06,2020-12-13,3734,3770,3806
59,Georgia,2020-12-06,2020-12-13,132368,162475,192582
60,Germany,2020-12-06,2020-12-13,1055691,1194550,1333409
61,Ghana,2020-12-06,2020-12-13,51569,52274,52979
62,Greece,2020-12-06,2020-12-13,104227,115471,126715
63,Guatemala,2020-12-06,2020-12-13,121971,125550,129129
64,Guinea,2020-12-06,2020-12-13,13039,13233,13427
65,Guyana,2020-12-06,2020-12-13,5376,5665,5954
66,Haiti,2020-12-06,2020-12-13,9272,9370,9468
67,Holy See,2020-12-06,2020-12-13,27,27,27
68,Honduras,2020-12-06,2020-12-13,107888,111023,114158
69,Hungary,2020-12-06,2020-12-13,211527,250278,289029
70,Iceland,2020-12-06,2020-12-13,5381,5482,5583
