,Country,start_date,pre_date,b7_truth,start_truth,pre_cases
0,Afghanistan,2020-06-09,2020-06-16,16509,21459,26409
1,Albania,2020-06-09,2020-06-16,1164,1299,1434
2,Algeria,2020-06-09,2020-06-16,9626,10382,11138
3,Andorra,2020-06-09,2020-06-16,844,852,860
4,Angola,2020-06-09,2020-06-16,86,96,106
5,Antigua and Barbuda,2020-06-09,2020-06-16,26,26,26
6,Argentina,2020-06-09,2020-06-16,18319,24761,31203
7,Armenia,2020-06-09,2020-06-16,10009,13675,17341
8,Australia,2020-06-09,2020-06-16,7229,7274,7319
9,Austria,2020-06-09,2020-06-16,16759,16979,17199
10,Azerbaijan,2020-06-09,2020-06-16,5935,8191,10447
11,Bahamas,2020-06-09,2020-06-16,102,103,104
12,Bahrain,2020-06-09,2020-06-16,12311,15731,19151
13,Bangladesh,2020-06-09,2020-06-16,52445,71675,90905
14,Barbados,2020-06-09,2020-06-16,92,92,92
15,Belarus,2020-06-09,2020-06-16,44255,50265,56275
16,Belgium,2020-06-09,2020-06-16,58615,59437,60259
17,Benin,2020-06-09,2020-06-16,244,305,366
18,Bhutan,2020-06-09,2020-06-16,47,59,71
19,Bolivia,2020-06-09,2020-06-16,10991,14644,18297
20,Bosnia and Herzegovina,2020-06-09,2020-06-16,2535,2728,2921
21,Brazil,2020-06-09,2020-06-16,555383,739503,923623
22,Brunei,2020-06-09,2020-06-16,141,141,141
23,Bulgaria,2020-06-09,2020-06-16,2538,2889,3240
24,Burkina Faso,2020-06-09,2020-06-16,881,891,901
25,Cabo Verde,2020-06-09,2020-06-16,466,585,704
26,Cambodia,2020-06-09,2020-06-16,125,126,127
27,Cameroon,2020-06-09,2020-06-16,6585,8312,10039
28,Canada,2020-06-09,2020-06-16,93960,98241,102522
29,Central African Republic,2020-06-09,2020-06-16,1069,1850,2631
30,Chad,2020-06-09,2020-06-16,803,844,885
31,Chile,2020-06-09,2020-06-16,108686,142759,176832
32,China,2020-06-09,2020-06-16,84161,84198,84235
33,Colombia,2020-06-09,2020-06-16,30593,40847,51101
34,Congo (Brazzaville),2020-06-09,2020-06-16,611,728,845
35,Congo (Kinshasa),2020-06-09,2020-06-16,3326,4259,5192
36,Costa Rica,2020-06-09,2020-06-16,1105,1375,1645
37,Cote d'Ivoire,2020-06-09,2020-06-16,3024,3995,4966
38,Croatia,2020-06-09,2020-06-16,2246,2247,2248
39,Diamond Princess,2020-06-09,2020-06-16,712,712,712
40,Cuba,2020-06-09,2020-06-16,2092,2205,2318
41,Cyprus,2020-06-09,2020-06-16,952,972,992
42,Czechia,2020-06-09,2020-06-16,9364,9751,10138
43,Denmark,2020-06-09,2020-06-16,11934,12201,12468
44,Djibouti,2020-06-09,2020-06-16,3779,4331,4883
45,Dominican Republic,2020-06-09,2020-06-16,17752,20415,23078
46,Ecuador,2020-06-09,2020-06-16,40414,43917,47420
47,Egypt,2020-06-09,2020-06-16,27536,36829,46122
48,El Salvador,2020-06-09,2020-06-16,2653,3191,3729
49,Equatorial Guinea,2020-06-09,2020-06-16,1306,1306,1306
50,Eritrea,2020-06-09,2020-06-16,39,39,39
51,Estonia,2020-06-09,2020-06-16,1870,1947,2024
52,Eswatini,2020-06-09,2020-06-16,294,371,448
53,Ethiopia,2020-06-09,2020-06-16,1344,2336,3328
54,Fiji,2020-06-09,2020-06-16,18,18,18
55,Finland,2020-06-09,2020-06-16,6887,7025,7163
56,France,2020-06-09,2020-06-16,188450,191523,194596
57,Gabon,2020-06-09,2020-06-16,2803,3247,3691
58,Gambia,2020-06-09,2020-06-16,25,28,31
59,Georgia,2020-06-09,2020-06-16,796,818,840
60,Germany,2020-06-09,2020-06-16,183879,186506,189133
61,Ghana,2020-06-09,2020-06-16,8297,10201,12105
62,Greece,2020-06-09,2020-06-16,2937,3058,3179
63,Guatemala,2020-06-09,2020-06-16,5586,7866,10146
64,Guinea,2020-06-09,2020-06-16,3886,4258,4630
65,Guyana,2020-06-09,2020-06-16,153,156,159
66,Haiti,2020-06-09,2020-06-16,2226,3662,5098
67,Holy See,2020-06-09,2020-06-16,12,12,12
