,Country,start_date,pre_date,b7_truth,start_truth,pre_cases
0,Afghanistan,2020-07-22,2020-07-29,34994,35727,36460
1,Albania,2020-07-22,2020-07-29,3752,4358,4964
2,Algeria,2020-07-22,2020-07-29,20770,24872,28974
3,Andorra,2020-07-22,2020-07-29,862,889,916
4,Angola,2020-07-22,2020-07-29,576,812,1048
5,Antigua and Barbuda,2020-07-22,2020-07-29,74,76,78
6,Argentina,2020-07-22,2020-07-29,111146,141900,172654
7,Armenia,2020-07-22,2020-07-29,33005,35693,38381
8,Australia,2020-07-22,2020-07-29,10810,13302,15794
9,Austria,2020-07-22,2020-07-29,19154,19929,20704
10,Azerbaijan,2020-07-22,2020-07-29,25672,28633,31594
11,Bahamas,2020-07-22,2020-07-29,119,219,319
12,Bahrain,2020-07-22,2020-07-29,34560,37637,40714
13,Bangladesh,2020-07-22,2020-07-29,193590,213254,232918
14,Barbados,2020-07-22,2020-07-29,104,106,108
15,Belarus,2020-07-22,2020-07-29,65443,66521,67599
16,Belgium,2020-07-22,2020-07-29,62872,64627,66382
17,Benin,2020-07-22,2020-07-29,1378,1690,2002
18,Bhutan,2020-07-22,2020-07-29,84,92,100
19,Bolivia,2020-07-22,2020-07-29,52218,64135,76052
20,Bosnia and Herzegovina,2020-07-22,2020-07-29,7411,9115,10819
21,Brazil,2020-07-22,2020-07-29,1966748,2227514,2488280
22,Brunei,2020-07-22,2020-07-29,141,141,141
23,Bulgaria,2020-07-22,2020-07-29,7877,9584,11291
24,Burkina Faso,2020-07-22,2020-07-29,1038,1066,1094
25,Cabo Verde,2020-07-22,2020-07-29,1780,2154,2528
26,Cambodia,2020-07-22,2020-07-29,166,198,230
27,Cameroon,2020-07-22,2020-07-29,15173,16522,17871
28,Canada,2020-07-22,2020-07-29,110693,113790,116887
29,Central African Republic,2020-07-22,2020-07-29,4362,4574,4786
30,Chad,2020-07-22,2020-07-29,885,889,893
31,Chile,2020-07-22,2020-07-29,321205,334683,348161
32,China,2020-07-22,2020-07-29,85246,85906,86566
33,Colombia,2020-07-22,2020-07-29,165169,218428,271687
34,Congo (Brazzaville),2020-07-22,2020-07-29,2222,2851,3480
35,Congo (Kinshasa),2020-07-22,2020-07-29,8163,8626,9089
36,Costa Rica,2020-07-22,2020-07-29,8986,12361,15736
37,Cote d'Ivoire,2020-07-22,2020-07-29,13403,14733,16063
38,Croatia,2020-07-22,2020-07-29,3953,4530,5107
39,Diamond Princess,2020-07-22,2020-07-29,712,712,712
40,Cuba,2020-07-22,2020-07-29,2438,2462,2486
