,Country,start_date,pre_date,b7_truth,start_truth,pre_cases
0,Afghanistan,2020-06-14,2020-06-21,20342,24766,29190
1,Albania,2020-06-14,2020-06-21,1246,1521,1796
2,Algeria,2020-06-14,2020-06-21,10154,10919,11684
3,Andorra,2020-06-14,2020-06-21,852,853,854
4,Angola,2020-06-14,2020-06-21,91,140,189
5,Antigua and Barbuda,2020-06-14,2020-06-21,26,26,26
6,Argentina,2020-06-14,2020-06-21,22794,31577,40360
7,Armenia,2020-06-14,2020-06-21,13130,16667,20204
8,Australia,2020-06-14,2020-06-21,7265,7335,7405
9,Austria,2020-06-14,2020-06-21,16902,17109,17316
10,Azerbaijan,2020-06-14,2020-06-21,7553,9957,12361
11,Bahamas,2020-06-14,2020-06-21,103,103,103
12,Bahrain,2020-06-14,2020-06-21,14763,18227,21691
13,Bangladesh,2020-06-14,2020-06-21,65769,87520,109271
14,Barbados,2020-06-14,2020-06-21,92,96,100
15,Belarus,2020-06-14,2020-06-21,48630,53973,59316
16,Belgium,2020-06-14,2020-06-21,59226,60029,60832
17,Benin,2020-06-14,2020-06-21,261,442,623
18,Bhutan,2020-06-14,2020-06-21,59,66,73
19,Bolivia,2020-06-14,2020-06-21,13643,18459,23275
20,Bosnia and Herzegovina,2020-06-14,2020-06-21,2606,2893,3180
21,Brazil,2020-06-14,2020-06-21,691758,867624,1043490
22,Brunei,2020-06-14,2020-06-21,141,141,141
23,Bulgaria,2020-06-14,2020-06-21,2727,3290,3853
24,Burkina Faso,2020-06-14,2020-06-21,889,894,899
25,Cabo Verde,2020-06-14,2020-06-21,554,750,946
26,Cambodia,2020-06-14,2020-06-21,126,128,130
27,Cameroon,2020-06-14,2020-06-21,7908,8681,9454
28,Canada,2020-06-14,2020-06-21,97178,100404,103630
29,Central African Republic,2020-06-14,2020-06-21,1634,2057,2480
30,Chad,2020-06-14,2020-06-21,837,850,863
31,Chile,2020-06-14,2020-06-21,134150,174293,214436
32,China,2020-06-14,2020-06-21,84191,84335,84479
33,Colombia,2020-06-14,2020-06-21,38149,48896,59643
34,Congo (Brazzaville),2020-06-14,2020-06-21,683,728,773
35,Congo (Kinshasa),2020-06-14,2020-06-21,4016,4778,5540
36,Costa Rica,2020-06-14,2020-06-21,1318,1715,2112
37,Cote d'Ivoire,2020-06-14,2020-06-21,3739,5084,6429
38,Croatia,2020-06-14,2020-06-21,2247,2252,2257
39,Diamond Princess,2020-06-14,2020-06-21,712,712,712
40,Cuba,2020-06-14,2020-06-21,2191,2248,2305
41,Cyprus,2020-06-14,2020-06-21,964,983,1002
42,Czechia,2020-06-14,2020-06-21,9628,10024,10420
43,Denmark,2020-06-14,2020-06-21,12148,12393,12638
44,Djibouti,2020-06-14,2020-06-21,4207,4465,4723
