,Country,start_date,pre_date,b7_truth,start_truth,pre_cases
0,Afghanistan,2021-01-20,2021-01-27,53584,54278,54972
1,Albania,2021-01-20,2021-01-27,65334,69238,73142
2,Algeria,2021-01-20,2021-01-27,102860,104606,106352
3,Andorra,2021-01-20,2021-01-27,8818,9308,9798
4,Angola,2021-01-20,2021-01-27,18425,19093,19761
5,Antigua and Barbuda,2021-01-20,2021-01-27,176,190,204
6,Argentina,2021-01-20,2021-01-27,1757429,1831681,1905933
7,Armenia,2021-01-20,2021-01-27,163128,165221,167314
8,Australia,2021-01-20,2021-01-27,28660,28749,28838
9,Austria,2021-01-20,2021-01-27,385750,398096,410442
10,Azerbaijan,2021-01-20,2021-01-27,225820,228028,230236
11,Bahamas,2021-01-20,2021-01-27,8011,8075,8139
12,Bahrain,2021-01-20,2021-01-27,96470,98573,100676
13,Bangladesh,2021-01-20,2021-01-27,524910,529687,534464
14,Barbados,2021-01-20,2021-01-27,1007,1156,1305
15,Belarus,2021-01-20,2021-01-27,217696,230494,243292
16,Belgium,2021-01-20,2021-01-27,670249,684256,698263
17,Benin,2021-01-20,2021-01-27,3413,3557,3701
18,Bhutan,2021-01-20,2021-01-27,833,850,867
19,Bolivia,2021-01-20,2021-01-27,178818,193745,208672
20,Bosnia and Herzegovina,2021-01-20,2021-01-27,116668,118717,120766
21,Brazil,2021-01-20,2021-01-27,8256536,8638249,9019962
22,Brunei,2021-01-20,2021-01-27,174,174,174
23,Bulgaria,2021-01-20,2021-01-27,210416,213409,216402
24,Burkina Faso,2021-01-20,2021-01-27,8546,9553,10560
25,Cabo Verde,2021-01-20,2021-01-27,12592,13224,13856
26,Cambodia,2021-01-20,2021-01-27,411,453,495
27,Cameroon,2021-01-20,2021-01-27,27336,28010,28684
28,Canada,2021-01-20,2021-01-27,686211,730330,774449
29,Central African Republic,2021-01-20,2021-01-27,4973,4974,4975
30,Chad,2021-01-20,2021-01-27,2709,3012,3315
31,Chile,2021-01-20,2021-01-27,652525,680740,708955
32,China,2021-01-20,2021-01-27,97275,98544,99813
33,Colombia,2021-01-20,2021-01-27,1831980,1956979,2081978
34,Congo (Brazzaville),2021-01-20,2021-01-27,7160,7709,8258
35,Congo (Kinshasa),2021-01-20,2021-01-27,20003,21302,22601
36,Costa Rica,2021-01-20,2021-01-27,182156,187712,193268
37,Cote d'Ivoire,2021-01-20,2021-01-27,24369,25597,26825
38,Croatia,2021-01-20,2021-01-27,222117,226550,230983
39,Diamond Princess,2021-01-20,2021-01-27,712,712,712
40,Cuba,2021-01-20,2021-01-27,16044,19122,22200
41,Cyprus,2021-01-20,2021-01-27,28124,29472,30820
42,Czechia,2021-01-20,2021-01-27,855600,909131,962662
43,Denmark,2021-01-20,2021-01-27,185835,192187,198539
44,Djibouti,2021-01-20,2021-01-27,5891,5913,5935
45,Dominican Republic,2021-01-20,2021-01-27,186383,198123,209863
46,Ecuador,2021-01-20,2021-01-27,224315,234315,244315
47,Egypt,2021-01-20,2021-01-27,152719,158963,165207
48,El Salvador,2021-01-20,2021-01-27,49539,51437,53335
49,Equatorial Guinea,2021-01-20,2021-01-27,5316,5365,5414
50,Eritrea,2021-01-20,2021-01-27,1596,1910,2224
51,Estonia,2021-01-20,2021-01-27,34991,38544,42097
52,Eswatini,2021-01-20,2021-01-27,12124,13789,15454
53,Ethiopia,2021-01-20,2021-01-27,129455,132034,134613
54,Fiji,2021-01-20,2021-01-27,53,55,57
55,Finland,2021-01-20,2021-01-27,39335,41166,42997
56,France,2021-01-20,2021-01-27,2888292,3023661,3159030
57,Gabon,2021-01-20,2021-01-27,9819,10120,10421
58,Gambia,2021-01-20,2021-01-27,3885,3938,3991
59,Georgia,2021-01-20,2021-01-27,243255,249934,256613
60,Germany,2021-01-20,2021-01-27,1993892,2100618,2207344
61,Ghana,2021-01-20,2021-01-27,56981,58431,59881
62,Greece,2021-01-20,2021-01-27,146688,149973,153258
63,Guatemala,2021-01-20,2021-01-27,145986,151324,156662
64,Guinea,2021-01-20,2021-01-27,14051,14207,14363
65,Guyana,2021-01-20,2021-01-27,6696,7015,7334
66,Haiti,2021-01-20,2021-01-27,10569,10963,11357
67,Holy See,2021-01-20,2021-01-27,27,27,27
68,Honduras,2021-01-20,2021-01-27,131009,136898,142787
69,Hungary,2021-01-20,2021-01-27,345710,354252,362794
70,Iceland,2021-01-20,2021-01-27,5935,5975,6015
71,India,2021-01-20,2021-01-27,10512093,10610883,10709673
72,Indonesia,2021-01-20,2021-01-27,858043,939948,1021853
73,Iran,2021-01-20,2021-01-27,1305339,1348316,1391293
74,Iraq,2021-01-20,2021-01-27,605416,610598,615780
75,Ireland,2021-01-20,2021-01-27,159144,179324,199504
76,Israel,2021-01-20,2021-01-27,520060,575842,631624
77,Italy,2021-01-20,2021-01-27,2319036,2414166,2509296
78,Jamaica,2021-01-20,2021-01-27,13852,14487,15122
79,Japan,2021-01-20,2021-01-27,304140,346508,388876
80,Jordan,2021-01-20,2021-01-27,310968,317405,323842
81,Kazakhstan,2021-01-20,2021-01-27,211901,219527,227153
82,Kenya,2021-01-20,2021-01-27,98555,99444,100333
83,"Korea, South",2021-01-20,2021-01-27,70728,73918,77108
84,Kuwait,2021-01-20,2021-01-27,155874,159264,162654
85,Kyrgyzstan,2021-01-20,2021-01-27,82587,83430,84273
86,Latvia,2021-01-20,2021-01-27,52032,57808,63584
87,Lebanon,2021-01-20,2021-01-27,231936,264647,297358
88,Liberia,2021-01-20,2021-01-27,1877,1901,1925
89,Liechtenstein,2021-01-20,2021-01-27,2370,2405,2440
90,Lithuania,2021-01-20,2021-01-27,163042,172060,181078
91,Luxembourg,2021-01-20,2021-01-27,48372,49204,50036
92,Madagascar,2021-01-20,2021-01-27,18001,18301,18601
93,Malaysia,2021-01-20,2021-01-27,144518,169379,194240
94,Maldives,2021-01-20,2021-01-27,14277,14712,15147
95,Malta,2021-01-20,2021-01-27,14958,16129,17300
96,Mauritania,2021-01-20,2021-01-27,15794,16212,16630
97,Mauritius,2021-01-20,2021-01-27,547,556,565
98,Mexico,2021-01-20,2021-01-27,1571901,1688944,1805987
99,Moldova,2021-01-20,2021-01-27,150946,154118,157290
100,Monaco,2021-01-20,2021-01-27,1128,1262,1396
101,Mongolia,2021-01-20,2021-01-27,1479,1584,1689
102,Montenegro,2021-01-20,2021-01-27,53840,56579,59318
103,Morocco,2021-01-20,2021-01-27,455055,462542,470029
104,Namibia,2021-01-20,2021-01-27,29183,31253,33323
105,Nepal,2021-01-20,2021-01-27,266143,268310,270477
106,Netherlands,2021-01-20,2021-01-27,901740,940106,978472
107,New Zealand,2021-01-20,2021-01-27,2228,2267,2306
108,Nicaragua,2021-01-20,2021-01-27,6152,6204,6256
109,Niger,2021-01-20,2021-01-27,3998,4249,4500
110,Nigeria,2021-01-20,2021-01-27,103999,114691,125383
111,North Macedonia,2021-01-20,2021-01-27,87590,89463,91336
112,Norway,2021-01-20,2021-01-27,57282,59887,62492
113,Oman,2021-01-20,2021-01-27,131086,132317,133548
114,Pakistan,2021-01-20,2021-01-27,511921,527146,542371
115,Panama,2021-01-20,2021-01-27,288408,303777,319146
116,Papua New Guinea,2021-01-20,2021-01-27,833,835,837
117,Paraguay,2021-01-20,2021-01-27,118592,124447,130302
