,Country,start_date,pre_date,b7_truth,start_truth,pre_cases
0,Afghanistan,2020-08-27,2020-09-03,37856,38129,38402
1,Albania,2020-08-27,2020-09-03,7967,9083,10199
2,Algeria,2020-08-27,2020-09-03,40258,43016,45774
3,Andorra,2020-08-27,2020-09-03,1024,1098,1172
4,Angola,2020-08-27,2020-09-03,2044,2415,2786
5,Antigua and Barbuda,2020-08-27,2020-09-03,94,94,94
6,Argentina,2020-08-27,2020-09-03,320884,380292,439700
7,Armenia,2020-08-27,2020-09-03,42319,43270,44221
8,Australia,2020-08-27,2020-09-03,24407,25448,26489
9,Austria,2020-08-27,2020-09-03,24431,26361,28291
10,Azerbaijan,2020-08-27,2020-09-03,34759,35844,36929
11,Bahamas,2020-08-27,2020-09-03,1610,1765,1920
12,Bahrain,2020-08-27,2020-09-03,48303,50756,53209
13,Bangladesh,2020-08-27,2020-09-03,287959,304583,321207
14,Barbados,2020-08-27,2020-09-03,156,165,174
15,Belarus,2020-08-27,2020-09-03,69950,71165,72380
16,Belgium,2020-08-27,2020-09-03,80178,83500,86822
17,Benin,2020-08-27,2020-09-03,2095,2145,2195
18,Bhutan,2020-08-27,2020-09-03,153,184,215
19,Bolivia,2020-08-27,2020-09-03,106065,113129,120193
20,Bosnia and Herzegovina,2020-08-27,2020-09-03,17029,18920,20811
21,Brazil,2020-08-27,2020-09-03,3501975,3761391,4020807
22,Brunei,2020-08-27,2020-09-03,143,144,145
23,Bulgaria,2020-08-27,2020-09-03,14962,15908,16854
24,Burkina Faso,2020-08-27,2020-09-03,1297,1352,1407
25,Cabo Verde,2020-08-27,2020-09-03,3368,3699,4030
26,Cambodia,2020-08-27,2020-09-03,273,273,273
27,Cameroon,2020-08-27,2020-09-03,18762,19142,19522
28,Canada,2020-08-27,2020-09-03,125625,128836,132047
29,Central African Republic,2020-08-27,2020-09-03,4679,4698,4717
30,Chad,2020-08-27,2020-09-03,972,1004,1036
31,Chile,2020-08-27,2020-09-03,391849,404102,416355
32,China,2020-08-27,2020-09-03,89567,89814,90061
33,Colombia,2020-08-27,2020-09-03,513719,581995,650271
34,Congo (Brazzaville),2020-08-27,2020-09-03,3850,3979,4108
35,Congo (Kinshasa),2020-08-27,2020-09-03,9757,9915,10073
36,Costa Rica,2020-08-27,2020-09-03,31075,37292,43509
37,Cote d'Ivoire,2020-08-27,2020-09-03,17249,17702,18155
38,Croatia,2020-08-27,2020-09-03,7329,9192,11055
39,Diamond Princess,2020-08-27,2020-09-03,712,712,712
40,Cuba,2020-08-27,2020-09-03,3565,3806,4047
41,Cyprus,2020-08-27,2020-09-03,1395,1467,1539
42,Czechia,2020-08-27,2020-09-03,21045,23169,25293
43,Denmark,2020-08-27,2020-09-03,16453,17052,17651
44,Djibouti,2020-08-27,2020-09-03,5374,5383,5392
45,Dominican Republic,2020-08-27,2020-09-03,89010,92964,96918
46,Ecuador,2020-08-27,2020-09-03,105508,111219,116930
47,Egypt,2020-08-27,2020-09-03,97025,98062,99099
48,El Salvador,2020-08-27,2020-09-03,23964,25284,26604
49,Equatorial Guinea,2020-08-27,2020-09-03,4892,4928,4964
50,Eritrea,2020-08-27,2020-09-03,306,317,328
51,Estonia,2020-08-27,2020-09-03,2227,2325,2423
52,Eswatini,2020-08-27,2020-09-03,4110,4433,4756
53,Ethiopia,2020-08-27,2020-09-03,35836,46407,56978
54,Fiji,2020-08-27,2020-09-03,28,28,28
55,Finland,2020-08-27,2020-09-03,7842,8019,8196
56,France,2020-08-27,2020-09-03,256534,297485,338436
57,Gabon,2020-08-27,2020-09-03,8319,8468,8617
58,Gambia,2020-08-27,2020-09-03,2401,2743,3085
59,Georgia,2020-08-27,2020-09-03,1370,1447,1524
60,Germany,2020-08-27,2020-09-03,231292,240571,249850
61,Ghana,2020-08-27,2020-09-03,43260,43841,44422
62,Greece,2020-08-27,2020-09-03,7934,9531,11128
63,Guatemala,2020-08-27,2020-09-03,65983,71856,77729
64,Guinea,2020-08-27,2020-09-03,8876,9213,9550
65,Guyana,2020-08-27,2020-09-03,846,1140,1434
66,Haiti,2020-08-27,2020-09-03,7997,8151,8305
67,Holy See,2020-08-27,2020-09-03,12,12,12
68,Honduras,2020-08-27,2020-09-03,52819,57669,62519
69,Hungary,2020-08-27,2020-09-03,5046,5379,5712
70,Iceland,2020-08-27,2020-09-03,2040,2087,2134
71,India,2020-08-27,2020-09-03,2905825,3387500,3869175
72,Indonesia,2020-08-27,2020-09-03,147211,162884,178557
73,Iran,2020-08-27,2020-09-03,352558,367796,383034
74,Iraq,2020-08-27,2020-09-03,192797,219435,246073
75,Ireland,2020-08-27,2020-09-03,27676,28453,29230
76,Israel,2020-08-27,2020-09-03,99599,110403,121207
77,Italy,2020-08-27,2020-09-03,256118,263949,271780
78,Jamaica,2020-08-27,2020-09-03,1290,1870,2450
79,Japan,2020-08-27,2020-09-03,59900,65653,71406
80,Jordan,2020-08-27,2020-09-03,1498,1801,2104
81,Kazakhstan,2020-08-27,2020-09-03,104071,105408,106745
82,Kenya,2020-08-27,2020-09-03,31441,33389,35337
83,"Korea, South",2020-08-27,2020-09-03,16670,19077,21484
84,Kuwait,2020-08-27,2020-09-03,78767,82945,87123
85,Kyrgyzstan,2020-08-27,2020-09-03,42507,43459,44411
86,Latvia,2020-08-27,2020-09-03,1327,1366,1405
87,Lebanon,2020-08-27,2020-09-03,10952,14937,18922
88,Liberia,2020-08-27,2020-09-03,1284,1298,1312
89,Liechtenstein,2020-08-27,2020-09-03,99,105,111
90,Lithuania,2020-08-27,2020-09-03,2528,2762,2996
91,Luxembourg,2020-08-27,2020-09-03,7637,7928,8219
92,Madagascar,2020-08-27,2020-09-03,14154,14592,15030
93,Malaysia,2020-08-27,2020-09-03,9240,9296,9352
94,Maldives,2020-08-27,2020-09-03,6370,7329,8288
95,Malta,2020-08-27,2020-09-03,1510,1788,2066
96,Mauritania,2020-08-27,2020-09-03,6848,6993,7138
97,Mauritius,2020-08-27,2020-09-03,346,355,364
98,Mexico,2020-08-27,2020-09-03,543806,579914,616022
99,Moldova,2020-08-27,2020-09-03,31937,35546,39155
100,Monaco,2020-08-27,2020-09-03,150,154,158
101,Mongolia,2020-08-27,2020-09-03,298,301,304
102,Montenegro,2020-08-27,2020-09-03,4229,4558,4887
103,Morocco,2020-08-27,2020-09-03,47638,57085,66532
104,Namibia,2020-08-27,2020-09-03,4912,6712,8512
105,Nepal,2020-08-27,2020-09-03,29645,35529,41413
106,Netherlands,2020-08-27,2020-09-03,66843,70984,75125
107,New Zealand,2020-08-27,2020-09-03,1665,1714,1763
108,Nicaragua,2020-08-27,2020-09-03,4311,4494,4677
109,Niger,2020-08-27,2020-09-03,1169,1173,1177
110,Nigeria,2020-08-27,2020-09-03,50964,53317,55670
111,North Macedonia,2020-08-27,2020-09-03,13194,14004,14814
112,Norway,2020-08-27,2020-09-03,10197,10542,10887
113,Oman,2020-08-27,2020-09-03,83769,85005,86241
114,Pakistan,2020-08-27,2020-09-03,290958,294638,298318
115,Panama,2020-08-27,2020-09-03,83855,89982,96109
116,Papua New Guinea,2020-08-27,2020-09-03,361,424,487
117,Paraguay,2020-08-27,2020-09-03,11817,15290,18763
118,Peru,2020-08-27,2020-09-03,558420,613378,668336
119,Philippines,2020-08-27,2020-09-03,178022,205581,233140
120,Poland,2020-08-27,2020-09-03,59378,64689,70000
121,Portugal,2020-08-27,2020-09-03,54992,56673,58354
122,Qatar,2020-08-27,2020-09-03,116224,117988,119752
123,Romania,2020-08-27,2020-09-03,74963,83150,91337
124,Russia,2020-08-27,2020-09-03,939833,972972,1006111
125,Rwanda,2020-08-27,2020-09-03,2717,3672,4627
126,Saint Lucia,2020-08-27,2020-09-03,26,26,26
127,Saint Vincent and the Grenadines,2020-08-27,2020-09-03,58,60,62
128,San Marino,2020-08-27,2020-09-03,704,710,716
129,Saudi Arabia,2020-08-27,2020-09-03,303973,311855,319737
130,Senegal,2020-08-27,2020-09-03,12559,13294,14029
131,Serbia,2020-08-27,2020-09-03,30209,31099,31989
132,Seychelles,2020-08-27,2020-09-03,132,136,140
133,Singapore,2020-08-27,2020-09-03,56099,56572,57045
134,Slovakia,2020-08-27,2020-09-03,3102,3626,4150
135,Slovenia,2020-08-27,2020-09-03,2536,2755,2974
136,Somalia,2020-08-27,2020-09-03,3265,3275,3285
137,South Africa,2020-08-27,2020-09-03,599940,618286,636632
138,Spain,2020-08-27,2020-09-03,377906,429507,481108
139,Sri Lanka,2020-08-27,2020-09-03,2918,2986,3054
140,Sudan,2020-08-27,2020-09-03,12582,13045,13508
141,Suriname,2020-08-27,2020-09-03,3366,3793,4220
142,Sweden,2020-08-27,2020-09-03,85810,83898,81986
143,Switzerland,2020-08-27,2020-09-03,39026,41006,42986
144,Tanzania,2020-08-27,2020-09-03,509,509,509
145,Thailand,2020-08-27,2020-09-03,3389,3410,3431
146,Togo,2020-08-27,2020-09-03,1212,1326,1440
147,Trinidad and Tobago,2020-08-27,2020-09-03,767,1429,2091
148,Tunisia,2020-08-27,2020-09-03,2543,3323,4103
149,Turkey,2020-08-27,2020-09-03,254520,263998,273476
150,Uganda,2020-08-27,2020-09-03,1750,2679,3608
151,Ukraine,2020-08-27,2020-09-03,100810,114663,128516
152,United Arab Emirates,2020-08-27,2020-09-03,65802,68511,71220
153,United Kingdom,2020-08-27,2020-09-03,324203,332509,340815
154,Uruguay,2020-08-27,2020-09-03,1506,1551,1596
155,US,2020-08-27,2020-09-03,5573847,5867785,6161723
156,Uzbekistan,2020-08-27,2020-09-03,37547,40447,43347
157,Venezuela,2020-08-27,2020-09-03,37567,42898,48229
158,Vietnam,2020-08-27,2020-09-03,1007,1036,1065
159,Zambia,2020-08-27,2020-09-03,10372,11601,12830
160,Zimbabwe,2020-08-27,2020-09-03,5745,6292,6839
161,Dominica,2020-08-27,2020-09-03,18,20,22
162,Grenada,2020-08-27,2020-09-03,24,24,24
163,Mozambique,2020-08-27,2020-09-03,3115,3651,4187
164,Syria,2020-08-27,2020-09-03,2008,2504,3000
165,Timor-Leste,2020-08-27,2020-09-03,25,27,29
166,Belize,2020-08-27,2020-09-03,605,818,1031
167,Laos,2020-08-27,2020-09-03,22,22,22
168,Libya,2020-08-27,2020-09-03,9707,12274,14841
169,West Bank and Gaza,2020-08-27,2020-09-03,17989,20677,23365
170,Guinea-Bissau,2020-08-27,2020-09-03,2149,2205,2261
171,Mali,2020-08-27,2020-09-03,2667,2730,2793
172,Saint Kitts and Nevis,2020-08-27,2020-09-03,17,17,17
173,Kosovo,2020-08-27,2020-09-03,11545,12683,13821
174,Burma,2020-08-27,2020-09-03,399,602,805
175,MS Zaandam,2020-08-27,2020-09-03,9,9,9
176,Botswana,2020-08-27,2020-09-03,1308,1562,1816
177,Burundi,2020-08-27,2020-09-03,422,431,440
178,Sierra Leone,2020-08-27,2020-09-03,1969,2013,2057
