,Country,start_date,pre_date,b7_truth,start_truth,pre_cases
0,Afghanistan,2020-08-13,2020-08-20,36896,37424,37952
1,Albania,2020-08-13,2020-08-20,6016,6971,7926
2,Algeria,2020-08-13,2020-08-20,33626,37187,40748
3,Andorra,2020-08-13,2020-08-20,944,981,1018
4,Angola,2020-08-13,2020-08-20,1483,1815,2147
5,Antigua and Barbuda,2020-08-13,2020-08-20,92,92,92
6,Argentina,2020-08-13,2020-08-20,228195,276072,323949
7,Armenia,2020-08-13,2020-08-20,39819,41023,42227
8,Australia,2020-08-13,2020-08-20,20272,22742,25212
9,Austria,2020-08-13,2020-08-20,21696,22594,23492
10,Azerbaijan,2020-08-13,2020-08-20,33247,33915,34583
11,Bahamas,2020-08-13,2020-08-20,761,1089,1417
12,Bahrain,2020-08-13,2020-08-20,42889,45726,48563
13,Bangladesh,2020-08-13,2020-08-20,249651,269115,288579
14,Barbados,2020-08-13,2020-08-20,133,144,155
15,Belarus,2020-08-13,2020-08-20,68503,69203,69903
16,Belgium,2020-08-13,2020-08-20,72016,76191,80366
17,Benin,2020-08-13,2020-08-20,1936,2014,2092
18,Bhutan,2020-08-13,2020-08-20,108,128,148
19,Bolivia,2020-08-13,2020-08-20,86423,96459,106495
20,Bosnia and Herzegovina,2020-08-13,2020-08-20,13396,15184,16972
21,Brazil,2020-08-13,2020-08-20,2912212,3224876,3537540
22,Brunei,2020-08-13,2020-08-20,141,142,143
23,Bulgaria,2020-08-13,2020-08-20,13014,13893,14772
24,Burkina Faso,2020-08-13,2020-08-20,1158,1228,1298
25,Cabo Verde,2020-08-13,2020-08-20,2734,3073,3412
26,Cambodia,2020-08-13,2020-08-20,243,273,303
27,Cameroon,2020-08-13,2020-08-20,17718,18308,18898
28,Canada,2020-08-13,2020-08-20,120387,123180,125973
29,Central African Republic,2020-08-13,2020-08-20,4620,4652,4684
30,Chad,2020-08-13,2020-08-20,942,949,956
31,Chile,2020-08-13,2020-08-20,366671,380034,393397
32,China,2020-08-13,2020-08-20,88460,89144,89828
33,Colombia,2020-08-13,2020-08-20,357710,433805,509900
34,Congo (Brazzaville),2020-08-13,2020-08-20,3546,3745,3944
35,Congo (Kinshasa),2020-08-13,2020-08-20,9309,9589,9869
