,Country,start_date,pre_date,b7_truth,start_truth,pre_cases
0,Afghanistan,2021-01-13,2021-01-20,53105,53584,54063
1,Albania,2021-01-13,2021-01-20,61008,65334,69660
2,Algeria,2021-01-13,2021-01-20,101120,102860,104600
3,Andorra,2021-01-13,2021-01-20,8348,8818,9288
4,Angola,2021-01-13,2021-01-20,17864,18425,18986
5,Antigua and Barbuda,2021-01-13,2021-01-20,163,176,189
6,Argentina,2021-01-13,2021-01-20,1676171,1757429,1838687
7,Armenia,2021-01-13,2021-01-20,160853,163128,165403
8,Australia,2021-01-13,2021-01-20,28546,28660,28774
9,Austria,2021-01-13,2021-01-20,372190,385750,399310
10,Azerbaijan,2021-01-13,2021-01-20,222200,225820,229440
11,Bahamas,2021-01-13,2021-01-20,7945,8011,8077
12,Bahrain,2021-01-13,2021-01-20,94284,96470,98656
13,Bangladesh,2021-01-13,2021-01-20,518898,524910,530922
14,Barbados,2021-01-13,2021-01-20,743,1007,1271
15,Belarus,2021-01-13,2021-01-20,204958,217696,230434
16,Belgium,2021-01-13,2021-01-20,655732,670249,684766
17,Benin,2021-01-13,2021-01-20,3304,3413,3522
18,Bhutan,2021-01-13,2021-01-20,755,833,911
19,Bolivia,2021-01-13,2021-01-20,166981,178818,190655
20,Bosnia and Herzegovina,2021-01-13,2021-01-20,113392,116668,119944
21,Brazil,2021-01-13,2021-01-20,7873830,8256536,8639242
22,Brunei,2021-01-13,2021-01-20,172,174,176
23,Bulgaria,2021-01-13,2021-01-20,206392,210416,214440
24,Burkina Faso,2021-01-13,2021-01-20,7563,8546,9529
25,Cabo Verde,2021-01-13,2021-01-20,12052,12592,13132
26,Cambodia,2021-01-13,2021-01-20,385,411,437
27,Cameroon,2021-01-13,2021-01-20,26848,27336,27824
28,Canada,2021-01-13,2021-01-20,631466,686211,740956
29,Central African Republic,2021-01-13,2021-01-20,4963,4973,4983
30,Chad,2021-01-13,2021-01-20,2328,2709,3090
31,Chile,2021-01-13,2021-01-20,625483,652525,679567
32,China,2021-01-13,2021-01-20,96398,97275,98152
33,Colombia,2021-01-13,2021-01-20,1719771,1831980,1944189
