,Country,start_date,pre_date,b7_truth,start_truth,pre_cases
0,Afghanistan,2020-12-24,2020-12-31,49378,50655,51932
1,Albania,2020-12-24,2020-12-31,51424,54827,58230
2,Algeria,2020-12-24,2020-12-31,93933,97007,100081
3,Andorra,2020-12-24,2020-12-31,7466,7699,7932
4,Angola,2020-12-24,2020-12-31,16484,17029,17574
5,Antigua and Barbuda,2020-12-24,2020-12-31,151,154,157
6,Argentina,2020-12-24,2020-12-31,1524372,1563865,1603358
7,Armenia,2020-12-24,2020-12-31,151392,156142,160892
8,Australia,2020-12-24,2020-12-31,28093,28274,28455
9,Austria,2020-12-24,2020-12-31,332828,347204,361580
10,Azerbaijan,2020-12-24,2020-12-31,191460,210061,228662
11,Bahamas,2020-12-24,2020-12-31,7725,7788,7851
12,Bahrain,2020-12-24,2020-12-31,89743,91070,92397
13,Bangladesh,2020-12-24,2020-12-31,496975,506102,515229
14,Barbados,2020-12-24,2020-12-31,305,345,385
15,Belarus,2020-12-24,2020-12-31,167731,181113,194495
16,Belgium,2020-12-24,2020-12-31,618204,634904,651604
17,Benin,2020-12-24,2020-12-31,3152,3205,3258
18,Bhutan,2020-12-24,2020-12-31,440,519,598
19,Bolivia,2020-12-24,2020-12-31,148665,153121,157577
20,Bosnia and Herzegovina,2020-12-24,2020-12-31,104087,108298,112509
21,Brazil,2020-12-24,2020-12-31,7110434,7423945,7737456
22,Brunei,2020-12-24,2020-12-31,152,152,152
23,Bulgaria,2020-12-24,2020-12-31,188288,196658,205028
24,Burkina Faso,2020-12-24,2020-12-31,4611,5941,7271
25,Cabo Verde,2020-12-24,2020-12-31,11502,11688,11874
26,Cambodia,2020-12-24,2020-12-31,362,363,364
27,Cameroon,2020-12-24,2020-12-31,25472,26277,27082
28,Canada,2020-12-24,2020-12-31,492582,538183,583784
29,Central African Republic,2020-12-24,2020-12-31,4936,4948,4960
30,Chad,2020-12-24,2020-12-31,1818,1958,2098
31,Chile,2020-12-24,2020-12-31,578732,594152,609572
32,China,2020-12-24,2020-12-31,94734,95383,96032
33,Colombia,2020-12-24,2020-12-31,1468795,1559766,1650737
34,Congo (Brazzaville),2020-12-24,2020-12-31,6200,6571,6942
35,Congo (Kinshasa),2020-12-24,2020-12-31,15089,16282,17475
36,Costa Rica,2020-12-24,2020-12-31,156388,162990,169592
37,Cote d'Ivoire,2020-12-24,2020-12-31,21772,22071,22370
38,Croatia,2020-12-24,2020-12-31,186963,202319,217675
39,Diamond Princess,2020-12-24,2020-12-31,712,712,712
40,Cuba,2020-12-24,2020-12-31,9771,10717,11663
41,Cyprus,2020-12-24,2020-12-31,16190,19316,22442
42,Czechia,2020-12-24,2020-12-31,602404,660461,718518
43,Denmark,2020-12-24,2020-12-31,124366,146927,169488
44,Djibouti,2020-12-24,2020-12-31,5770,5800,5830
45,Dominican Republic,2020-12-24,2020-12-31,157305,163654,170003
46,Ecuador,2020-12-24,2020-12-31,204249,208010,211771
47,Egypt,2020-12-24,2020-12-31,123701,128993,134285
48,El Salvador,2020-12-24,2020-12-31,42397,44619,46841
49,Equatorial Guinea,2020-12-24,2020-12-31,5214,5236,5258
50,Eritrea,2020-12-24,2020-12-31,741,951,1161
51,Estonia,2020-12-24,2020-12-31,20004,24009,28014
52,Eswatini,2020-12-24,2020-12-31,7093,8032,8971
53,Ethiopia,2020-12-24,2020-12-31,118481,121399,124317
54,Fiji,2020-12-24,2020-12-31,46,46,46
55,Finland,2020-12-24,2020-12-31,32228,34447,36666
56,France,2020-12-24,2020-12-31,2483524,2584333,2685142
57,Gabon,2020-12-24,2020-12-31,9373,9469,9565
58,Gambia,2020-12-24,2020-12-31,3786,3791,3796
59,Georgia,2020-12-24,2020-12-31,201368,216843,232318
60,Germany,2020-12-24,2020-12-31,1454009,1630596,1807183
61,Ghana,2020-12-24,2020-12-31,53553,54043,54533
62,Greece,2020-12-24,2020-12-31,128710,134235,139760
63,Guatemala,2020-12-24,2020-12-31,131435,134894,138353
64,Guinea,2020-12-24,2020-12-31,13485,13630,13775
65,Guyana,2020-12-24,2020-12-31,6042,6266,6490
66,Haiti,2020-12-24,2020-12-31,9627,9805,9983
67,Holy See,2020-12-24,2020-12-31,27,27,27
68,Honduras,2020-12-24,2020-12-31,115474,118036,120598
69,Hungary,2020-12-24,2020-12-31,291549,311554,331559
70,Iceland,2020-12-24,2020-12-31,5588,5683,5778
71,India,2020-12-24,2020-12-31,9979447,10146845,10314243
72,Indonesia,2020-12-24,2020-12-31,643508,692838,742168
73,Iran,2020-12-24,2020-12-31,1138530,1183182,1227834
74,Iraq,2020-12-24,2020-12-31,580449,588803,597157
75,Ireland,2020-12-24,2020-12-31,77678,83073,88468
76,Israel,2020-12-24,2020-12-31,367975,389678,411381
77,Italy,2020-12-24,2020-12-31,1906377,2009317,2112257
78,Jamaica,2020-12-24,2020-12-31,11968,12519,13070
79,Japan,2020-12-24,2020-12-31,190950,210769,230588
80,Jordan,2020-12-24,2020-12-31,269806,283690,297574
81,Kazakhstan,2020-12-24,2020-12-31,189551,194993,200435
82,Kenya,2020-12-24,2020-12-31,93405,95431,97457
83,"Korea, South",2020-12-24,2020-12-31,47515,54770,62025
84,Kuwait,2020-12-24,2020-12-31,147192,149017,150842
85,Kyrgyzstan,2020-12-24,2020-12-31,78415,79845,81275
86,Latvia,2020-12-24,2020-12-31,28535,34754,40973
87,Lebanon,2020-12-24,2020-12-31,153049,165933,178817
88,Liberia,2020-12-24,2020-12-31,1779,1779,1779
89,Liechtenstein,2020-12-24,2020-12-31,1635,1920,2205
90,Lithuania,2020-12-24,2020-12-31,103028,123889,144750
91,Luxembourg,2020-12-24,2020-12-31,43279,45209,47139
92,Madagascar,2020-12-24,2020-12-31,17587,17633,17679
93,Malaysia,2020-12-24,2020-12-31,89133,100318,111503
94,Maldives,2020-12-24,2020-12-31,13418,13558,13698
95,Malta,2020-12-24,2020-12-31,11475,12062,12649
96,Mauritania,2020-12-24,2020-12-31,11805,13118,14431
97,Mauritius,2020-12-24,2020-12-31,524,527,530
98,Mexico,2020-12-24,2020-12-31,1289298,1362564,1435830
99,Moldova,2020-12-24,2020-12-31,131919,139435,146951
100,Monaco,2020-12-24,2020-12-31,700,783,866
101,Mongolia,2020-12-24,2020-12-31,941,1075,1209
102,Montenegro,2020-12-24,2020-12-31,42995,45423,47851
103,Morocco,2020-12-24,2020-12-31,409746,425864,441982
104,Namibia,2020-12-24,2020-12-31,17607,20579,23551
105,Nepal,2020-12-24,2020-12-31,251692,256592,261492
106,Netherlands,2020-12-24,2020-12-31,662943,743493,824043
107,New Zealand,2020-12-24,2020-12-31,2110,2128,2146
108,Nicaragua,2020-12-24,2020-12-31,5938,5991,6044
109,Niger,2020-12-24,2020-12-31,2506,2933,3360
110,Nigeria,2020-12-24,2020-12-31,76207,81963,87719
111,North Macedonia,2020-12-24,2020-12-31,76251,80407,84563
112,Norway,2020-12-24,2020-12-31,42776,45931,49086
113,Oman,2020-12-24,2020-12-31,127019,128290,129561
114,Pakistan,2020-12-24,2020-12-31,451494,467222,482950
115,Panama,2020-12-24,2020-12-31,203295,223674,244053
116,Papua New Guinea,2020-12-24,2020-12-31,760,780,800
117,Paraguay,2020-12-24,2020-12-31,97028,103329,109630
118,Peru,2020-12-24,2020-12-31,989457,1000153,1010849
119,Philippines,2020-12-24,2020-12-31,454447,465724,477001
120,Poland,2020-12-24,2020-12-31,1171854,1239998,1308142
121,Portugal,2020-12-24,2020-12-31,362616,387636,412656
122,Qatar,2020-12-24,2020-12-31,141557,142605,143653
123,Romania,2020-12-24,2020-12-31,577446,608561,639676
124,Russia,2020-12-24,2020-12-31,2736727,2934695,3132663
125,Rwanda,2020-12-24,2020-12-31,7032,7670,8308
126,Saint Lucia,2020-12-24,2020-12-31,279,305,331
127,Saint Vincent and the Grenadines,2020-12-24,2020-12-31,100,108,116
128,San Marino,2020-12-24,2020-12-31,2049,2231,2413
129,Saudi Arabia,2020-12-24,2020-12-31,360516,361725,362934
130,Senegal,2020-12-24,2020-12-31,17451,18200,18949
131,Serbia,2020-12-24,2020-12-31,287730,316344,344958
132,Seychelles,2020-12-24,2020-12-31,202,205,208
133,Singapore,2020-12-24,2020-12-31,58377,58495,58613
134,Slovakia,2020-12-24,2020-12-31,142133,161562,180991
135,Slovenia,2020-12-24,2020-12-31,102043,112021,121999
136,Somalia,2020-12-24,2020-12-31,4662,4690,4718
137,South Africa,2020-12-24,2020-12-31,892813,968563,1044313
138,Spain,2020-12-24,2020-12-31,1785421,1854951,1924481
139,Sri Lanka,2020-12-24,2020-12-31,35387,39231,43075
140,Sudan,2020-12-24,2020-12-31,22265,23316,24367
141,Suriname,2020-12-24,2020-12-31,5428,5810,6192
142,Sweden,2020-12-24,2020-12-31,357466,396048,434630
