,Country,start_date,pre_date,b7_truth,start_truth,pre_cases
0,Afghanistan,2021-01-19,2021-01-26,53584,54141,54698
1,Albania,2021-01-19,2021-01-26,64627,68568,72509
2,Algeria,2021-01-19,2021-01-26,102641,104341,106041
3,Andorra,2021-01-19,2021-01-26,8682,9194,9706
4,Angola,2021-01-19,2021-01-26,18343,19011,19679
5,Antigua and Barbuda,2021-01-19,2021-01-26,176,190,204
6,Argentina,2021-01-19,2021-01-26,1744704,1819569,1894434
7,Armenia,2021-01-19,2021-01-26,162643,164912,167181
8,Australia,2021-01-19,2021-01-26,28650,28740,28830
9,Austria,2021-01-19,2021-01-26,383833,396425,409017
10,Azerbaijan,2021-01-19,2021-01-26,225346,227696,230046
11,Bahamas,2021-01-19,2021-01-26,8004,8068,8132
12,Bahrain,2021-01-19,2021-01-26,96195,98260,100325
13,Bangladesh,2021-01-19,2021-01-26,524020,529031,534042
14,Barbados,2021-01-19,2021-01-26,968,1095,1222
15,Belarus,2021-01-19,2021-01-26,215724,228716,241708
16,Belgium,2021-01-19,2021-01-26,667322,681250,695178
17,Benin,2021-01-19,2021-01-26,3363,3413,3463
18,Bhutan,2021-01-19,2021-01-26,831,848,865
19,Bolivia,2021-01-19,2021-01-26,176761,191090,205419
20,Bosnia and Herzegovina,2021-01-19,2021-01-26,116200,118383,120566
21,Brazil,2021-01-19,2021-01-26,8195637,8573864,8952091
22,Brunei,2021-01-19,2021-01-26,174,174,174
23,Bulgaria,2021-01-19,2021-01-26,209881,212927,215973
24,Burkina Faso,2021-01-19,2021-01-26,8463,9352,10241
25,Cabo Verde,2021-01-19,2021-01-26,12506,13139,13772
26,Cambodia,2021-01-19,2021-01-26,398,448,498
27,Cameroon,2021-01-19,2021-01-26,27336,28010,28684
28,Canada,2021-01-19,2021-01-26,679072,724629,770186
29,Central African Republic,2021-01-19,2021-01-26,4973,4973,4973
30,Chad,2021-01-19,2021-01-26,2668,2977,3286
31,Chile,2021-01-19,2021-01-26,649135,677151,705167
32,China,2021-01-19,2021-01-26,97095,98323,99551
33,Colombia,2021-01-19,2021-01-26,1816082,1939071,2062060
34,Congo (Brazzaville),2021-01-19,2021-01-26,7160,7709,8258
35,Congo (Kinshasa),2021-01-19,2021-01-26,19707,21140,22573
36,Costa Rica,2021-01-19,2021-01-26,181093,186877,192661
37,Cote d'Ivoire,2021-01-19,2021-01-26,24186,25383,26580
38,Croatia,2021-01-19,2021-01-26,220982,225648,230314
39,Diamond Princess,2021-01-19,2021-01-26,712,712,712
40,Cuba,2021-01-19,2021-01-26,15494,18773,22052
41,Cyprus,2021-01-19,2021-01-26,27897,29294,30691
42,Czechia,2021-01-19,2021-01-26,844799,899503,954207
43,Denmark,2021-01-19,2021-01-26,184476,191299,198122
44,Djibouti,2021-01-19,2021-01-26,5879,5910,5941
45,Dominican Republic,2021-01-19,2021-01-26,184788,196591,208394
46,Ecuador,2021-01-19,2021-01-26,222567,232568,242569
47,Egypt,2021-01-19,2021-01-26,151723,158174,164625
48,El Salvador,2021-01-19,2021-01-26,49539,51437,53335
49,Equatorial Guinea,2021-01-19,2021-01-26,5296,5365,5434
50,Eritrea,2021-01-19,2021-01-26,1596,1877,2158
51,Estonia,2021-01-19,2021-01-26,34138,37941,41744
52,Eswatini,2021-01-19,2021-01-26,11919,13443,14967
53,Ethiopia,2021-01-19,2021-01-26,128992,131727,134462
54,Fiji,2021-01-19,2021-01-26,53,55,57
55,Finland,2021-01-19,2021-01-26,39011,40722,42433
56,France,2021-01-19,2021-01-26,2864360,2996784,3129208
57,Gabon,2021-01-19,2021-01-26,9740,10019,10298
58,Gambia,2021-01-19,2021-01-26,3876,3938,4000
59,Georgia,2021-01-19,2021-01-26,241637,249465,257293
60,Germany,2021-01-19,2021-01-26,1968326,2071615,2174904
61,Ghana,2021-01-19,2021-01-26,56421,58431,60441
62,Greece,2021-01-19,2021-01-26,146020,149462,152904
63,Guatemala,2021-01-19,2021-01-26,144982,150277,155572
64,Guinea,2021-01-19,2021-01-26,14025,14207,14389
65,Guyana,2021-01-19,2021-01-26,6653,6950,7247
66,Haiti,2021-01-19,2021-01-26,10415,10907,11399
67,Holy See,2021-01-19,2021-01-26,27,27,27
68,Honduras,2021-01-19,2021-01-26,129805,136068,142331
69,Hungary,2021-01-19,2021-01-26,344352,353276,362200
70,Iceland,2021-01-19,2021-01-26,5912,5970,6028
71,India,2021-01-19,2021-01-26,10495147,10595639,10696131
72,Indonesia,2021-01-19,2021-01-26,846765,927380,1007995
73,Iran,2021-01-19,2021-01-26,1299022,1342134,1385246
74,Iraq,2021-01-19,2021-01-26,604549,609852,615155
75,Ireland,2021-01-19,2021-01-26,155591,176839,198087
76,Israel,2021-01-19,2021-01-26,510063,565629,621195
77,Italy,2021-01-19,2021-01-26,2303263,2400598,2497933
78,Jamaica,2021-01-19,2021-01-26,13760,14419,15078
79,Japan,2021-01-19,2021-01-26,298321,340989,383657
80,Jordan,2021-01-19,2021-01-26,309846,316427,323008
81,Kazakhstan,2021-01-19,2021-01-26,210976,218216,225456
82,Kenya,2021-01-19,2021-01-26,98432,99308,100184
83,"Korea, South",2021-01-19,2021-01-26,70212,73518,76824
84,Kuwait,2021-01-19,2021-01-26,155335,158822,162309
85,Kyrgyzstan,2021-01-19,2021-01-26,82587,83430,84273
86,Latvia,2021-01-19,2021-01-26,50777,56720,62663
87,Lebanon,2021-01-19,2021-01-26,226948,260315,293682
88,Liberia,2021-01-19,2021-01-26,1876,1898,1920
89,Liechtenstein,2021-01-19,2021-01-26,2355,2398,2441
90,Lithuania,2021-01-19,2021-01-26,161348,168708,176068
91,Luxembourg,2021-01-19,2021-01-26,48181,48975,49769
92,Madagascar,2021-01-19,2021-01-26,18001,18301,18601
93,Malaysia,2021-01-19,2021-01-26,141533,165371,189209
94,Maldives,2021-01-19,2021-01-26,14218,14633,15048
95,Malta,2021-01-19,2021-01-26,14769,15942,17115
96,Mauritania,2021-01-19,2021-01-26,15707,16147,16587
97,Mauritius,2021-01-19,2021-01-26,546,556,566
98,Mexico,2021-01-19,2021-01-26,1556028,1668396,1780764
99,Moldova,2021-01-19,2021-01-26,150138,153506,156874
100,Monaco,2021-01-19,2021-01-26,1092,1240,1388
101,Mongolia,2021-01-19,2021-01-26,1469,1568,1667
102,Montenegro,2021-01-19,2021-01-26,53338,56228,59118
103,Morocco,2021-01-19,2021-01-26,453789,461390,468991
104,Namibia,2021-01-19,2021-01-26,28871,30995,33119
105,Nepal,2021-01-19,2021-01-26,265698,267992,270286
106,Netherlands,2021-01-19,2021-01-26,895543,934503,973463
107,New Zealand,2021-01-19,2021-01-26,2228,2267,2306
108,Nicaragua,2021-01-19,2021-01-26,6152,6204,6256
109,Niger,2021-01-19,2021-01-26,3969,4225,4481
110,Nigeria,2021-01-19,2021-01-26,102601,113305,124009
111,North Macedonia,2021-01-19,2021-01-26,87117,89392,91667
112,Norway,2021-01-19,2021-01-26,56615,59456,62297
113,Oman,2021-01-19,2021-01-26,130944,132146,133348
114,Pakistan,2021-01-19,2021-01-26,508824,524783,540742
115,Panama,2021-01-19,2021-01-26,285093,301534,317975
116,Papua New Guinea,2021-01-19,2021-01-26,823,834,845
117,Paraguay,2021-01-19,2021-01-26,117590,123359,129128
118,Peru,2021-01-19,2021-01-26,1037350,1060567,1083784
119,Philippines,2021-01-19,2021-01-26,491258,504084,516910
120,Poland,2021-01-19,2021-01-26,1395779,1443804,1491829
121,Portugal,2021-01-19,2021-01-26,496552,566958,637364
122,Qatar,2021-01-19,2021-01-26,146279,147729,149179
123,Romania,2021-01-19,2021-01-26,676968,697898,718828
124,Russia,2021-01-19,2021-01-26,3412390,3574330,3736270
125,Rwanda,2021-01-19,2021-01-26,9950,11548,13146
126,Saint Lucia,2021-01-19,2021-01-26,490,656,822
127,Saint Vincent and the Grenadines,2021-01-19,2021-01-26,284,602,920
128,San Marino,2021-01-19,2021-01-26,2706,2803,2900
129,Saudi Arabia,2021-01-19,2021-01-26,364096,365325,366554
130,Senegal,2021-01-19,2021-01-26,21685,23392,25099
131,Serbia,2021-01-19,2021-01-26,363924,375799,387674
132,Seychelles,2021-01-19,2021-01-26,601,746,891
133,Singapore,2021-01-19,2021-01-26,58946,59157,59368
134,Slovakia,2021-01-19,2021-01-26,211479,226294,241109
135,Slovenia,2021-01-19,2021-01-26,141587,151137,160687
136,Somalia,2021-01-19,2021-01-26,4726,4744,4762
137,South Africa,2021-01-19,2021-01-26,1259748,1356716,1453684
138,Spain,2021-01-19,2021-01-26,2137220,2370742,2604264
139,Sri Lanka,2021-01-19,2021-01-26,49537,54419,59301
140,Sudan,2021-01-19,2021-01-26,23316,26279,29242
141,Suriname,2021-01-19,2021-01-26,7178,7709,8240
142,Sweden,2021-01-19,2021-01-26,506866,533265,559664
143,Switzerland,2021-01-19,2021-01-26,487357,502191,517025
144,Tanzania,2021-01-19,2021-01-26,509,509,509
145,Thailand,2021-01-19,2021-01-26,10991,12653,14315
146,Togo,2021-01-19,2021-01-26,4045,4383,4721
147,Trinidad and Tobago,2021-01-19,2021-01-26,7286,7415,7544
148,Tunisia,2021-01-19,2021-01-26,164936,184483,204030
149,Turkey,2021-01-19,2021-01-26,2346285,2399781,2453277
150,Uganda,2021-01-19,2021-01-26,37948,38534,39120
151,Ukraine,2021-01-19,2021-01-26,1160243,1206125,1252007
152,United Arab Emirates,2021-01-19,2021-01-26,236225,260223,284221
153,United Kingdom,2021-01-19,2021-01-26,3173291,3476804,3780317
154,Uruguay,2021-01-19,2021-01-26,27846,33446,39046
155,US,2021-01-19,2021-01-26,22848794,24253361,25657928
156,Uzbekistan,2021-01-19,2021-01-26,77663,78091,78519
157,Venezuela,2021-01-19,2021-01-26,117299,121117,124935
158,Vietnam,2021-01-19,2021-01-26,1520,1540,1560
159,Zambia,2021-01-19,2021-01-26,29757,39515,49273
160,Zimbabwe,2021-01-19,2021-01-26,23239,28675,34111
161,Dominica,2021-01-19,2021-01-26,109,110,111
162,Grenada,2021-01-19,2021-01-26,132,139,146
163,Mozambique,2021-01-19,2021-01-26,22996,28270,33544
164,Syria,2021-01-19,2021-01-26,12558,13224,13890
165,Timor-Leste,2021-01-19,2021-01-26,49,52,55
166,Belize,2021-01-19,2021-01-26,11366,11615,11864
167,Laos,2021-01-19,2021-01-26,41,41,41
168,Libya,2021-01-19,2021-01-26,106030,110465,114900
169,West Bank and Gaza,2021-01-19,2021-01-26,148968,153093,157218
170,Guinea-Bissau,2021-01-19,2021-01-26,2478,2510,2542
171,Mali,2021-01-19,2021-01-26,7687,7880,8073
172,Saint Kitts and Nevis,2021-01-19,2021-01-26,34,35,36
173,Kosovo,2021-01-19,2021-01-26,54261,56118,57975
174,Burma,2021-01-19,2021-01-26,131737,135243,138749
175,MS Zaandam,2021-01-19,2021-01-26,9,9,9
176,Botswana,2021-01-19,2021-01-26,16768,18630,20492
177,Burundi,2021-01-19,2021-01-26,1019,1253,1487
178,Sierra Leone,2021-01-19,2021-01-26,2864,3030,3196
179,Malawi,2021-01-19,2021-01-26,9027,13880,18733
180,South Sudan,2021-01-19,2021-01-26,3670,3762,3854
181,Western Sahara,2021-01-19,2021-01-26,0,0,0
182,Sao Tome and Principe,2021-01-19,2021-01-26,1090,1151,1212
183,Yemen,2021-01-19,2021-01-26,2107,2115,2123
