,Country,start_date,pre_date,b7_truth,start_truth,pre_cases
0,Afghanistan,2020-08-02,2020-08-09,36157,36710,37263
1,Albania,2020-08-02,2020-08-09,4763,5519,6275
2,Algeria,2020-08-02,2020-08-09,27357,31465,35573
3,Andorra,2020-08-02,2020-08-09,897,925,953
4,Angola,2020-08-02,2020-08-09,932,1199,1466
5,Antigua and Barbuda,2020-08-02,2020-08-09,82,91,100
6,Argentina,2020-08-02,2020-08-09,162526,201919,241312
7,Armenia,2020-08-02,2020-08-09,37317,39050,40783
8,Australia,2020-08-02,2020-08-09,14935,17938,20941
9,Austria,2020-08-02,2020-08-09,20472,21304,22136
10,Azerbaijan,2020-08-02,2020-08-09,30050,32443,34836
11,Bahamas,2020-08-02,2020-08-09,342,648,954
12,Bahrain,2020-08-02,2020-08-09,39131,41536,43941
13,Bangladesh,2020-08-02,2020-08-09,223453,240746,258039
14,Barbados,2020-08-02,2020-08-09,110,132,154
15,Belarus,2020-08-02,2020-08-09,67132,68067,69002
16,Belgium,2020-08-02,2020-08-09,66026,69849,73672
17,Benin,2020-08-02,2020-08-09,1770,1805,1840
18,Bhutan,2020-08-02,2020-08-09,95,102,109
19,Bolivia,2020-08-02,2020-08-09,69429,80153,90877
20,Bosnia and Herzegovina,2020-08-02,2020-08-09,9767,12296,14825
21,Brazil,2020-08-02,2020-08-09,2419091,2733677,3048263
22,Brunei,2020-08-02,2020-08-09,141,141,141
23,Bulgaria,2020-08-02,2020-08-09,10427,11955,13483
24,Burkina Faso,2020-08-02,2020-08-09,1086,1143,1200
25,Cabo Verde,2020-08-02,2020-08-09,2307,2547,2787
26,Cambodia,2020-08-02,2020-08-09,225,240,255
27,Cameroon,2020-08-02,2020-08-09,16708,17255,17802
28,Canada,2020-08-02,2020-08-09,115789,118768,121747
29,Central African Republic,2020-08-02,2020-08-09,4599,4614,4629
30,Chad,2020-08-02,2020-08-09,915,936,957
31,Chile,2020-08-02,2020-08-09,345790,359731,373672
32,China,2020-08-02,2020-08-09,86570,87985,89400
33,Colombia,2020-08-02,2020-08-09,240795,317651,394507
34,Congo (Brazzaville),2020-08-02,2020-08-09,3038,3200,3362
35,Congo (Kinshasa),2020-08-02,2020-08-09,8831,9115,9399
36,Costa Rica,2020-08-02,2020-08-09,15229,18975,22721
37,Cote d'Ivoire,2020-08-02,2020-08-09,15596,16182,16768
38,Croatia,2020-08-02,2020-08-09,4857,5260,5663
39,Diamond Princess,2020-08-02,2020-08-09,712,712,712
40,Cuba,2020-08-02,2020-08-09,2495,2646,2797
41,Cyprus,2020-08-02,2020-08-09,1057,1150,1243
42,Czechia,2020-08-02,2020-08-09,15324,16800,18276
43,Denmark,2020-08-02,2020-08-09,13665,14028,14391
44,Djibouti,2020-08-02,2020-08-09,5050,5161,5272
45,Dominican Republic,2020-08-02,2020-08-09,62908,72243,81578
46,Ecuador,2020-08-02,2020-08-09,80694,86232,91770
47,Egypt,2020-08-02,2020-08-09,92062,94483,96904
