,Country,start_date,pre_date,b7_truth,start_truth,pre_cases
0,Afghanistan,2020-06-13,2020-06-20,19551,24102,28653
1,Albania,2020-06-13,2020-06-20,1232,1464,1696
2,Algeria,2020-06-13,2020-06-20,10050,10810,11570
3,Andorra,2020-06-13,2020-06-20,852,853,854
4,Angola,2020-06-13,2020-06-20,88,138,188
5,Antigua and Barbuda,2020-06-13,2020-06-20,26,26,26
6,Argentina,2020-06-13,2020-06-20,22020,30295,38570
7,Armenia,2020-06-13,2020-06-20,12364,16004,19644
8,Australia,2020-06-13,2020-06-20,7259,7320,7381
9,Austria,2020-06-13,2020-06-20,16898,17078,17258
10,Azerbaijan,2020-06-13,2020-06-20,7239,9570,11901
11,Bahamas,2020-06-13,2020-06-20,103,103,103
12,Bahrain,2020-06-13,2020-06-20,14383,17713,21043
13,Bangladesh,2020-06-13,2020-06-20,63026,84379,105732
14,Barbados,2020-06-13,2020-06-20,92,96,100
15,Belarus,2020-06-13,2020-06-20,47751,53241,58731
16,Belgium,2020-06-13,2020-06-20,59072,59918,60764
17,Benin,2020-06-13,2020-06-20,261,412,563
18,Bhutan,2020-06-13,2020-06-20,48,66,84
19,Bolivia,2020-06-13,2020-06-20,13358,17842,22326
20,Bosnia and Herzegovina,2020-06-13,2020-06-20,2606,2893,3180
21,Brazil,2020-06-13,2020-06-20,672846,850514,1028182
22,Brunei,2020-06-13,2020-06-20,141,141,141
23,Bulgaria,2020-06-13,2020-06-20,2711,3266,3821
24,Burkina Faso,2020-06-13,2020-06-20,888,892,896
25,Cabo Verde,2020-06-13,2020-06-20,542,726,910
26,Cambodia,2020-06-13,2020-06-20,125,128,131
27,Cameroon,2020-06-13,2020-06-20,7599,8681,9763
28,Canada,2020-06-13,2020-06-20,96475,100043,103611
29,Central African Republic,2020-06-13,2020-06-20,1570,2057,2544
30,Chad,2020-06-13,2020-06-20,836,848,860
31,Chile,2020-06-13,2020-06-20,127745,167355,206965
32,China,2020-06-13,2020-06-20,84186,84286,84386
33,Colombia,2020-06-13,2020-06-20,36759,46994,57229
34,Congo (Brazzaville),2020-06-13,2020-06-20,683,728,773
35,Congo (Kinshasa),2020-06-13,2020-06-20,3878,4724,5570
36,Costa Rica,2020-06-13,2020-06-20,1263,1662,2061
37,Cote d'Ivoire,2020-06-13,2020-06-20,3557,4848,6139
38,Croatia,2020-06-13,2020-06-20,2247,2251,2255
39,Diamond Princess,2020-06-13,2020-06-20,712,712,712
40,Cuba,2020-06-13,2020-06-20,2173,2238,2303
41,Cyprus,2020-06-13,2020-06-20,960,980,1000
42,Czechia,2020-06-13,2020-06-20,9567,9991,10415
43,Denmark,2020-06-13,2020-06-20,12124,12339,12554
44,Djibouti,2020-06-13,2020-06-20,4169,4449,4729
