,Country,start_date,pre_date,b7_truth,start_truth,pre_cases
0,Afghanistan,2020-05-12,2020-05-19,3224,4963,6702
1,Albania,2020-05-12,2020-05-19,820,876,932
2,Algeria,2020-05-12,2020-05-19,4838,6067,7296
3,Andorra,2020-05-12,2020-05-19,751,758,765
4,Angola,2020-05-12,2020-05-19,36,45,54
5,Antigua and Barbuda,2020-05-12,2020-05-19,25,25,25
6,Argentina,2020-05-12,2020-05-19,5020,6563,8106
7,Armenia,2020-05-12,2020-05-19,2619,3538,4457
8,Australia,2020-05-12,2020-05-19,6875,6980,7085
9,Austria,2020-05-12,2020-05-19,15650,15961,16272
10,Azerbaijan,2020-05-12,2020-05-19,2060,2693,3326
11,Bahamas,2020-05-12,2020-05-19,89,93,97
12,Bahrain,2020-05-12,2020-05-19,3720,5531,7342
13,Bangladesh,2020-05-12,2020-05-19,10929,16660,22391
14,Barbados,2020-05-12,2020-05-19,82,85,88
15,Belarus,2020-05-12,2020-05-19,18350,24873,31396
16,Belgium,2020-05-12,2020-05-19,50509,53779,57049
17,Benin,2020-05-12,2020-05-19,96,327,558
18,Bhutan,2020-05-12,2020-05-19,7,11,15
19,Bolivia,2020-05-12,2020-05-19,1802,2964,4126
20,Bosnia and Herzegovina,2020-05-12,2020-05-19,1946,2158,2370
21,Brazil,2020-05-12,2020-05-19,115455,178214,240973
22,Brunei,2020-05-12,2020-05-19,138,141,144
23,Bulgaria,2020-05-12,2020-05-19,1704,2023,2342
24,Burkina Faso,2020-05-12,2020-05-19,688,766,844
25,Cabo Verde,2020-05-12,2020-05-19,186,267,348
26,Cambodia,2020-05-12,2020-05-19,122,122,122
27,Cameroon,2020-05-12,2020-05-19,2104,2689,3274
28,Canada,2020-05-12,2020-05-19,63215,72419,81623
29,Central African Republic,2020-05-12,2020-05-19,85,143,201
30,Chad,2020-05-12,2020-05-19,170,357,544
31,Chile,2020-05-12,2020-05-19,22016,31721,41426
32,China,2020-05-12,2020-05-19,83968,84018,84068
33,Colombia,2020-05-12,2020-05-19,8613,12272,15931
34,Congo (Brazzaville),2020-05-12,2020-05-19,236,333,430
35,Congo (Kinshasa),2020-05-12,2020-05-19,705,1102,1499
36,Costa Rica,2020-05-12,2020-05-19,755,804,853
37,Cote d'Ivoire,2020-05-12,2020-05-19,1464,1857,2250
38,Croatia,2020-05-12,2020-05-19,2112,2207,2302
39,Diamond Princess,2020-05-12,2020-05-19,712,712,712
40,Cuba,2020-05-12,2020-05-19,1685,1804,1923
41,Cyprus,2020-05-12,2020-05-19,878,903,928
42,Czechia,2020-05-12,2020-05-19,7896,8221,8546
43,Denmark,2020-05-12,2020-05-19,10019,10789,11559
44,Djibouti,2020-05-12,2020-05-19,1120,1256,1392
45,Dominican Republic,2020-05-12,2020-05-19,8480,10900,13320
46,Ecuador,2020-05-12,2020-05-19,31881,30419,28957
47,Egypt,2020-05-12,2020-05-19,7201,10093,12985
48,El Salvador,2020-05-12,2020-05-19,587,998,1409
49,Equatorial Guinea,2020-05-12,2020-05-19,315,439,563
50,Eritrea,2020-05-12,2020-05-19,39,39,39
51,Estonia,2020-05-12,2020-05-19,1711,1746,1781
52,Eswatini,2020-05-12,2020-05-19,119,184,249
53,Ethiopia,2020-05-12,2020-05-19,145,261,377
54,Fiji,2020-05-12,2020-05-19,18,18,18
55,Finland,2020-05-12,2020-05-19,5412,6003,6594
56,France,2020-05-12,2020-05-19,170687,178349,186011
57,Gabon,2020-05-12,2020-05-19,397,863,1329
58,Gambia,2020-05-12,2020-05-19,17,22,27
59,Georgia,2020-05-12,2020-05-19,604,642,680
60,Germany,2020-05-12,2020-05-19,167007,173171,179335
61,Ghana,2020-05-12,2020-05-19,2719,5127,7535
62,Greece,2020-05-12,2020-05-19,2642,2744,2846
63,Guatemala,2020-05-12,2020-05-19,763,1199,1635
64,Guinea,2020-05-12,2020-05-19,1811,2298,2785
65,Guyana,2020-05-12,2020-05-19,93,113,133
66,Haiti,2020-05-12,2020-05-19,101,209,317
67,Holy See,2020-05-12,2020-05-19,11,12,13
68,Honduras,2020-05-12,2020-05-19,1270,2080,2890
69,Hungary,2020-05-12,2020-05-19,3065,3313,3561
70,Iceland,2020-05-12,2020-05-19,1799,1801,1803
71,India,2020-05-12,2020-05-19,49400,74292,99184
72,Indonesia,2020-05-12,2020-05-19,12071,14749,17427
73,Iran,2020-05-12,2020-05-19,99970,110767,121564
74,Iraq,2020-05-12,2020-05-19,2431,2913,3395
75,Ireland,2020-05-12,2020-05-19,21983,23242,24501
76,Israel,2020-05-12,2020-05-19,16289,16529,16769
77,Italy,2020-05-12,2020-05-19,213013,221216,229419
78,Jamaica,2020-05-12,2020-05-19,473,507,541
79,Japan,2020-05-12,2020-05-19,15253,15968,16683
80,Jordan,2020-05-12,2020-05-19,471,576,681
81,Kazakhstan,2020-05-12,2020-05-19,4205,5279,6353
82,Kenya,2020-05-12,2020-05-19,535,715,895
83,"Korea, South",2020-05-12,2020-05-19,10806,10962,11118
84,Kuwait,2020-05-12,2020-05-19,5804,10277,14750
85,Kyrgyzstan,2020-05-12,2020-05-19,843,1037,1231
86,Latvia,2020-05-12,2020-05-19,896,950,1004
87,Lebanon,2020-05-12,2020-05-19,741,870,999
88,Liberia,2020-05-12,2020-05-19,170,211,252
89,Liechtenstein,2020-05-12,2020-05-19,82,82,82
90,Lithuania,2020-05-12,2020-05-19,1423,1491,1559
91,Luxembourg,2020-05-12,2020-05-19,3840,3894,3948
92,Madagascar,2020-05-12,2020-05-19,151,186,221
93,Malaysia,2020-05-12,2020-05-19,6383,6742,7101
94,Maldives,2020-05-12,2020-05-19,573,904,1235
95,Malta,2020-05-12,2020-05-19,482,506,530
96,Mauritania,2020-05-12,2020-05-19,8,9,10
97,Mauritius,2020-05-12,2020-05-19,332,332,332
98,Mexico,2020-05-12,2020-05-19,26025,38324,50623
99,Moldova,2020-05-12,2020-05-19,4363,5154,5945
100,Monaco,2020-05-12,2020-05-19,95,96,97
101,Mongolia,2020-05-12,2020-05-19,41,42,43
