,Country,start_date,pre_date,b7_truth,start_truth,pre_cases
0,Afghanistan,2020-09-13,2020-09-20,38398,38716,39034
1,Albania,2020-09-13,2020-09-20,10255,11353,12451
2,Algeria,2020-09-13,2020-09-20,46364,48254,50144
3,Andorra,2020-09-13,2020-09-20,1215,1344,1473
4,Angola,2020-09-13,2020-09-20,2965,3388,3811
5,Antigua and Barbuda,2020-09-13,2020-09-20,95,95,95
6,Argentina,2020-09-13,2020-09-20,478792,555537,632282
7,Armenia,2020-09-13,2020-09-20,44783,45862,46941
8,Australia,2020-09-13,2020-09-20,26321,26692,27063
9,Austria,2020-09-13,2020-09-20,29271,33159,37047
10,Azerbaijan,2020-09-13,2020-09-20,37329,38327,39325
11,Bahamas,2020-09-13,2020-09-20,2506,2928,3350
12,Bahrain,2020-09-13,2020-09-20,55415,60307,65199
13,Bangladesh,2020-09-13,2020-09-20,325157,337520,349883
14,Barbados,2020-09-13,2020-09-20,178,181,184
15,Belarus,2020-09-13,2020-09-20,72859,74173,75487
16,Belgium,2020-09-13,2020-09-20,88367,93455,98543
17,Benin,2020-09-13,2020-09-20,2213,2267,2321
18,Bhutan,2020-09-13,2020-09-20,228,245,262
19,Bolivia,2020-09-13,2020-09-20,120769,126791,132813
20,Bosnia and Herzegovina,2020-09-13,2020-09-20,21560,23465,25370
21,Brazil,2020-09-13,2020-09-20,4137521,4330455,4523389
22,Brunei,2020-09-13,2020-09-20,145,145,145
23,Bulgaria,2020-09-13,2020-09-20,17089,17918,18747
24,Burkina Faso,2020-09-13,2020-09-20,1452,1707,1962
25,Cabo Verde,2020-09-13,2020-09-20,4330,4813,5296
26,Cambodia,2020-09-13,2020-09-20,274,275,276
27,Cameroon,2020-09-13,2020-09-20,19604,20167,20730
28,Canada,2020-09-13,2020-09-20,133890,138640,143390
29,Central African Republic,2020-09-13,2020-09-20,4729,4749,4769
30,Chad,2020-09-13,2020-09-20,1039,1084,1129
31,Chile,2020-09-13,2020-09-20,422510,434748,446986
32,China,2020-09-13,2020-09-20,90058,90197,90336
33,Colombia,2020-09-13,2020-09-20,666521,716319,766117
34,Congo (Brazzaville),2020-09-13,2020-09-20,4628,4928,5228
35,Congo (Kinshasa),2020-09-13,2020-09-20,10210,10390,10570
36,Costa Rica,2020-09-13,2020-09-20,46920,55454,63988
37,Cote d'Ivoire,2020-09-13,2020-09-20,18588,19013,19438
38,Croatia,2020-09-13,2020-09-20,11964,13533,15102
39,Diamond Princess,2020-09-13,2020-09-20,712,712,712
40,Cuba,2020-09-13,2020-09-20,4309,4684,5059
41,Cyprus,2020-09-13,2020-09-20,1509,1526,1543
42,Czechia,2020-09-13,2020-09-20,28156,36188,44220
43,Denmark,2020-09-13,2020-09-20,18310,20327,22344
44,Djibouti,2020-09-13,2020-09-20,5388,5395,5402
45,Dominican Republic,2020-09-13,2020-09-20,99333,103660,107987
46,Ecuador,2020-09-13,2020-09-20,118045,118594,119143
47,Egypt,2020-09-13,2020-09-20,99863,101009,102155
48,El Salvador,2020-09-13,2020-09-20,26308,26928,27548
49,Equatorial Guinea,2020-09-13,2020-09-20,4972,4996,5020
50,Eritrea,2020-09-13,2020-09-20,330,361,392
51,Estonia,2020-09-13,2020-09-20,2516,2676,2836
52,Eswatini,2020-09-13,2020-09-20,4853,5075,5297
53,Ethiopia,2020-09-13,2020-09-20,58672,64301,69930
54,Fiji,2020-09-13,2020-09-20,31,32,33
55,Finland,2020-09-13,2020-09-20,8291,8580,8869
56,France,2020-09-13,2020-09-20,347268,402893,458518
57,Gabon,2020-09-13,2020-09-20,8601,8643,8685
58,Gambia,2020-09-13,2020-09-20,3197,3405,3613
59,Georgia,2020-09-13,2020-09-20,1650,2227,2804
60,Germany,2020-09-13,2020-09-20,251728,261737,271746
61,Ghana,2020-09-13,2020-09-20,44777,45434,46091
62,Greece,2020-09-13,2020-09-20,11524,13240,14956
63,Guatemala,2020-09-13,2020-09-20,77683,81909,86135
64,Guinea,2020-09-13,2020-09-20,9798,10045,10292
65,Guyana,2020-09-13,2020-09-20,1468,1853,2238
66,Haiti,2020-09-13,2020-09-20,8360,8493,8626
67,Holy See,2020-09-13,2020-09-20,12,12,12
68,Honduras,2020-09-13,2020-09-20,64764,67789,70814
69,Hungary,2020-09-13,2020-09-20,8387,12309,16231
70,Iceland,2020-09-13,2020-09-20,2141,2165,2189
71,India,2020-09-13,2020-09-20,4204613,4754356,5304099
72,Indonesia,2020-09-13,2020-09-20,194109,218382,242655
73,Iran,2020-09-13,2020-09-20,386658,402029,417400
74,Iraq,2020-09-13,2020-09-20,260370,290309,320248
75,Ireland,2020-09-13,2020-09-20,29672,30985,32298
76,Israel,2020-09-13,2020-09-20,130644,155604,180564
77,Italy,2020-09-13,2020-09-20,277634,287753,297872
78,Jamaica,2020-09-13,2020-09-20,3103,3771,4439
79,Japan,2020-09-13,2020-09-20,71918,75646,79374
80,Jordan,2020-09-13,2020-09-20,2411,3314,4217
81,Kazakhstan,2020-09-13,2020-09-20,106361,106855,107349
82,Kenya,2020-09-13,2020-09-20,35103,36157,37211
83,"Korea, South",2020-09-13,2020-09-20,21296,22285,23274
84,Kuwait,2020-09-13,2020-09-20,89582,94764,99946
85,Kyrgyzstan,2020-09-13,2020-09-20,44403,44881,45359
86,Latvia,2020-09-13,2020-09-20,1428,1474,1520
87,Lebanon,2020-09-13,2020-09-20,20426,24310,28194
88,Liberia,2020-09-13,2020-09-20,1307,1319,1331
89,Liechtenstein,2020-09-13,2020-09-20,107,111,115
90,Lithuania,2020-09-13,2020-09-20,3083,3335,3587
91,Luxembourg,2020-09-13,2020-09-20,6950,7159,7368
92,Madagascar,2020-09-13,2020-09-20,15319,15757,16195
93,Malaysia,2020-09-13,2020-09-20,9397,9915,10433
94,Maldives,2020-09-13,2020-09-20,8584,9173,9762
95,Malta,2020-09-13,2020-09-20,2039,2352,2665
96,Mauritania,2020-09-13,2020-09-20,7142,7276,7410
97,Mauritius,2020-09-13,2020-09-20,356,361,366
98,Mexico,2020-09-13,2020-09-20,634023,668381,702739
99,Moldova,2020-09-13,2020-09-20,39797,42978,46159
100,Monaco,2020-09-13,2020-09-20,147,171,195
101,Mongolia,2020-09-13,2020-09-20,310,311,312
102,Montenegro,2020-09-13,2020-09-20,5553,6712,7871
103,Morocco,2020-09-13,2020-09-20,72394,86686,100978
104,Namibia,2020-09-13,2020-09-20,8685,9719,10753
105,Nepal,2020-09-13,2020-09-20,46257,54159,62061
106,Netherlands,2020-09-13,2020-09-20,77857,85876,93895
107,New Zealand,2020-09-13,2020-09-20,1776,1798,1820
108,Nicaragua,2020-09-13,2020-09-20,4668,4818,4968
109,Niger,2020-09-13,2020-09-20,1177,1180,1183
110,Nigeria,2020-09-13,2020-09-20,55005,56256,57507
111,North Macedonia,2020-09-13,2020-09-20,15090,15791,16492
112,Norway,2020-09-13,2020-09-20,11388,12154,12920
113,Oman,2020-09-13,2020-09-20,87072,89746,92420
114,Pakistan,2020-09-13,2020-09-20,298903,302020,305137
115,Panama,2020-09-13,2020-09-20,97043,101745,106447
116,Papua New Guinea,2020-09-13,2020-09-20,497,510,523
117,Paraguay,2020-09-13,2020-09-20,22486,27817,33148
118,Peru,2020-09-13,2020-09-20,683702,722832,761962
119,Philippines,2020-09-13,2020-09-20,237365,261216,285067
120,Poland,2020-09-13,2020-09-20,70824,74152,77480
121,Portugal,2020-09-13,2020-09-20,60258,63983,67708
122,Qatar,2020-09-13,2020-09-20,120095,121740,123385
123,Romania,2020-09-13,2020-09-20,95014,103495,111976
124,Russia,2020-09-13,2020-09-20,1022228,1059024,1095820
125,Rwanda,2020-09-13,2020-09-20,4374,4591,4808
126,Saint Lucia,2020-09-13,2020-09-20,26,27,28
127,Saint Vincent and the Grenadines,2020-09-13,2020-09-20,61,64,67
128,San Marino,2020-09-13,2020-09-20,716,722,728
129,Saudi Arabia,2020-09-13,2020-09-20,320688,325651,330614
130,Senegal,2020-09-13,2020-09-20,13987,14280,14573
131,Serbia,2020-09-13,2020-09-20,31905,32408,32911
132,Seychelles,2020-09-13,2020-09-20,136,139,142
133,Singapore,2020-09-13,2020-09-20,57022,57406,57790
134,Slovakia,2020-09-13,2020-09-20,4614,5532,6450
135,Slovenia,2020-09-13,2020-09-20,3165,3702,4239
136,Somalia,2020-09-13,2020-09-20,3362,3389,3416
137,South Africa,2020-09-13,2020-09-20,638517,649793,661069
138,Spain,2020-09-13,2020-09-20,498989,566326,633663
139,Sri Lanka,2020-09-13,2020-09-20,3123,3234,3345
140,Sudan,2020-09-13,2020-09-20,13437,13516,13595
141,Suriname,2020-09-13,2020-09-20,4346,4582,4818
142,Sweden,2020-09-13,2020-09-20,84985,86505,88025
143,Switzerland,2020-09-13,2020-09-20,44401,47179,49957
144,Tanzania,2020-09-13,2020-09-20,509,509,509
145,Thailand,2020-09-13,2020-09-20,3445,3475,3505
146,Togo,2020-09-13,2020-09-20,1488,1572,1656
147,Trinidad and Tobago,2020-09-13,2020-09-20,2250,3042,3834
148,Tunisia,2020-09-13,2020-09-20,5041,6635,8229
149,Turkey,2020-09-13,2020-09-20,279806,291162,302518
150,Uganda,2020-09-13,2020-09-20,3667,4799,5931
151,Ukraine,2020-09-13,2020-09-20,139171,158122,177073
152,United Arab Emirates,2020-09-13,2020-09-20,73984,79489,84994
153,United Kingdom,2020-09-13,2020-09-20,349500,370930,392360
154,Uruguay,2020-09-13,2020-09-20,1679,1808,1937
155,US,2020-09-13,2020-09-20,6276365,6519573,6762781
156,Uzbekistan,2020-09-13,2020-09-20,43587,47287,50987
157,Venezuela,2020-09-13,2020-09-20,53289,60540,67791
158,Vietnam,2020-09-13,2020-09-20,1049,1063,1077
159,Zambia,2020-09-13,2020-09-20,12776,13539,14302
160,Zimbabwe,2020-09-13,2020-09-20,6837,7526,8215
161,Dominica,2020-09-13,2020-09-20,22,24,26
162,Grenada,2020-09-13,2020-09-20,24,24,24
163,Mozambique,2020-09-13,2020-09-20,4444,5269,6094
164,Syria,2020-09-13,2020-09-20,3171,3540,3909
165,Timor-Leste,2020-09-13,2020-09-20,27,27,27
166,Belize,2020-09-13,2020-09-20,1194,1480,1766
167,Laos,2020-09-13,2020-09-20,22,23,24
168,Libya,2020-09-13,2020-09-20,17749,22781,27813
169,West Bank and Gaza,2020-09-13,2020-09-20,26127,30574,35021
170,Guinea-Bissau,2020-09-13,2020-09-20,2245,2275,2305
171,Mali,2020-09-13,2020-09-20,2842,2924,3006
172,Saint Kitts and Nevis,2020-09-13,2020-09-20,17,17,17
173,Kosovo,2020-09-13,2020-09-20,12683,12683,12683
174,Burma,2020-09-13,2020-09-20,1419,3015,4611
175,MS Zaandam,2020-09-13,2020-09-20,9,9,9
176,Botswana,2020-09-13,2020-09-20,2002,2252,2502
177,Burundi,2020-09-13,2020-09-20,462,472,482
178,Sierra Leone,2020-09-13,2020-09-20,2054,2109,2164
179,Malawi,2020-09-13,2020-09-20,5614,5690,5766
180,South Sudan,2020-09-13,2020-09-20,2544,2578,2612
181,Western Sahara,2020-09-13,2020-09-20,10,10,10
182,Sao Tome and Principe,2020-09-13,2020-09-20,898,906,914
183,Yemen,2020-09-13,2020-09-20,1987,2011,2035
