,Country,start_date,pre_date,b7_truth,start_truth,pre_cases
0,Afghanistan,2020-08-28,2020-09-04,37894,38140,38386
1,Albania,2020-08-28,2020-09-04,8119,9195,10271
2,Algeria,2020-08-28,2020-09-04,40667,43403,46139
3,Andorra,2020-08-28,2020-09-04,1045,1124,1203
4,Angola,2020-08-28,2020-09-04,2068,2471,2874
5,Antigua and Barbuda,2020-08-28,2020-09-04,94,94,94
6,Argentina,2020-08-28,2020-09-04,329043,392009,454975
7,Armenia,2020-08-28,2020-09-04,42477,43451,44425
8,Australia,2020-08-28,2020-09-04,24602,25547,26492
9,Austria,2020-08-28,2020-09-04,24762,26590,28418
10,Azerbaijan,2020-08-28,2020-09-04,34921,35986,37051
11,Bahamas,2020-08-28,2020-09-04,1703,2057,2411
12,Bahrain,2020-08-28,2020-09-04,48661,51113,53565
13,Bangladesh,2020-08-28,2020-09-04,290360,306794,323228
14,Barbados,2020-08-28,2020-09-04,157,166,175
15,Belarus,2020-08-28,2020-09-04,70111,71346,72581
16,Belgium,2020-08-28,2020-09-04,80894,83952,87010
17,Benin,2020-08-28,2020-09-04,2095,2145,2195
18,Bhutan,2020-08-28,2020-09-04,154,195,236
19,Bolivia,2020-08-28,2020-09-04,107435,114409,121383
20,Bosnia and Herzegovina,2020-08-28,2020-09-04,17396,19214,21032
21,Brazil,2020-08-28,2020-09-04,3532330,3804803,4077276
22,Brunei,2020-08-28,2020-09-04,143,144,145
23,Bulgaria,2020-08-28,2020-09-04,15131,16065,16999
24,Burkina Faso,2020-08-28,2020-09-04,1297,1352,1407
25,Cabo Verde,2020-08-28,2020-09-04,3412,3745,4078
26,Cambodia,2020-08-28,2020-09-04,273,273,273
27,Cameroon,2020-08-28,2020-09-04,18762,19142,19522
28,Canada,2020-08-28,2020-09-04,126319,129342,132365
29,Central African Republic,2020-08-28,2020-09-04,4679,4700,4721
30,Chad,2020-08-28,2020-09-04,981,1008,1035
31,Chile,2020-08-28,2020-09-04,393769,405972,418175
32,China,2020-08-28,2020-09-04,89616,89836,90056
33,Colombia,2020-08-28,2020-09-04,522138,590492,658846
34,Congo (Brazzaville),2020-08-28,2020-09-04,3850,3979,4108
35,Congo (Kinshasa),2020-08-28,2020-09-04,9802,9994,10186
36,Costa Rica,2020-08-28,2020-09-04,32134,38485,44836
37,Cote d'Ivoire,2020-08-28,2020-09-04,17310,17797,18284
38,Croatia,2020-08-28,2020-09-04,7594,9549,11504
39,Diamond Princess,2020-08-28,2020-09-04,712,712,712
40,Cuba,2020-08-28,2020-09-04,3582,3866,4150
41,Cyprus,2020-08-28,2020-09-04,1406,1481,1556
42,Czechia,2020-08-28,2020-09-04,21551,23777,26003
43,Denmark,2020-08-28,2020-09-04,16525,17125,17725
44,Djibouti,2020-08-28,2020-09-04,5382,5383,5384
45,Dominican Republic,2020-08-28,2020-09-04,89867,93390,96913
46,Ecuador,2020-08-28,2020-09-04,106481,112141,117801
47,Egypt,2020-08-28,2020-09-04,97148,98285,99422
48,El Salvador,2020-08-28,2020-09-04,24200,25415,26630
49,Equatorial Guinea,2020-08-28,2020-09-04,4926,4941,4956
50,Eritrea,2020-08-28,2020-09-04,306,317,328
51,Estonia,2020-08-28,2020-09-04,2244,2343,2442
52,Eswatini,2020-08-28,2020-09-04,4128,4461,4794
53,Ethiopia,2020-08-28,2020-09-04,37665,48140,58615
54,Fiji,2020-08-28,2020-09-04,28,28,28
55,Finland,2020-08-28,2020-09-04,7871,8042,8213
56,France,2020-08-28,2020-09-04,271960,304947,337934
57,Gabon,2020-08-28,2020-09-04,8388,8505,8622
58,Gambia,2020-08-28,2020-09-04,2437,2797,3157
59,Georgia,2020-08-28,2020-09-04,1385,1455,1525
60,Germany,2020-08-28,2020-09-04,233029,242126,251223
61,Ghana,2020-08-28,2020-09-04,43325,43949,44573
62,Greece,2020-08-28,2020-09-04,8138,9800,11462
63,Guatemala,2020-08-28,2020-09-04,66941,72921,78901
64,Guinea,2020-08-28,2020-09-04,8932,9251,9570
65,Guyana,2020-08-28,2020-09-04,881,1180,1479
66,Haiti,2020-08-28,2020-09-04,8016,8161,8306
67,Holy See,2020-08-28,2020-09-04,12,12,12
68,Honduras,2020-08-28,2020-09-04,53381,58810,64239
69,Hungary,2020-08-28,2020-09-04,5098,5511,5924
70,Iceland,2020-08-28,2020-09-04,2050,2092,2134
71,India,2020-08-28,2020-09-04,2975701,3463972,3952243
72,Indonesia,2020-08-28,2020-09-04,149408,165887,182366
73,Iran,2020-08-28,2020-09-04,354764,369911,385058
74,Iraq,2020-08-28,2020-09-04,197085,223612,250139
75,Ireland,2020-08-28,2020-09-04,27755,28578,29401
76,Israel,2020-08-28,2020-09-04,100716,112000,123284
77,Italy,2020-08-28,2020-09-04,257065,265409,273753
78,Jamaica,2020-08-28,2020-09-04,1346,2011,2676
79,Japan,2020-08-28,2020-09-04,60949,66499,72049
80,Jordan,2020-08-28,2020-09-04,1532,1869,2206
81,Kazakhstan,2020-08-28,2020-09-04,104313,105558,106803
82,Kenya,2020-08-28,2020-09-04,31763,33630,35497
83,"Korea, South",2020-08-28,2020-09-04,17002,19400,21798
84,Kuwait,2020-08-28,2020-09-04,79269,83578,87887
85,Kyrgyzstan,2020-08-28,2020-09-04,42703,43587,44471
86,Latvia,2020-08-28,2020-09-04,1330,1375,1420
87,Lebanon,2020-08-28,2020-09-04,11580,15613,19646
88,Liberia,2020-08-28,2020-09-04,1285,1298,1311
89,Liechtenstein,2020-08-28,2020-09-04,99,106,113
90,Lithuania,2020-08-28,2020-09-04,2564,2810,3056
91,Luxembourg,2020-08-28,2020-09-04,7704,6580,5456
92,Madagascar,2020-08-28,2020-09-04,14218,14696,15174
93,Malaysia,2020-08-28,2020-09-04,9249,9306,9363
94,Maldives,2020-08-28,2020-09-04,6564,7469,8374
95,Malta,2020-08-28,2020-09-04,1546,1820,2094
96,Mauritania,2020-08-28,2020-09-04,6885,7012,7139
97,Mauritius,2020-08-28,2020-09-04,346,355,364
98,Mexico,2020-08-28,2020-09-04,549734,585738,621742
99,Moldova,2020-08-28,2020-09-04,32484,35904,39324
100,Monaco,2020-08-28,2020-09-04,154,154,154
