,Country,start_date,pre_date,b7_truth,start_truth,pre_cases
0,Afghanistan,2020-12-17,2020-12-24,48053,49378,50703
1,Albania,2020-12-17,2020-12-24,46061,51424,56787
2,Algeria,2020-12-17,2020-12-24,90579,93933,97287
3,Andorra,2020-12-17,2020-12-24,7190,7466,7742
4,Angola,2020-12-17,2020-12-24,15925,16484,17043
5,Antigua and Barbuda,2020-12-17,2020-12-24,146,151,156
6,Argentina,2020-12-17,2020-12-24,1482216,1524372,1566528
7,Armenia,2020-12-17,2020-12-24,145240,151392,157544
8,Australia,2020-12-17,2020-12-24,28011,28093,28175
9,Austria,2020-12-17,2020-12-24,313688,332828,351968
10,Azerbaijan,2020-12-17,2020-12-24,162774,191460,220146
11,Bahamas,2020-12-17,2020-12-24,7585,7725,7865
12,Bahrain,2020-12-17,2020-12-24,88632,89743,90854
13,Bangladesh,2020-12-17,2020-12-24,485965,496975,507985
14,Barbados,2020-12-17,2020-12-24,291,305,319
15,Belarus,2020-12-17,2020-12-24,154392,167731,181070
16,Belgium,2020-12-17,2020-12-24,600397,618204,636011
17,Benin,2020-12-17,2020-12-24,3090,3152,3214
18,Bhutan,2020-12-17,2020-12-24,434,440,446
19,Bolivia,2020-12-17,2020-12-24,146385,148665,150945
20,Bosnia and Herzegovina,2020-12-17,2020-12-24,98603,104087,109571
21,Brazil,2020-12-17,2020-12-24,6781799,7110434,7439069
22,Brunei,2020-12-17,2020-12-24,152,152,152
23,Bulgaria,2020-12-17,2020-12-24,174568,188288,202008
24,Burkina Faso,2020-12-17,2020-12-24,3579,4611,5643
25,Cabo Verde,2020-12-17,2020-12-24,11203,11502,11801
26,Cambodia,2020-12-17,2020-12-24,357,362,367
27,Cameroon,2020-12-17,2020-12-24,24963,25472,25981
28,Canada,2020-12-17,2020-12-24,445828,492582,539336
29,Central African Republic,2020-12-17,2020-12-24,4927,4936,4945
30,Chad,2020-12-17,2020-12-24,1739,1818,1897
31,Chile,2020-12-17,2020-12-24,566440,578732,591024
32,China,2020-12-17,2020-12-24,94025,94734,95443
33,Colombia,2020-12-17,2020-12-24,1399911,1468795,1537679
34,Congo (Brazzaville),2020-12-17,2020-12-24,6049,6200,6351
35,Congo (Kinshasa),2020-12-17,2020-12-24,13997,15089,16181
36,Costa Rica,2020-12-17,2020-12-24,149815,156388,162961
37,Cote d'Ivoire,2020-12-17,2020-12-24,21590,21772,21954
38,Croatia,2020-12-17,2020-12-24,163992,186963,209934
39,Diamond Princess,2020-12-17,2020-12-24,712,712,712
40,Cuba,2020-12-17,2020-12-24,9181,9771,10361
41,Cyprus,2020-12-17,2020-12-24,13649,16190,18731
42,Czechia,2020-12-17,2020-12-24,563333,602404,641475
43,Denmark,2020-12-17,2020-12-24,101027,124366,147705
44,Djibouti,2020-12-17,2020-12-24,5717,5770,5823
45,Dominican Republic,2020-12-17,2020-12-24,151721,157305,162889
46,Ecuador,2020-12-17,2020-12-24,200379,204249,208119
47,Egypt,2020-12-17,2020-12-24,120147,123701,127255
48,El Salvador,2020-12-17,2020-12-24,40741,42397,44053
49,Equatorial Guinea,2020-12-17,2020-12-24,5183,5214,5245
50,Eritrea,2020-12-17,2020-12-24,656,741,826
51,Estonia,2020-12-17,2020-12-24,16598,20004,23410
52,Eswatini,2020-12-17,2020-12-24,6633,7093,7553
53,Ethiopia,2020-12-17,2020-12-24,115360,118481,121602
54,Fiji,2020-12-17,2020-12-24,44,46,48
55,Finland,2020-12-17,2020-12-24,29572,32228,34884
56,France,2020-12-17,2020-12-24,2393590,2483524,2573458
57,Gabon,2020-12-17,2020-12-24,9300,9373,9446
58,Gambia,2020-12-17,2020-12-24,3777,3786,3795
59,Georgia,2020-12-17,2020-12-24,178953,201368,223783
60,Germany,2020-12-17,2020-12-24,1287092,1454009,1620926
61,Ghana,2020-12-17,2020-12-24,52738,53553,54368
62,Greece,2020-12-17,2020-12-24,121253,128710,136167
63,Guatemala,2020-12-17,2020-12-24,127786,131435,135084
64,Guinea,2020-12-17,2020-12-24,13368,13485,13602
65,Guyana,2020-12-17,2020-12-24,5811,6042,6273
66,Haiti,2020-12-17,2020-12-24,9434,9627,9820
67,Holy See,2020-12-17,2020-12-24,27,27,27
68,Honduras,2020-12-17,2020-12-24,113207,115474,117741
69,Hungary,2020-12-17,2020-12-24,265003,291549,318095
70,Iceland,2020-12-17,2020-12-24,5524,5588,5652
71,India,2020-12-17,2020-12-24,9796744,9979447,10162150
