,Country,start_date,pre_date,b7_truth,start_truth,pre_cases
0,Afghanistan,2020-08-26,2020-09-02,37599,38113,38627
1,Albania,2020-08-26,2020-09-02,7812,8927,10042
2,Algeria,2020-08-26,2020-09-02,39847,42619,45391
3,Andorra,2020-08-26,2020-09-02,1024,1098,1172
4,Angola,2020-08-26,2020-09-02,2015,2332,2649
5,Antigua and Barbuda,2020-08-26,2020-09-02,94,94,94
6,Argentina,2020-08-26,2020-09-02,312659,370188,427717
7,Armenia,2020-08-26,2020-09-02,42056,43067,44078
8,Australia,2020-08-26,2020-09-02,24236,25322,26408
9,Austria,2020-08-26,2020-09-02,24084,26033,27982
10,Azerbaijan,2020-08-26,2020-09-02,34620,35707,36794
11,Bahamas,2020-08-26,2020-09-02,1531,1765,1999
12,Bahrain,2020-08-26,2020-09-02,47950,50393,52836
13,Bangladesh,2020-08-26,2020-09-02,285091,302147,319203
14,Barbados,2020-08-26,2020-09-02,155,165,175
15,Belarus,2020-08-26,2020-09-02,69801,70974,72147
16,Belgium,2020-08-26,2020-09-02,79479,83030,86581
17,Benin,2020-08-26,2020-09-02,2095,2145,2195
18,Bhutan,2020-08-26,2020-09-02,147,173,199
19,Bolivia,2020-08-26,2020-09-02,105050,112094,119138
20,Bosnia and Herzegovina,2020-08-26,2020-09-02,16691,18609,20527
21,Brazil,2020-08-26,2020-09-02,3456652,3717156,3977660
22,Brunei,2020-08-26,2020-09-02,143,144,145
23,Bulgaria,2020-08-26,2020-09-02,14820,15751,16682
24,Burkina Faso,2020-08-26,2020-09-02,1285,1352,1419
25,Cabo Verde,2020-08-26,2020-09-02,3321,3630,3939
26,Cambodia,2020-08-26,2020-09-02,273,273,273
27,Cameroon,2020-08-26,2020-09-02,18624,18973,19322
28,Canada,2020-08-26,2020-09-02,125408,128380,131352
29,Central African Republic,2020-08-26,2020-09-02,4679,4698,4717
30,Chad,2020-08-26,2020-09-02,971,998,1025
31,Chile,2020-08-26,2020-09-02,390037,402365,414693
32,China,2020-08-26,2020-09-02,89527,89784,90041
33,Colombia,2020-08-26,2020-09-02,502178,572243,642308
34,Congo (Brazzaville),2020-08-26,2020-09-02,3850,3979,4108
35,Congo (Kinshasa),2020-08-26,2020-09-02,9741,9912,10083
