,Country,start_date,pre_date,b7_truth,start_truth,pre_cases
0,Afghanistan,2021-01-09,2021-01-16,51526,53400,55274
1,Albania,2021-01-09,2021-01-16,58991,63033,67075
2,Algeria,2021-01-09,2021-01-16,100159,101913,103667
3,Andorra,2021-01-09,2021-01-16,8166,8586,9006
4,Angola,2021-01-09,2021-01-16,17608,18156,18704
5,Antigua and Barbuda,2021-01-09,2021-01-16,159,169,179
6,Argentina,2021-01-09,2021-01-16,1634834,1714409,1793984
7,Armenia,2021-01-09,2021-01-16,159798,161794,163790
8,Australia,2021-01-09,2021-01-16,28484,28595,28706
9,Austria,2021-01-09,2021-01-16,364302,379071,393840
10,Azerbaijan,2021-01-09,2021-01-16,219462,224050,228638
11,Bahamas,2021-01-09,2021-01-16,7887,7969,8051
12,Bahrain,2021-01-09,2021-01-16,93184,95317,97450
13,Bangladesh,2021-01-09,2021-01-16,515184,521382,527580
14,Barbados,2021-01-09,2021-01-16,395,808,1221
15,Belarus,2021-01-09,2021-01-16,198125,210368,222611
16,Belgium,2021-01-09,2021-01-16,649169,662694,676219
17,Benin,2021-01-09,2021-01-16,3251,3304,3357
18,Bhutan,2021-01-09,2021-01-16,710,767,824
19,Bolivia,2021-01-09,2021-01-16,162055,172798,183541
20,Bosnia and Herzegovina,2021-01-09,2021-01-16,112143,115379,118615
21,Brazil,2021-01-09,2021-01-16,7716405,8075998,8435591
22,Brunei,2021-01-09,2021-01-16,157,173,189
23,Bulgaria,2021-01-09,2021-01-16,202880,208406,213932
24,Burkina Faso,2021-01-09,2021-01-16,6940,7866,8792
25,Cabo Verde,2021-01-09,2021-01-16,11883,12316,12749
26,Cambodia,2021-01-09,2021-01-16,381,391,401
27,Cameroon,2021-01-09,2021-01-16,26848,26848,26848
28,Canada,2021-01-09,2021-01-16,589935,657323,724711
29,Central African Republic,2021-01-09,2021-01-16,4963,4969,4975
30,Chad,2021-01-09,2021-01-16,2169,2510,2851
31,Chile,2021-01-09,2021-01-16,615902,637742,659582
32,China,2021-01-09,2021-01-16,96086,96690,97294
33,Colombia,2021-01-09,2021-01-16,1666408,1771363,1876318
34,Congo (Brazzaville),2021-01-09,2021-01-16,7107,7127,7147
35,Congo (Kinshasa),2021-01-09,2021-01-16,17998,19159,20320
36,Costa Rica,2021-01-09,2021-01-16,169321,177614,185907
37,Cote d'Ivoire,2021-01-09,2021-01-16,22563,23482,24401
38,Croatia,2021-01-09,2021-01-16,212262,219347,226432
39,Diamond Princess,2021-01-09,2021-01-16,712,712,712
40,Cuba,2021-01-09,2021-01-16,12225,14188,16151
41,Cyprus,2021-01-09,2021-01-16,23445,27011,30577
42,Czechia,2021-01-09,2021-01-16,735469,822716,909963
43,Denmark,2021-01-09,2021-01-16,168182,180915,193648
44,Djibouti,2021-01-09,2021-01-16,5841,5866,5891
45,Dominican Republic,2021-01-09,2021-01-16,172965,180644,188323
