,Country,start_date,pre_date,b7_truth,start_truth,pre_cases
0,Afghanistan,2020-11-17,2020-11-24,42463,43628,44793
1,Albania,2020-11-17,2020-11-24,25294,29126,32958
2,Algeria,2020-11-17,2020-11-24,63446,69591,75736
3,Andorra,2020-11-17,2020-11-24,5477,5951,6425
4,Angola,2020-11-17,2020-11-24,12816,13818,14820
5,Antigua and Barbuda,2020-11-17,2020-11-24,131,134,137
6,Argentina,2020-11-17,2020-11-24,1262476,1329005,1395534
7,Armenia,2020-11-17,2020-11-24,108687,118870,129053
8,Australia,2020-11-17,2020-11-24,27671,27777,27883
9,Austria,2020-11-17,2020-11-24,164866,214597,264328
10,Azerbaijan,2020-11-17,2020-11-24,67392,79158,90924
11,Bahamas,2020-11-17,2020-11-24,7012,7312,7612
12,Bahrain,2020-11-17,2020-11-24,83811,85008,86205
13,Bangladesh,2020-11-17,2020-11-24,423620,436684,449748
14,Barbados,2020-11-17,2020-11-24,243,250,257
15,Belarus,2020-11-17,2020-11-24,108300,116699,125098
16,Belgium,2020-11-17,2020-11-24,507475,540605,573735
17,Benin,2020-11-17,2020-11-24,2781,2884,2987
18,Bhutan,2020-11-17,2020-11-24,364,378,392
19,Bolivia,2020-11-17,2020-11-24,142664,143473,144282
20,Bosnia and Herzegovina,2020-11-17,2020-11-24,65024,73944,82864
21,Brazil,2020-11-17,2020-11-24,5699005,5911758,6124511
22,Brunei,2020-11-17,2020-11-24,148,148,148
23,Bulgaria,2020-11-17,2020-11-24,83366,106598,129830
24,Burkina Faso,2020-11-17,2020-11-24,2582,2652,2722
25,Cabo Verde,2020-11-17,2020-11-24,9499,9960,10421
26,Cambodia,2020-11-17,2020-11-24,300,304,308
27,Cameroon,2020-11-17,2020-11-24,22421,22896,23371
28,Canada,2020-11-17,2020-11-24,276479,309877,343275
29,Central African Republic,2020-11-17,2020-11-24,4884,4900,4916
30,Chad,2020-11-17,2020-11-24,1561,1608,1655
31,Chile,2020-11-17,2020-11-24,523907,533610,543313
32,China,2020-11-17,2020-11-24,91719,91885,92051
33,Colombia,2020-11-17,2020-11-24,1155356,1211128,1266900
34,Congo (Brazzaville),2020-11-17,2020-11-24,5379,5515,5651
35,Congo (Kinshasa),2020-11-17,2020-11-24,11642,11866,12090
36,Costa Rica,2020-11-17,2020-11-24,118566,125590,132614
37,Cote d'Ivoire,2020-11-17,2020-11-24,20847,21004,21161
38,Croatia,2020-11-17,2020-11-24,70243,87464,104685
39,Diamond Princess,2020-11-17,2020-11-24,712,712,712
40,Cuba,2020-11-17,2020-11-24,7392,7667,7942
41,Cyprus,2020-11-17,2020-11-24,6296,7513,8730
42,Czechia,2020-11-17,2020-11-24,429880,469769,509658
43,Denmark,2020-11-17,2020-11-24,57472,65067,72662
44,Djibouti,2020-11-17,2020-11-24,5633,5656,5679
45,Dominican Republic,2020-11-17,2020-11-24,131131,134697,138263
46,Ecuador,2020-11-17,2020-11-24,175711,181104,186497
47,Egypt,2020-11-17,2020-11-24,109654,111284,112914
48,El Salvador,2020-11-17,2020-11-24,35145,36669,38193
49,Equatorial Guinea,2020-11-17,2020-11-24,5102,5121,5140
50,Eritrea,2020-11-17,2020-11-24,491,518,545
51,Estonia,2020-11-17,2020-11-24,6376,8033,9690
52,Eswatini,2020-11-17,2020-11-24,6024,6124,6224
53,Ethiopia,2020-11-17,2020-11-24,100327,103395,106463
54,Fiji,2020-11-17,2020-11-24,34,35,36
55,Finland,2020-11-17,2020-11-24,18107,19647,21187
56,France,2020-11-17,2020-11-24,1878498,2087183,2295868
57,Gabon,2020-11-17,2020-11-24,9029,9084,9139
58,Gambia,2020-11-17,2020-11-24,3696,3705,3714
59,Georgia,2020-11-17,2020-11-24,63650,85952,108254
60,Germany,2020-11-17,2020-11-24,715693,843757,971821
61,Ghana,2020-11-17,2020-11-24,49302,50376,51450
62,Greece,2020-11-17,2020-11-24,60570,78825,97080
63,Guatemala,2020-11-17,2020-11-24,112129,115730,119331
64,Guinea,2020-11-17,2020-11-24,12484,12654,12824
65,Guyana,2020-11-17,2020-11-24,4530,4890,5250
66,Haiti,2020-11-17,2020-11-24,9137,9191,9245
67,Holy See,2020-11-17,2020-11-24,27,27,27
68,Honduras,2020-11-17,2020-11-24,100804,103488,106172
69,Hungary,2020-11-17,2020-11-24,118918,152659,186400
70,Iceland,2020-11-17,2020-11-24,5114,5215,5316
71,India,2020-11-17,2020-11-24,8636011,8912907,9189803
72,Indonesia,2020-11-17,2020-11-24,444348,474455,504562
73,Iran,2020-11-17,2020-11-24,703288,788473,873658
74,Iraq,2020-11-17,2020-11-24,505310,524503,543696
75,Ireland,2020-11-17,2020-11-24,65889,68686,71483
76,Israel,2020-11-17,2020-11-24,320661,325537,330413
77,Italy,2020-11-17,2020-11-24,995463,1238072,1480681
78,Jamaica,2020-11-17,2020-11-24,9573,9959,10345
79,Japan,2020-11-17,2020-11-24,110487,121247,132007
80,Jordan,2020-11-17,2020-11-24,120982,155993,191004
81,Kazakhstan,2020-11-17,2020-11-24,117904,122335,126766
82,Kenya,2020-11-17,2020-11-24,64588,71729,78870
83,"Korea, South",2020-11-17,2020-11-24,27799,29311,30823
84,Kuwait,2020-11-17,2020-11-24,133381,137885,142389
85,Kyrgyzstan,2020-11-17,2020-11-24,64360,67469,70578
86,Latvia,2020-11-17,2020-11-24,8395,10914,13433
87,Lebanon,2020-11-17,2020-11-24,96907,107953,118999
88,Liberia,2020-11-17,2020-11-24,1461,1512,1563
89,Liechtenstein,2020-11-17,2020-11-24,846,1002,1158
90,Lithuania,2020-11-17,2020-11-24,26841,36876,46911
91,Luxembourg,2020-11-17,2020-11-24,23710,27681,31652
92,Madagascar,2020-11-17,2020-11-24,17223,17310,17397
93,Malaysia,2020-11-17,2020-11-24,42050,49730,57410
94,Maldives,2020-11-17,2020-11-24,12030,12355,12680
95,Malta,2020-11-17,2020-11-24,7396,8247,9098
96,Mauritania,2020-11-17,2020-11-24,7848,7994,8140
97,Mauritius,2020-11-17,2020-11-24,453,491,529
98,Mexico,2020-11-17,2020-11-24,978531,1011153,1043775
99,Moldova,2020-11-17,2020-11-24,83592,90912,98232
100,Monaco,2020-11-17,2020-11-24,512,557,602
101,Mongolia,2020-11-17,2020-11-24,382,455,528
102,Montenegro,2020-11-17,2020-11-24,24154,28392,32630
103,Morocco,2020-11-17,2020-11-24,265165,301604,338043
104,Namibia,2020-11-17,2020-11-24,13253,13566,13879
105,Nepal,2020-11-17,2020-11-24,199760,211475,223190
106,Netherlands,2020-11-17,2020-11-24,426227,464205,502183
107,New Zealand,2020-11-17,2020-11-24,1988,2008,2028
108,Nicaragua,2020-11-17,2020-11-24,5661,5725,5789
109,Niger,2020-11-17,2020-11-24,1256,1327,1398
110,Nigeria,2020-11-17,2020-11-24,64336,65457,66578
111,North Macedonia,2020-11-17,2020-11-24,41222,48613,56004
112,Norway,2020-11-17,2020-11-24,25887,30114,34341
113,Oman,2020-11-17,2020-11-24,118884,120718,122552
114,Pakistan,2020-11-17,2020-11-24,348184,363380,378576
115,Panama,2020-11-17,2020-11-24,141302,148721,156140
116,Papua New Guinea,2020-11-17,2020-11-24,599,602,605
117,Paraguay,2020-11-17,2020-11-24,68497,72857,77217
118,Peru,2020-11-17,2020-11-24,923527,938268,953009
119,Philippines,2020-11-17,2020-11-24,399749,410718,421687
120,Poland,2020-11-17,2020-11-24,593592,752940,912288
121,Portugal,2020-11-17,2020-11-24,187237,230124,273011
122,Qatar,2020-11-17,2020-11-24,134663,136222,137781
123,Romania,2020-11-17,2020-11-24,314295,373474,432653
124,Russia,2020-11-17,2020-11-24,1802762,1954912,2107062
125,Rwanda,2020-11-17,2020-11-24,5262,5507,5752
126,Saint Lucia,2020-11-17,2020-11-24,148,178,208
127,Saint Vincent and the Grenadines,2020-11-17,2020-11-24,76,83,90
128,San Marino,2020-11-17,2020-11-24,1114,1290,1466
129,Saudi Arabia,2020-11-17,2020-11-24,351455,353918,356381
130,Senegal,2020-11-17,2020-11-24,15720,15806,15892
131,Serbia,2020-11-17,2020-11-24,66888,92375,117862
132,Seychelles,2020-11-17,2020-11-24,158,160,162
133,Singapore,2020-11-17,2020-11-24,58073,58130,58187
134,Slovakia,2020-11-17,2020-11-24,77123,88602,100081
135,Slovenia,2020-11-17,2020-11-24,46717,56937,67157
136,Somalia,2020-11-17,2020-11-24,4301,4382,4463
137,South Africa,2020-11-17,2020-11-24,740254,754256,768258
138,Spain,2020-11-17,2020-11-24,1381218,1510023,1638828
139,Sri Lanka,2020-11-17,2020-11-24,14715,18075,21435
140,Sudan,2020-11-17,2020-11-24,14155,15047,15939
141,Suriname,2020-11-17,2020-11-24,5245,5278,5311
142,Sweden,2020-11-17,2020-11-24,162240,192439,222638
143,Switzerland,2020-11-17,2020-11-24,235202,274534,313866
144,Tanzania,2020-11-17,2020-11-24,509,509,509
145,Thailand,2020-11-17,2020-11-24,3847,3880,3913
146,Togo,2020-11-17,2020-11-24,2558,2722,2886
147,Trinidad and Tobago,2020-11-17,2020-11-24,5880,6135,6390
148,Tunisia,2020-11-17,2020-11-24,72993,81723,90453
149,Turkey,2020-11-17,2020-11-24,399360,421413,443466
150,Uganda,2020-11-17,2020-11-24,14704,16563,18422
151,Ukraine,2020-11-17,2020-11-24,493544,573758,653972
152,United Arab Emirates,2020-11-17,2020-11-24,144385,152809,161233
153,United Kingdom,2020-11-17,2020-11-24,1237198,1414359,1591520
154,Uruguay,2020-11-17,2020-11-24,3620,4208,4796
155,US,2020-11-17,2020-11-24,10256094,11357322,12458550
156,Uzbekistan,2020-11-17,2020-11-24,69027,70648,72269
157,Venezuela,2020-11-17,2020-11-24,95445,98050,100655
158,Vietnam,2020-11-17,2020-11-24,1226,1288,1350
159,Zambia,2020-11-17,2020-11-24,16997,17243,17489
160,Zimbabwe,2020-11-17,2020-11-24,8610,8945,9280
161,Dominica,2020-11-17,2020-11-24,63,68,73
162,Grenada,2020-11-17,2020-11-24,32,33,34
163,Mozambique,2020-11-17,2020-11-24,13892,14566,15240
164,Syria,2020-11-17,2020-11-24,6352,6836,7320
165,Timor-Leste,2020-11-17,2020-11-24,30,30,30
166,Belize,2020-11-17,2020-11-24,4414,4920,5426
167,Laos,2020-11-17,2020-11-24,24,25,26
168,Libya,2020-11-17,2020-11-24,70010,74936,79862
169,West Bank and Gaza,2020-11-17,2020-11-24,59422,64935,70448
170,Guinea-Bissau,2020-11-17,2020-11-24,2419,2419,2419
171,Mali,2020-11-17,2020-11-24,3745,3980,4215
172,Saint Kitts and Nevis,2020-11-17,2020-11-24,19,19,19
173,Kosovo,2020-11-17,2020-11-24,25388,29805,34222
174,Burma,2020-11-17,2020-11-24,63241,71730,80219
175,MS Zaandam,2020-11-17,2020-11-24,9,9,9
176,Botswana,2020-11-17,2020-11-24,7835,9103,10371
177,Burundi,2020-11-17,2020-11-24,615,631,647
178,Sierra Leone,2020-11-17,2020-11-24,2386,2392,2398
179,Malawi,2020-11-17,2020-11-24,5953,5971,5989
180,South Sudan,2020-11-17,2020-11-24,2960,3016,3072
181,Western Sahara,2020-11-17,2020-11-24,10,10,10
182,Sao Tome and Principe,2020-11-17,2020-11-24,962,967,972
183,Yemen,2020-11-17,2020-11-24,2071,2081,2091
