,Country,start_date,pre_date,b7_truth,start_truth,pre_cases
0,Afghanistan,2021-02-01,2021-02-08,54672,55059,55446
1,Albania,2021-02-01,2021-02-08,72812,78992,85172
2,Algeria,2021-02-01,2021-02-08,105854,107578,109302
3,Andorra,2021-02-01,2021-02-08,9596,9972,10348
4,Angola,2021-02-01,2021-02-08,19476,19829,20182
5,Antigua and Barbuda,2021-02-01,2021-02-08,201,234,267
6,Argentina,2021-02-01,2021-02-08,1874801,1933853,1992905
7,Armenia,2021-02-01,2021-02-08,166094,167088,168082
8,Australia,2021-02-01,2021-02-08,28780,28823,28866
9,Austria,2021-02-01,2021-02-08,405723,415522,425321
10,Azerbaijan,2021-02-01,2021-02-08,229032,230296,231560
11,Bahamas,2021-02-01,2021-02-08,8133,8174,8215
12,Bahrain,2021-02-01,2021-02-08,100230,103582,106934
13,Bangladesh,2021-02-01,2021-02-08,532401,535582,538763
14,Barbados,2021-02-01,2021-02-08,1401,1558,1715
15,Belarus,2021-02-01,2021-02-08,238635,249295,259955
16,Belgium,2021-02-01,2021-02-08,694858,711417,727976
17,Benin,2021-02-01,2021-02-08,3643,3893,4143
18,Bhutan,2021-02-01,2021-02-08,856,859,862
19,Bolivia,2021-02-01,2021-02-08,202818,218299,233780
20,Bosnia and Herzegovina,2021-02-01,2021-02-08,120143,122199,124255
21,Brazil,2021-02-01,2021-02-08,8871393,9229322,9587251
22,Brunei,2021-02-01,2021-02-08,175,180,185
23,Bulgaria,2021-02-01,2021-02-08,215589,219580,223571
24,Burkina Faso,2021-02-01,2021-02-08,10103,10768,11433
25,Cabo Verde,2021-02-01,2021-02-08,13557,14098,14639
26,Cambodia,2021-02-01,2021-02-08,460,466,472
27,Cameroon,2021-02-01,2021-02-08,29617,29617,29617
28,Canada,2021-02-01,2021-02-08,757657,788186,818715
29,Central African Republic,2021-02-01,2021-02-08,4980,4989,4998
30,Chad,2021-02-01,2021-02-08,3182,3385,3588
31,Chile,2021-02-01,2021-02-08,703178,730888,758598
32,China,2021-02-01,2021-02-08,99402,100127,100852
33,Colombia,2021-02-01,2021-02-08,2027746,2104506,2181266
34,Congo (Brazzaville),2021-02-01,2021-02-08,7887,7887,7887
35,Congo (Kinshasa),2021-02-01,2021-02-08,21954,22842,23730
36,Costa Rica,2021-02-01,2021-02-08,190745,194569,198393
37,Cote d'Ivoire,2021-02-01,2021-02-08,27096,28475,29854
